Unnamed: 0,PIT,BAL
First Downs,20,17
Rush-Yds-TDs,16-66-0,31-170-1
Cmp-Att-Yd-TD-INT,22-41-280-1-3,17-29-224-3-0
Sacked-Yards,4-34,1-9
Net Pass Yards,246,215
Total Yards,312,385
Fumbles-Lost,4-4,0-0
Turnovers,7,0
Penalties-Yards,6-53,7-75
Third Down Conv.,3-9,7-16
Fourth Down Conv.,0-1,0-1
Time of Possession,27:29,32:31
