Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 73 yards, returned by Lardarius Webb for 37 yards (tackle by Jason Worilds). Penalty on Emmanuel Sanders: Offside on Free Kick, 5 yards",0.000,1.200
1,14:47,1,10,BAL 34,0,0,Ray Rice left end for 36 yards (tackle by Lawrence Timmons),1.200,3.580
1,14:09,1,10,PIT 30,0,0,Ray Rice right tackle for 3 yards (tackle by Lawrence Timmons),3.580,3.440
1,13:35,2,7,PIT 27,0,6,"Joe Flacco pass complete deep left to Anquan Boldin for 27 yards, touchdown",3.440,7.000
1,,,,PIT 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,0,7,"Billy Cundiff kicks off 69 yards, returned by Antonio Brown for 31 yards (tackle by Brendon Ayanbadejo). Penalty on Brendon Ayanbadejo: Horse Collar Tackle, 15 yards",0.000,1.730
1,13:18,1,10,PIT 42,0,7,Rashard Mendenhall right tackle for 9 yards (tackle by Ed Reed and Lardarius Webb),1.730,2.400
1,12:41,2,1,BAL 49,0,7,Rashard Mendenhall right tackle for 2 yards (tackle by Ray Lewis),2.400,2.460
1,11:56,1,10,BAL 47,0,7,Ben Roethlisberger pass incomplete short left intended for Hines Ward,2.460,1.910
1,11:51,2,10,BAL 47,0,7,Ben Roethlisberger pass complete short right to Mike Wallace for 4 yards (tackle by Lardarius Webb),1.910,1.750
1,11:07,3,6,BAL 43,0,7,Ben Roethlisberger pass incomplete short left intended for Mike Wallace (defended by Cary Williams),1.750,0.400
1,11:02,4,6,BAL 43,0,7,"Daniel Sepulveda punts 43 yards, touchback",0.400,-0.280
1,10:53,1,10,BAL 20,0,7,Ray Rice left tackle for 5 yards (tackle by Lawrence Timmons),0.280,0.410
1,10:20,2,5,BAL 25,0,7,Joe Flacco pass complete short middle to Anquan Boldin for 16 yards (tackle by Bryant McFadden),0.410,1.660
1,9:40,1,10,BAL 41,0,7,"Ray Rice left tackle for no gain (tackle by Casey Hampton). Penalty on Ben Grubbs: Offensive Holding, 10 yards (no play)",1.660,1.000
1,9:09,,,,0,7,Timeout #1 by Baltimore Ravens,0.000,1.000
1,9:09,1,20,BAL 31,0,7,Joe Flacco pass complete short middle to Ray Rice for 2 yards (tackle by James Harrison),1.000,0.040
1,8:22,2,18,BAL 33,0,7,"Joe Flacco pass complete deep middle to Ed Dickson for 34 yards (tackle by Bryant McFadden). Penalty on Bryant McKinnie: Offensive Holding, 10 yards (no play)",0.040,-1.310
