Quarter,Time,Tm,Detail,BAL,WAS
1,9:38,Redskins,Josh Morgan 4 yard pass from Robert Griffin III (Kai Forbath kick),0,7
,7:05,Ravens,Anquan Boldin 19 yard pass from Joe Flacco (Justin Tucker kick),7,7
,2:55,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),7,14
2,10:16,Ravens,Anquan Boldin 31 yard pass from Joe Flacco (Justin Tucker kick),14,14
,8:39,Ravens,Dennis Pitta 14 yard pass from Joe Flacco (Justin Tucker kick),21,14
3,10:27,Redskins,Kai Forbath 48 yard field goal,21,17
,1:21,Redskins,Kai Forbath 49 yard field goal,21,20
4,4:47,Ravens,Ray Rice 7 yard rush (Justin Tucker kick),28,20
,0:29,Redskins,Pierre Garcon 11 yard pass from Kirk Cousins (Kirk Cousins run),28,28
OT,11:37,Redskins,Kai Forbath 34 yard field goal,28,31
