Unnamed: 0,BAL,WAS
First Downs,18,22
Rush-Yds-TDs,35-186-1,35-179-1
Cmp-Att-Yd-TD-INT,16-21-182-3-1,17-28-268-2-0
Sacked-Yards,2-9,3-24
Net Pass Yards,173,244
Total Yards,359,423
Fumbles-Lost,2-1,3-1
Turnovers,2,1
Penalties-Yards,8-56,8-70
Third Down Conv.,6-12,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,29:22,34:01
