Unnamed: 0,DAL,SDG
First Downs,23,19
Rush-Yds-TDs,33-109-1,26-103-1
Cmp-Att-Yd-TD-INT,18-24-226-3-0,18-35-209-2-2
Sacked-Yards,4-34,2-21
Net Pass Yards,192,188
Total Yards,301,291
Fumbles-Lost,3-1,0-0
Turnovers,1,2
Penalties-Yards,8-46,8-62
Third Down Conv.,7-11,7-14
Fourth Down Conv.,0-0,2-3
Time of Possession,31:09,28:51
