Unnamed: 0,ATL,NYG
First Downs,20,22
Rush-Yds-TDs,21-90-1,34-124-1
Cmp-Att-Yd-TD-INT,29-45-316-1-1,19-30-200-2-0
Sacked-Yards,1-9,1-7
Net Pass Yards,307,193
Total Yards,397,317
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,8-81,3-15
Third Down Conv.,2-13,9-15
Fourth Down Conv.,1-2,0-0
Time of Possession,28:19,31:41
