Quarter,Time,Tm,Detail,ATL,NYG
1.0,6:40,Giants,Rueben Randle 3 yard pass from Eli Manning (Josh Brown kick),0,7
,1:57,Falcons,Steven Jackson 10 yard rush (Matt Bryant kick),7,7
2.0,14:15,Falcons,Matt Bryant 20 yard field goal,10,7
,3:40,Giants,Josh Brown 49 yard field goal,10,10
,0:03,Falcons,Matt Bryant 20 yard field goal,13,10
3.0,5:37,Falcons,Antone Smith 74 yard pass from Matt Ryan (Matt Bryant kick),20,10
,2:05,Giants,Andre Williams 3 yard rush (Josh Brown kick),20,17
4.0,10:02,Giants,Odell Beckham Jr. 15 yard pass from Eli Manning (Josh Brown kick),20,24
,5:01,Giants,Josh Brown 50 yard field goal,20,27
,2:08,Giants,Josh Brown 26 yard field goal,20,30
