Quarter,Time,Down,ToGo,Location,ATL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 70 yards, returned by Quintin Demps for 22 yards (tackle by Robert McClain)",0.000,0.060
1,14:55,1,10,NYG 17,0,0,Rashad Jennings left tackle for 3 yards (tackle by Kroy Biermann),-0.060,-0.060
1,14:29,2,7,NYG 20,0,0,Eli Manning pass complete short left to Preston Parker for 9 yards (tackle by Robert Alford),-0.060,0.870
1,13:49,1,10,NYG 29,0,0,Eli Manning pass incomplete short right intended for Victor Cruz (defended by Dwight Lowery),0.870,0.330
1,13:44,2,10,NYG 29,0,0,Eli Manning pass incomplete deep right intended for Rueben Randle,0.330,-0.360
1,13:39,3,10,NYG 29,0,0,Rashad Jennings right end for no gain (tackle by Robert McClain and Kroy Biermann),-0.360,-1.440
1,13:33,4,10,NYG 29,0,0,"Steve Weatherford punts 60 yards, returned by Devin Hester for 25 yards (tackle by Steve Weatherford)",-1.440,-1.330
1,13:19,1,10,ATL 36,0,0,Steven Jackson left end for 1 yard (tackle by Cullen Jenkins),1.330,0.930
1,12:43,2,9,ATL 37,0,0,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Johnathan Hankins),0.930,0.230
1,12:36,3,9,ATL 37,0,0,Matt Ryan pass complete short left to Jacquizz Rodgers for 5 yards (tackle by Jason Pierre-Paul and Mathias Kiwanuka),0.230,-0.590
1,12:02,4,4,ATL 42,0,0,"Matthew Bosher punts 41 yards, fair catch by Preston Parker",-0.590,0.060
1,11:46,1,10,NYG 17,0,0,Rashad Jennings left guard for 9 yards (tackle by Prince Shembo and Robert McClain),-0.060,0.750
1,11:11,2,1,NYG 26,0,0,Eli Manning pass incomplete short left intended for Rueben Randle (defended by Robert Alford),0.750,-0.120
1,11:04,3,1,NYG 26,0,0,"Penalty on Paul Soliai: Encroachment, 5 yards (no play)",-0.120,1.000
1,11:04,1,10,NYG 31,0,0,"Penalty on Justin Pugh: False Start, 5 yards (no play)",1.000,0.670
1,11:04,1,15,NYG 26,0,0,Eli Manning pass complete short middle to Rashad Jennings for 7 yards (tackle by Prince Shembo and Kemal Ishmael),0.670,0.730
1,10:36,2,8,NYG 33,0,0,Rashad Jennings right guard for 4 yards (tackle by Corey Peters and Paul Soliai),0.730,0.560
1,9:56,3,4,NYG 37,0,0,Eli Manning pass complete deep left to Preston Parker for 42 yards (tackle by Paul Worrilow),0.560,4.170
1,9:14,1,10,ATL 21,0,0,Rashad Jennings right tackle for 3 yards (tackle by Kemal Ishmael and Prince Shembo),4.170,4.040
1,8:46,2,7,ATL 18,0,0,Eli Manning pass complete short right to Odell Beckham for 7 yards (tackle by Desmond Trufant),4.040,4.840
1,8:05,1,10,ATL 11,0,0,Eli Manning pass incomplete short left intended for Larry Donnell (defended by Jonathan Massaquoi),4.840,4.140
1,7:58,2,10,ATL 11,0,0,"Eli Manning sacked by Tyson Jackson for -3 yards. Penalty on Desmond Trufant: Defensive Holding, 5 yards (no play)",4.140,5.830
1,7:37,1,6,ATL 6,0,0,Eli Manning pass incomplete short right intended for Rueben Randle,5.830,4.950
1,7:27,2,6,ATL 6,0,0,Eli Manning pass complete short right to Rueben Randle for 3 yards (tackle by Desmond Trufant),4.950,4.720
1,6:50,3,3,ATL 3,0,6,"Eli Manning pass complete short right to Rueben Randle for 3 yards, touchdown",4.720,7.000
1,6:50,,,ATL 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,6:50,,,NYG 35,0,7,"Josh Brown kicks off 67 yards, returned by Devin Hester for 22 yards (tackle by Spencer Paysinger)",0.000,-0.280
1,6:33,1,10,ATL 20,0,7,Matt Ryan pass complete short middle to Steven Jackson for 5 yards (tackle by Jameel McClain and Jacquian Williams),0.280,0.410
1,6:00,2,5,ATL 25,0,7,Matt Ryan pass complete deep left to Julio Jones for 22 yards (tackle by Antrel Rolle),0.410,2.060
1,5:42,1,10,ATL 47,0,7,Steven Jackson right tackle for 11 yards (tackle by Jacquian Williams),2.060,2.790
1,5:05,1,10,NYG 42,0,7,Steven Jackson left tackle for 2 yards (tackle by Mathias Kiwanuka and Johnathan Hankins),2.790,2.510
1,4:28,2,8,NYG 40,0,7,"Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Dominique Rodgers-Cromartie). Penalty on Prince Amukamara: Illegal Use of Hands, 5 yards (no play)",2.510,3.250
