Unnamed: 0,MIA,ARI
First Downs,24,26
Rush-Yds-TDs,25-91-1,37-178-1
Cmp-Att-Yd-TD-INT,20-28-248-2-0,21-26-283-3-0
Sacked-Yards,3-27,1-19
Net Pass Yards,221,264
Total Yards,312,442
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,7-75,7-71
Third Down Conv.,4-8,5-12
Fourth Down Conv.,0-0,2-3
Time of Possession,28:57,31:03
