Quarter,Time,Tm,Detail,MIA,ARI
1.0,10:37,Dolphins,Shaq Lawson 36 yard fumble return (Jason Sanders kick),7,0
,6:51,Cardinals,Maxx Williams 4 yard pass from Kyler Murray (Zane Gonzalez kick),7,7
,0:55,Dolphins,Jordan Howard 2 yard rush (Jason Sanders kick),14,7
2.0,14:23,Cardinals,Christian Kirk 56 yard pass from Kyler Murray (Zane Gonzalez kick),14,14
,10:18,Dolphins,Preston Williams 9 yard pass from Tua Tagovailoa (Jason Sanders kick),21,14
,5:06,Cardinals,Zane Gonzalez 37 yard field goal,21,17
,0:00,Dolphins,Jason Sanders 56 yard field goal,24,17
3.0,11:48,Cardinals,Darrell Daniels 21 yard pass from Kyler Murray (Zane Gonzalez kick),24,24
,2:28,Cardinals,Kyler Murray 12 yard rush (Zane Gonzalez kick),24,31
4.0,11:19,Dolphins,Mack Hollins 11 yard pass from Tua Tagovailoa (Jason Sanders kick),31,31
,3:30,Dolphins,Jason Sanders 50 yard field goal,34,31
