Quarter,Time,Down,ToGo,Location,ARI,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 55 yards, (tackle by Derrick Coleman)",0.000,0.610
1,14:55,1,10,KAN 25,0,0,Patrick Mahomes pass complete deep left to Tyreek Hill for 38 yards (tackle by Tre Boston),0.610,3.120
1,14:14,1,10,ARI 37,0,0,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,3.120,2.570
1,14:10,2,10,ARI 37,0,6,"Patrick Mahomes pass complete deep middle to Tyreek Hill for 37 yards, touchdown",2.570,7.000
1,14:04,,,ARI 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,14:04,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,14:04,1,10,ARI 25,0,7,David Johnson up the middle for 4 yards (tackle by Kendall Fuller),0.610,0.600
1,13:32,2,6,ARI 29,0,7,Josh Rosen pass incomplete short right intended for Larry Fitzgerald,0.600,-0.100
1,13:28,3,6,ARI 29,0,7,Josh Rosen pass complete short left to David Johnson for 11 yards (tackle by Daniel Sorensen),-0.100,1.600
1,12:50,1,10,ARI 40,0,7,David Johnson left guard for 1 yard (tackle by Reggie Ragland),1.600,1.190
1,12:15,2,9,ARI 41,0,7,"Penalty on Derrick Nnadi: Encroachment, 5 yards (no play)",1.190,1.860
1,11:59,2,4,ARI 46,0,7,David Johnson up the middle for 4 yards (tackle by Reggie Ragland and Ben Niemann),1.860,2.260
1,11:14,1,10,ARI 50,0,7,Josh Rosen pass complete deep right to Ricky Seals-Jones for 21 yards,2.260,3.640
1,10:34,1,10,KAN 29,0,7,"Josh Rosen pass incomplete short left intended for David Johnson. Penalty on Steven Nelson: Defensive Offside, 5 yards (no play)",3.640,4.370
1,10:28,1,5,KAN 24,0,7,David Johnson right guard for 4 yards (tackle by Dee Ford and Xavier Williams),4.370,4.320
1,9:50,2,1,KAN 20,0,7,Josh Rosen pass incomplete short right intended for Christian Kirk (defended by Steven Nelson),4.320,3.600
1,9:44,,,,,,Timeout #1 by Arizona Cardinals,,
1,9:44,3,1,KAN 20,0,7,David Johnson up the middle for 4 yards (tackle by Dee Ford and Reggie Ragland),3.600,4.510
1,9:00,1,10,KAN 16,0,7,Josh Rosen pass incomplete deep right intended for Larry Fitzgerald,4.510,3.900
1,8:53,2,10,KAN 16,0,7,David Johnson up the middle for 7 yards (tackle by Ben Niemann),3.900,4.390
1,8:07,3,3,KAN 9,6,7,"Josh Rosen pass complete short right to David Johnson for 9 yards, touchdown",4.390,7.000
1,8:03,,,KAN 15,7,7,Phil Dawson kicks extra point good,0.000,0.000
1,8:03,,,ARI 35,7,7,"Phil Dawson kicks onside 10 yards,",0.000,-3.050
1,8:00,1,10,ARI 38,7,7,Kareem Hunt up the middle for 4 yards (tackle by Corey Peters),3.050,3.050
1,7:28,2,6,ARI 34,7,7,"Patrick Mahomes pass complete short left to Kareem Hunt for 8 yards (tackle by Patrick Peterson). Penalty on Kareem Hunt: Illegal Shift, 6 yards (no play)",3.050,2.240
1,7:01,2,12,ARI 40,7,7,Patrick Mahomes left end for 14 yards,2.240,3.840
1,6:18,1,10,ARI 26,7,7,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Antoine Bethea),3.840,4.510
