Quarter,Time,Tm,Detail,ARI,KAN
1.0,14:04,Chiefs,Tyreek Hill 37 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,8:03,Cardinals,David Johnson 9 yard pass from Josh Rosen (Phil Dawson kick),7,7
,3:00,Chiefs,Harrison Butker 45 yard field goal,7,10
2.0,12:29,Chiefs,Harrison Butker 46 yard field goal,7,13
,5:31,Chiefs,Tyreek Hill 14 yard pass from Patrick Mahomes (Harrison Butker kick),7,20
3.0,7:48,Cardinals,David Johnson 1 yard rush (Phil Dawson kick),14,20
4.0,10:14,Chiefs,Spencer Ware 3 yard rush (pass failed),14,26
