Unnamed: 0,ARI,KAN
First Downs,21,20
Rush-Yds-TDs,25-94-1,23-118-1
Cmp-Att-Yd-TD-INT,22-39-208-1-2,21-28-249-2-0
Sacked-Yards,5-42,5-37
Net Pass Yards,166,212
Total Yards,260,330
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,3-30,8-63
Third Down Conv.,7-14,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,31:47,28:13
