Quarter,Time,Tm,Detail,STL,ATL
1.0,10:02,Falcons,Jason Elam 39 yard field goal,0,3
,6:18,Rams,Steven Jackson 4 yard rush (Josh Brown kick),7,3
2.0,4:43,Falcons,Michael Turner 9 yard rush (Jason Elam kick),7,10
,0:32,Rams,Donnie Avery 16 yard pass from Marc Bulger (Josh Brown kick),14,10
,0:11,Falcons,Jerious Norwood 8 yard rush (Jason Elam kick),14,17
3.0,12:20,Falcons,Roddy White 18 yard pass from Matt Ryan (Jason Elam kick),14,24
,1:39,Rams,Josh Brown 31 yard field goal,17,24
4.0,13:18,Rams,Steven Jackson 2 yard rush (Josh Brown kick),24,24
,6:39,Rams,Josh Brown 27 yard field goal,27,24
,3:41,Falcons,Jerious Norwood 45 yard rush (Jason Elam kick),27,31
