Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
2,6:40,2,4,STL 49,7,3,Michael Turner up the middle for 3 yards (tackle by Clifton Ryan and Leonard Little),2.190,1.880
2,6:19,3,1,STL 46,7,3,Matt Ryan up the middle for 1 yard (tackle by Pisa Tinoisamoa),1.880,2.590
2,5:48,1,10,STL 45,7,3,Matt Ryan pass complete deep middle to Michael Jenkins for 41 yards (tackle by Jonathan Wade),2.590,6.280
2,5:03,1,4,STL 4,7,3,"Penalty on Jason Rader: False Start, 5 yards (no play)",6.280,5.140
2,4:49,1,9,STL 9,7,9,"Michael Turner right end for 9 yards, touchdown",5.140,7.000
2,,,,STL 2,7,10,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,7,10,"Michael Koenen kicks off 68 yards, returned by Kenneth Darby for 17 yards (tackle by Kroy Biermann)",0.000,0.150
2,4:38,1,10,STL 19,7,10,Antonio Pittman left end for 11 yards (tackle by Keith Brooking),0.150,0.940
2,3:59,1,10,STL 30,7,10,Steven Jackson right tackle for 1 yard (tackle by Michael Boley and Jonathan Babineaux),0.940,0.530
2,3:19,2,9,STL 31,7,10,Marc Bulger pass complete deep right to Torry Holt for 19 yards (tackle by Erik Coleman),0.530,2.260
2,2:51,1,10,,7,10,Steven Jackson up the middle for 2 yards (tackle by Erik Coleman and Curtis Lofton),2.260,1.980
2,2:15,2,8,ATL 48,7,10,Marc Bulger pass incomplete short right intended for Torry Holt,1.980,1.290
2,2:11,3,8,ATL 48,7,10,Marc Bulger pass complete short left to Torry Holt for 12 yards (tackle by Chris Houston),1.290,3.180
2,2:00,1,10,ATL 36,7,10,Marc Bulger pass complete short left to Torry Holt for 6 yards (tackle by Michael Boley),3.180,3.450
2,1:23,2,4,ATL 30,7,10,Marc Bulger pass incomplete short left intended for Torry Holt,3.450,2.740
2,1:18,3,4,ATL 30,7,10,Steven Jackson left tackle for 9 yards (tackle by Jamaal Fudge),2.740,4.170
2,1:11,,,,7,10,Timeout #1 by St. Louis Rams,0.000,4.170
2,1:11,1,10,ATL 21,7,10,Steven Jackson up the middle for 5 yards (tackle by Jamaal Fudge),4.170,4.370
2,0:38,2,5,ATL 16,13,10,"Marc Bulger pass complete deep middle to Donnie Avery for 16 yards, touchdown",4.370,7.000
2,,,,ATL 2,14,10,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,14,10,"Josh Brown kicks off 70 yards, returned by Jerious Norwood for 92 yards (tackle by Jason Craft)",0.000,5.370
2,0:20,1,8,STL 8,14,10,Matt Ryan pass incomplete short right intended for Michael Jenkins,5.370,4.570
2,0:16,2,8,STL 8,14,16,"Jerious Norwood left tackle for 8 yards, touchdown",4.570,7.000
2,,,,STL 2,14,17,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,14,17,"Michael Koenen kicks off 50 yards, returned by John Greco for 14 yards (tackle by Jason Snelling)",0.000,1.200
2,0:05,1,10,STL 34,14,17,Steven Jackson left tackle for 5 yards (tackle by Jonathan Babineaux),1.200,1.330
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,14,17,"Josh Brown kicks off 69 yards, returned by Jerious Norwood for 24 yards (tackle by Larry Grant)",0.000,0.610
3,14:55,1,10,ATL 25,14,17,Michael Turner up the middle for 17 yards (tackle by O.J. Atogwe and Chris Draft),0.610,1.730
3,14:16,1,10,ATL 42,14,17,Matt Ryan pass complete deep middle to Roddy White for 22 yards (tackle by O.J. Atogwe). Penalty on Jonathan Wade: Defensive Pass Interference (Declined),1.730,3.180
3,13:52,1,10,STL 36,14,17,Michael Turner right tackle for 10 yards (tackle by Pisa Tinoisamoa and Todd Johnson),3.180,3.840
3,13:11,1,10,STL 26,14,17,Michael Turner up the middle for 8 yards (tackle by Adam Carriker),3.840,4.450
3,12:25,2,2,STL 18,14,23,"Matt Ryan pass complete deep left to Roddy White for 18 yards, touchdown",4.450,7.000
3,,,,STL 2,14,24,Jason Elam kicks extra point good,0.000,0.000
3,,,,ATL 30,14,24,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
3,12:20,1,10,STL 20,14,24,Marc Bulger pass complete short right to Donnie Avery for 3 yards (tackle by Domonique Foxworth),0.280,0.140
3,11:45,2,7,STL 23,14,24,Steven Jackson right tackle for 4 yards (tackle by Erik Coleman and Keith Brooking),0.140,-0.030
3,11:03,3,3,STL 27,14,24,Marc Bulger pass incomplete short middle intended for Steven Jackson (defended by Curtis Lofton),-0.030,-1.570
3,10:48,4,3,STL 27,14,24,Travis Minor up the middle for 4 yards (tackle by Jason Snelling),-1.570,1.000
3,10:05,,,,14,24,Timeout #1 by St. Louis Rams,0.000,1.000
3,10:05,1,10,STL 31,14,24,Keenan Burton right end for 5 yards (tackle by Michael Boley),1.000,1.140
3,9:20,2,5,STL 36,14,24,Antonio Pittman left end for 1 yard (tackle by Michael Boley),1.140,0.560
3,8:38,3,4,STL 37,14,24,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Chris Houston),0.560,-0.910
3,8:34,4,4,STL 37,14,24,Donnie Jones punts 49 yards,-0.910,0.280
3,8:20,1,10,ATL 14,14,24,Michael Turner left end for 14 yards (tackle by Jason Craft),-0.280,0.810
3,7:54,1,10,ATL 28,14,24,Michael Turner up the middle for 2 yards (tackle by Victor Adeyanju),0.810,0.530
3,7:10,2,8,ATL 30,14,24,Michael Turner up the middle for 2 yards (tackle by Victor Adeyanju),0.530,0.100
3,6:31,3,6,ATL 32,14,24,Matt Ryan pass incomplete short left intended for Jerious Norwood,0.100,-1.240
3,6:26,4,6,ATL 32,14,24,"Michael Koenen punts 39 yards, fair catch by Dane Looker",-1.240,-0.870
3,6:18,1,10,STL 29,14,24,Steven Jackson right end for 7 yards (tackle by Jamaal Fudge),0.870,1.270
3,5:37,2,3,STL 36,14,24,Steven Jackson right tackle for 2 yards (tackle by Chauncey Davis and Keith Brooking),1.270,0.830
3,4:54,3,1,STL 38,14,24,"Penalty on Joe Klopfenstein: False Start, 5 yards (no play)",0.830,0.170
3,4:35,3,6,STL 33,14,24,Marc Bulger pass complete short right to Donnie Avery for 8 yards (tackle by Domonique Foxworth),0.170,1.660
3,4:06,1,10,STL 41,14,24,Marc Bulger pass complete short right to Steven Jackson for 36 yards (tackle by Domonique Foxworth),1.660,4.040
3,3:32,1,10,ATL 23,14,24,Steven Jackson up the middle for -2 yards (tackle by Jason Jefferson),4.040,3.230
3,2:50,2,12,ATL 25,14,24,Marc Bulger pass complete short right to Kenneth Darby for 10 yards (tackle by Michael Boley),3.230,4.050
3,2:10,3,2,ATL 15,14,24,Steven Jackson up the middle for 1 yard (tackle by Jamaal Fudge and Simon Fraser),4.050,2.660
3,1:43,4,1,ATL 14,17,24,Josh Brown 31 yard field goal good,2.660,3.000
3,,,,STL 30,17,24,"Josh Brown kicks off 69 yards, returned by Jerious Norwood for 22 yards (tackle by David Vobora)",0.000,0.480
3,1:34,1,10,ATL 23,17,24,Matt Ryan pass incomplete short left intended for Justin Peelle,0.480,-0.070
3,1:27,2,10,ATL 23,17,24,Matt Ryan pass incomplete short left intended for Michael Jenkins,-0.070,-0.760
3,1:24,3,10,ATL 23,17,24,Matt Ryan pass incomplete short left intended for Harry Douglas (defended by Jonathan Wade),-0.760,-1.830
3,1:18,4,10,ATL 23,17,24,"Michael Koenen punts 39 yards, fair catch by Dane Looker",-1.830,-1.470
3,1:09,1,10,STL 38,17,24,Marc Bulger pass complete short right to Keenan Burton for 8 yards (tackle by Erik Coleman),1.470,2.000
3,0:29,2,2,STL 46,17,24,Marc Bulger pass complete short right to Steven Jackson for 5 yards (tackle by Erik Coleman),2.000,2.320
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 49,17,24,Steven Jackson up the middle for 8 yards (tackle by Jason Jefferson),2.320,2.860
4,14:22,2,2,ATL 41,17,24,Kenneth Darby right tackle for 6 yards (tackle by Grady Jackson),2.860,3.250
4,13:44,1,10,ATL 35,17,24,Marc Bulger pass complete deep left to Torry Holt for 33 yards (tackle by Chris Houston),3.250,6.740
4,13:23,1,2,ATL 2,23,24,"Steven Jackson right end for 2 yards, touchdown",6.740,7.000
4,,,,ATL 2,24,24,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,24,24,"Josh Brown kicks off 69 yards, returned by Jerious Norwood for 25 yards (tackle by Larry Grant)",0.000,0.670
4,13:11,1,10,ATL 26,24,24,"Michael Turner up the middle for 70 yards (tackle by Ronald Bartell). Michael Turner fumbles (forced by Ronald Bartell), recovered by Ronald Bartell at STL-0",0.670,-0.280
,,,,,,,"ATL challenged the fumble ruling, and the play was upheld.",,
4,12:57,1,10,STL 20,24,24,Marc Bulger pass incomplete short right intended for Donnie Avery (defended by Domonique Foxworth),0.280,-0.270
4,12:54,2,10,STL 20,24,24,Steven Jackson up the middle for 1 yard (tackle by Chauncey Davis),-0.270,-0.820
4,12:14,3,9,STL 21,24,24,Marc Bulger pass complete short right to Steven Jackson for 12 yards (tackle by Michael Boley),-0.820,1.140
4,11:43,1,10,STL 33,24,24,Steven Jackson right tackle for 3 yards (tackle by Michael Boley),1.140,1.000
4,11:03,2,7,STL 36,24,24,Marc Bulger pass incomplete short right intended for Torry Holt (defended by Curtis Lofton),1.000,0.300
4,10:59,3,7,STL 36,24,24,Marc Bulger pass incomplete short right intended for Donnie Avery (defended by Domonique Foxworth),0.300,-0.980
4,10:54,4,7,STL 36,24,24,"Donnie Jones punts 64 yards, touchback",-0.980,-0.280
4,10:45,1,10,ATL 20,24,24,Michael Turner left tackle for 4 yards (tackle by Quinton Culberson),0.280,0.270
4,10:09,2,6,ATL 24,24,24,Matt Ryan pass incomplete short right intended for Ovie Mughelli,0.270,-0.430
4,10:02,3,6,ATL 24,24,24,Matt Ryan pass incomplete short right intended for Roddy White is intercepted by Jonathan Wade at ATL-30 and returned for 8 yards (tackle by Roddy White),-0.430,-4.110
4,9:55,1,10,ATL 22,24,24,Steven Jackson left tackle for 5 yards (tackle by Erik Coleman and Keith Brooking),4.110,4.290
4,9:15,2,5,ATL 17,24,24,Steven Jackson left tackle for 6 yards (tackle by Erik Coleman),4.290,4.840
4,8:40,1,10,ATL 11,24,24,Steven Jackson right end for -5 yards (tackle by Jamaal Fudge and Kroy Biermann),4.840,3.440
4,7:53,2,15,ATL 16,24,24,Marc Bulger pass complete short right to Torry Holt for 6 yards (tackle by Keith Brooking),3.440,3.300
4,7:23,,,,24,24,Timeout #2 by St. Louis Rams,0.000,3.300
4,7:23,3,9,ATL 10,24,24,Marc Bulger pass complete short right to Steven Jackson for 1 yard (tackle by Kroy Biermann),3.300,2.830
4,6:42,4,8,ATL 9,27,24,Josh Brown 27 yard field goal good,2.830,3.000
4,,,,STL 30,27,24,"Josh Brown kicks off 72 yards, touchback",0.000,0.280
4,6:39,1,10,ATL 20,27,24,Michael Turner up the middle for 8 yards (tackle by Victor Adeyanju),0.280,0.810
4,6:34,2,2,ATL 28,27,24,Michael Turner up the middle for 1 yard (tackle by Victor Adeyanju),0.810,0.230
4,5:18,3,1,ATL 29,27,24,Michael Turner right tackle for 8 yards (tackle by Chris Draft),0.230,1.400
4,4:39,1,10,ATL 37,27,24,Michael Turner left end for 5 yards (tackle by Jason Craft),1.400,1.530
4,3:55,2,5,ATL 42,27,24,Matt Ryan pass complete short right to Michael Jenkins for 13 yards (tackle by Ronald Bartell),1.530,2.590
4,3:50,1,10,STL 45,27,30,"Jerious Norwood up the middle for 45 yards, touchdown",2.590,7.000
4,,,,STL 2,27,31,Jason Elam kicks extra point good,0.000,0.000
4,,,,ATL 30,27,31,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
4,3:41,1,10,STL 20,27,31,Marc Bulger pass complete deep right to Joe Klopfenstein for 29 yards (tackle by Michael Boley),0.280,2.190
4,3:02,1,10,STL 49,27,31,Steven Jackson up the middle for 14 yards (tackle by Erik Coleman and Chevis Jackson),2.190,3.120
4,2:27,1,10,ATL 37,27,31,Steven Jackson left tackle for 8 yards (tackle by Keith Brooking),3.120,3.650
4,2:00,2,2,ATL 29,27,31,Marc Bulger sacked by Chauncey Davis for -8 yards,3.650,1.880
4,1:20,3,10,ATL 37,27,31,Marc Bulger pass incomplete deep middle intended for Dane Looker,1.880,0.790
4,1:15,4,10,ATL 37,27,31,Marc Bulger pass incomplete deep right intended for Donnie Avery,0.790,-1.400
4,1:09,1,10,ATL 37,27,31,Matt Ryan kneels for no gain,1.400,0.860
4,1:05,,,,27,31,Timeout #3 by St. Louis Rams,0.000,0.860
4,1:05,2,10,ATL 37,27,31,Matt Ryan kneels for -1 yards,0.860,0.040
4,0:36,3,11,ATL 36,27,31,Matt Ryan kneels for -1 yards,0.040,-1.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
