Unnamed: 0,STL,ATL
First Downs,22,17
Rush-Yds-TDs,37-202-2,32-263-3
Cmp-Att-Yd-TD-INT,19-32-230-1-0,10-21-160-1-2
Sacked-Yards,3-24,1-6
Net Pass Yards,206,154
Total Yards,408,417
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,3-14,3-14
Third Down Conv.,5-15,2-10
Fourth Down Conv.,1-3,0-0
Time of Possession,35:13,24:47
