Unnamed: 0,DET,SEA
First Downs,12,18
Rush-Yds-TDs,18-53-0,31-110-0
Cmp-Att-Yd-TD-INT,24-35-203-0-0,20-26-287-1-0
Sacked-Yards,0-0,6-52
Net Pass Yards,203,235
Total Yards,256,345
Fumbles-Lost,2-1,5-3
Turnovers,1,3
Penalties-Yards,4-37,5-30
Third Down Conv.,3-13,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:56,32:04
