Quarter,Time,Down,ToGo,Location,DET,SEA,Detail,EPB,EPA
1,3:55,1,10,SEA 26,0,0,Thomas Rawls left guard for -1 yards (tackle by Devin Taylor),0.670,-0.010
1,3:20,2,11,SEA 25,0,0,Russell Wilson pass complete short right to Fred Jackson for 26 yards (tackle by Devin Taylor),-0.010,2.320
1,2:48,1,10,DET 49,0,0,Russell Wilson pass incomplete short right intended for Jimmy Graham,2.320,1.780
1,2:44,2,10,DET 49,0,0,Russell Wilson for no gain. Drew Nowak fumbles,1.780,-0.490
1,1:59,3,22,SEA 39,0,0,Fred Jackson left tackle for 4 yards (tackle by Jason Jones),-0.490,-0.520
1,1:23,4,18,SEA 43,0,0,"Jon Ryan punts 50 yards, returned by T.J. Jones for 9 yards (tackle by Brock Coyle)",-0.520,0.140
1,1:16,1,10,DET 16,0,0,Matthew Stafford pass complete short right to Ameer Abdullah for -1 yards (tackle by K.J. Wright and Cliff Avril),-0.140,-0.780
1,0:31,2,11,DET 15,0,0,Matthew Stafford pass complete short middle to Eric Ebron for 19 yards (tackle by Earl Thomas),-0.780,1.200
Quarter,Time,Down,ToGo,Location,DET,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 34,0,0,Ameer Abdullah left tackle for 2 yards (tackle by Bruce Irvin and David King),1.200,0.930
2,14:15,2,8,DET 36,0,0,Matthew Stafford pass incomplete short left intended for Ameer Abdullah,0.930,0.230
2,14:10,3,8,DET 36,0,0,Matthew Stafford pass incomplete short left intended for Eric Ebron (defended by Cliff Avril),0.230,-0.980
2,14:06,4,8,DET 36,0,0,"Sam Martin punts 44 yards, returned by Tyler Lockett for 13 yards (tackle by Theo Riddick)",-0.980,-1.140
2,13:55,1,10,SEA 33,0,0,"Russell Wilson pass incomplete deep left intended for Tyler Lockett. Penalty on Haloti Ngata: Defensive Offside, 5 yards (no play)",1.140,1.870
2,13:49,1,5,SEA 38,0,0,Thomas Rawls middle for no gain (tackle by Travis Lewis),1.870,1.270
2,13:15,2,5,SEA 38,0,0,Russell Wilson pass complete short right to Jimmy Graham for 6 yards (tackle by Darryl Tapp and Josh Bynes),1.270,1.860
2,12:37,1,10,SEA 44,0,0,Russell Wilson sacked by Travis Lewis for -9 yards,1.860,0.100
2,11:56,2,19,SEA 35,0,0,Russell Wilson pass complete short right to Fred Jackson for 7 yards (tackle by Darius Slay and Glover Quin),0.100,0.370
2,11:15,3,12,SEA 42,0,0,Russell Wilson pass complete short left to Jermaine Kearse for 34 yards (tackle by Glover Quin),0.370,3.970
2,11:03,1,10,DET 24,0,6,"Russell Wilson pass complete deep middle to Doug Baldwin for 24 yards, touchdown",3.970,7.000
2,11:03,,,DET 24,0,7,Steven Hauschka kicks extra point good,0.000,0.000
2,11:03,,,SEA 35,0,7,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
2,10:56,1,10,DET 20,0,7,Golden Tate left end for 6 yards (tackle by K.J. Wright),0.280,0.540
2,10:27,2,4,DET 26,0,7,Ameer Abdullah left guard for 6 yards (tackle by Cassius Marsh),0.540,1.070
2,9:51,1,10,DET 32,0,7,Matthew Stafford pass complete short right to Eric Ebron for 3 yards (tackle by DeShawn Shead),1.070,0.930
2,9:21,2,7,DET 35,0,7,Ameer Abdullah left end for 5 yards (tackle by K.J. Wright),0.930,0.890
2,8:37,3,2,DET 40,0,7,Matthew Stafford pass complete short right to Golden Tate for 4 yards (tackle by Frank Clark),0.890,1.860
2,7:50,1,10,DET 44,0,7,Theo Riddick left end for 5 yards (tackle by Bobby Wagner and Earl Thomas),1.860,1.990
2,7:28,2,5,DET 49,0,7,Matthew Stafford pass complete short left to Calvin Johnson for 7 yards (tackle by Cary Williams),1.990,2.650
2,6:48,1,10,SEA 44,0,7,Matthew Stafford pass complete short right to Lance Moore for 17 yards (tackle by Richard Sherman),2.650,3.780
2,6:08,1,10,SEA 27,0,7,Ameer Abdullah middle for 4 yards (tackle by Bruce Irvin),3.780,3.770
2,5:28,2,6,SEA 23,0,7,Matthew Stafford pass incomplete short right intended for Ameer Abdullah (defended by Cliff Avril),3.770,3.070
2,5:25,3,6,SEA 23,0,7,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,3.070,1.950
2,5:20,4,6,SEA 23,3,7,Matt Prater 41 yard field goal good,1.950,3.000
2,5:20,,,DET 35,3,7,"Matt Prater kicks off 55 yards, returned by Tyler Lockett for 11 yards (tackle by Don Carey)",0.000,-0.340
2,5:12,1,10,SEA 21,3,7,Thomas Rawls middle for 6 yards (tackle by Stephen Tulloch),0.340,0.610
2,4:39,2,4,SEA 27,3,7,Russell Wilson pass complete short right to Doug Baldwin for 9 yards (tackle by Stephen Tulloch),0.610,1.330
2,4:03,1,10,SEA 36,3,7,Fred Jackson left tackle for 16 yards (tackle by Glover Quin),1.330,2.390
2,3:38,1,10,DET 48,3,7,Thomas Rawls right tackle for 1 yard (tackle by Tyrunn Walker),2.390,1.980
2,2:58,2,9,DET 47,3,7,Russell Wilson pass complete short middle to Tyler Lockett for 23 yards (tackle by Glover Quin),1.980,3.970
2,2:29,1,10,DET 24,3,7,Russell Wilson right tackle for 15 yards (tackle by James Ihedigbo),3.970,5.140
2,2:00,1,9,DET 9,3,7,Russell Wilson sacked by Ezekiel Ansah for -9 yards,5.140,3.150
2,1:20,2,18,DET 18,3,7,"Penalty on Drew Nowak: False Start, 5 yards (no play)",3.150,2.600
2,1:18,2,23,DET 23,3,7,Fred Jackson middle for 1 yard (tackle by Ezekiel Ansah and Josh Bynes),2.600,2.600
2,1:12,2,23,DET 23,3,7,Timeout #1 by Detroit Lions,2.600,2.080
2,1:12,3,22,DET 22,3,7,Russell Wilson sacked by Jason Jones and Devin Taylor for -11 yards,2.080,2.080
2,1:05,3,22,DET 22,3,7,Timeout #2 by Detroit Lions,2.080,1.150
2,1:05,4,33,DET 33,3,10,Steven Hauschka 51 yard field goal good,1.150,3.000
2,1:05,,,SEA 35,3,10,"Steven Hauschka kicks off 68 yards, returned by Ameer Abdullah for 31 yards (tackle by DeShawn Shead)",0.000,-0.810
2,0:55,1,10,DET 28,3,10,Matthew Stafford pass complete short middle to Theo Riddick for 13 yards (tackle by K.J. Wright and Kam Chancellor),0.810,1.660
2,0:33,1,10,DET 41,3,10,Matthew Stafford pass incomplete short left intended for Calvin Johnson (defended by K.J. Wright),1.660,1.120
2,0:29,2,10,DET 41,3,10,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,1.120,0.430
2,0:24,3,10,DET 41,3,10,Matthew Stafford pass incomplete short left intended for Tim Wright,0.430,-0.650
2,0:18,4,10,DET 41,3,10,"Sam Martin punts 52 yards, returned by Tyler Lockett for 10 yards (tackle by Nevin Lawson)",-0.650,0.060
2,0:06,1,10,SEA 17,3,10,Russell Wilson kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,DET,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,3,10,"Matt Prater kicks off 45 yards, returned by Will Tukuafu for 16 yards (tackle by Nevin Lawson)",0.000,1.330
3,14:56,1,10,SEA 36,3,10,Thomas Rawls middle for 4 yards (tackle by Tyrunn Walker and Haloti Ngata),1.330,1.330
3,14:19,2,6,SEA 40,3,10,"Penalty on Drew Nowak: False Start, 5 yards (no play)",1.330,0.660
3,13:59,2,11,SEA 35,3,10,Russell Wilson pass incomplete short left intended for Fred Jackson,0.660,-0.030
3,13:56,3,11,SEA 35,3,10,Russell Wilson pass complete short middle to Tyler Lockett for 15 yards (tackle by Darius Slay and Isa Abdul-Quddus),-0.030,2.260
3,13:09,1,10,,3,10,Russell Wilson left tackle for 11 yards (tackle by Josh Wilson),2.260,2.980
3,12:38,1,10,DET 39,3,10,Thomas Rawls middle for 6 yards (tackle by Stephen Tulloch and Tyrunn Walker),2.980,3.250
3,12:02,2,4,DET 33,3,10,Russell Wilson pass complete short right to Thomas Rawls for -1 yards (tackle by James Ihedigbo),3.250,2.410
3,11:20,3,5,DET 34,3,10,Russell Wilson pass incomplete short left intended for Tyler Lockett,2.410,1.070
3,11:16,4,5,DET 34,3,13,Steven Hauschka 52 yard field goal good,1.070,3.000
3,11:16,,,SEA 35,3,13,"Steven Hauschka kicks off 70 yards, returned by Ameer Abdullah for 23 yards (tackle by Derrick Coleman)",0.000,-0.040
3,11:07,1,10,DET 18,3,13,Matthew Stafford pass incomplete deep left intended for Calvin Johnson,0.040,-0.490
3,11:01,2,10,DET 18,3,13,Ameer Abdullah middle for no gain (tackle by Michael Bennett),-0.490,-1.170
3,10:19,3,10,DET 18,3,13,Matthew Stafford pass complete short left to Calvin Johnson for 7 yards (tackle by Kam Chancellor),-1.170,-1.700
3,9:44,4,3,DET 25,3,13,"Sam Martin punts 42 yards, muffed catch by Tyler Lockett, recovered by Don Carey and returned for no gain",-1.700,2.520
3,9:32,1,10,SEA 46,3,13,Matthew Stafford pass complete short right to Theo Riddick for 6 yards (tackle by Cliff Avril),2.520,2.790
3,8:58,2,4,SEA 40,3,13,"Zach Zenner left tackle for 4 yards (tackle by Bobby Wagner and K.J. Wright). Penalty on Travis Swanson: Offensive Holding, 10 yards (no play)",2.790,1.440
3,8:32,2,14,,3,13,Matthew Stafford pass incomplete short left intended for Lance Moore,1.440,0.760
3,8:28,3,14,,3,13,Matthew Stafford pass incomplete deep left intended for Golden Tate (defended by Cary Williams),0.760,-0.060
3,8:20,4,14,,3,13,"Sam Martin punts 41 yards, fair catch by Tyler Lockett",-0.060,0.380
3,8:13,1,10,SEA 9,3,13,Russell Wilson pass complete short left to Luke Willson for 6 yards (tackle by Glover Quin),-0.380,-0.280
3,7:33,2,4,SEA 15,3,13,Russell Wilson left end for 3 yards (tackle by Rashean Mathis),-0.280,-0.370
3,6:47,3,1,SEA 18,3,13,Russell Wilson pass complete short right to Luke Willson for 9 yards (tackle by Glover Quin and Darius Slay),-0.370,0.740
3,6:08,1,10,SEA 27,3,13,"Thomas Rawls left tackle for 8 yards (tackle by Stephen Tulloch). Penalty on Justin Britt: Offensive Holding, 10 yards (no play)",0.740,-0.170
3,5:42,1,20,SEA 17,3,13,Russell Wilson pass complete short left to Chris Matthews for 21 yards (tackle by Rashean Mathis),-0.170,1.470
3,4:57,1,10,SEA 38,3,13,Russell Wilson pass complete short right to Tyler Lockett for 8 yards (tackle by Stephen Tulloch),1.470,2.000
3,4:33,2,2,SEA 46,3,13,Thomas Rawls middle for 4 yards (tackle by Stephen Tulloch and Darryl Tapp),2.000,2.260
3,4:00,1,10,,3,13,Russell Wilson sacked by Darryl Tapp for -5 yards,2.260,1.040
3,3:18,2,15,SEA 45,3,13,Russell Wilson pass complete short middle to B.J. Daniels for 12 yards (tackle by James Ihedigbo),1.040,1.950
3,2:38,3,3,DET 43,3,13,Russell Wilson pass incomplete deep middle intended for Luke Willson,1.950,0.400
3,2:33,4,3,DET 43,3,13,"Jon Ryan punts 32 yards, fair catch by T.J. Jones",0.400,0.370
3,2:26,1,10,DET 11,3,13,Matthew Stafford pass complete short left to Golden Tate for 3 yards (tackle by Jordan Hill and Michael Bennett),-0.370,-0.530
3,1:46,2,7,DET 14,3,13,Matthew Stafford pass incomplete short left intended for Ameer Abdullah,-0.530,-1.070
3,1:43,3,7,DET 14,3,13,"Matthew Stafford pass complete short left to Calvin Johnson for 10 yards (tackle by Cary Williams). Penalty on Riley Reiff: Illegal Use of Hands, 7 yards (no play)",-1.070,-1.890
3,1:16,3,14,DET 7,3,13,Matthew Stafford pass complete short middle to Theo Riddick for 10 yards (tackle by Bobby Wagner and Michael Bennett),-1.890,-2.320
3,0:38,4,4,DET 17,3,13,"Sam Martin punts 50 yards, returned by Tyler Lockett for 14 yards (tackle by Brandon Copeland)",-2.320,-2.060
3,0:28,1,10,SEA 47,3,13,Russell Wilson pass complete short right to Doug Baldwin for 3 yards (tackle by Quandre Diggs),2.060,1.920
Quarter,Time,Down,ToGo,Location,DET,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,,3,13,Russell Wilson pass incomplete deep middle intended for Doug Baldwin,1.920,1.220
4,14:45,3,7,,3,13,Russell Wilson pass complete short right to Jimmy Graham for 13 yards (tackle by Darius Slay),1.220,3.120
4,14:15,1,10,DET 37,3,13,Tyler Lockett left end for 1 yard (tackle by James Ihedigbo),3.120,2.710
4,13:36,2,9,DET 36,3,13,"Russell Wilson sacked by Ezekiel Ansah for -9 yards. Russell Wilson fumbles (forced by Ezekiel Ansah), recovered by Ezekiel Ansah at DET-45 (tackle by Russell Wilson)",2.710,-1.930
4,13:27,1,10,DET 45,3,13,"Ameer Abdullah right guard for 3 yards (tackle by Richard Sherman and Jordan Hill). Penalty on Bruce Irvin: Illegal Use of Hands, 5 yards",1.930,2.460
4,13:07,1,10,SEA 47,3,13,Ameer Abdullah left guard for 1 yard (tackle by Bobby Wagner and Jordan Hill),2.460,2.050
4,12:28,2,9,SEA 46,3,13,"Matthew Stafford pass complete short middle to Calvin Johnson for 7 yards (tackle by Kam Chancellor). Penalty on Riley Reiff: Unnecessary Roughness, 15 yards (no play)",2.050,0.020
4,12:01,2,24,DET 39,3,13,Matthew Stafford pass complete short right to Theo Riddick for 1 yard (tackle by Bobby Wagner),0.020,-0.490
4,11:16,3,23,DET 40,3,13,Matthew Stafford pass complete short middle to Calvin Johnson for 6 yards (tackle by Richard Sherman and Jordan Hill). Penalty on Theo Riddick: Illegal Block Above the Waist (Declined),-0.490,-0.320
4,11:06,4,17,DET 46,3,13,"Sam Martin punts 40 yards, fair catch by Tyler Lockett",-0.320,0.280
4,10:59,1,10,SEA 14,3,13,Russell Wilson pass complete short left to Jimmy Graham for 6 yards (tackle by Stephen Tulloch and James Ihedigbo),-0.280,0.150
4,10:23,2,4,SEA 20,3,13,Thomas Rawls left tackle for 10 yards (tackle by Jason Jones),0.150,0.940
4,9:54,1,10,SEA 30,3,13,Thomas Rawls right end for 2 yards (tackle by Josh Bynes and Stephen Tulloch),0.940,0.660
4,9:08,2,8,SEA 32,3,13,Russell Wilson pass complete short right to Jimmy Graham for 4 yards,0.660,0.500
4,8:42,3,4,SEA 36,9,13,"Russell Wilson sacked by James Ihedigbo for -6 yards. Russell Wilson fumbles (forced by James Ihedigbo), recovered by Caraun Reid at SEA-27 and returned for 27 yards, touchdown",0.500,-7.000
4,8:32,,,SEA 36,10,13,Matt Prater kicks extra point good,0.000,0.000
4,8:32,,,DET 35,10,13,"Sam Martin kicks off 60 yards, returned by Tyler Lockett for 19 yards (tackle by Nevin Lawson)",0.000,-0.540
4,8:27,1,10,SEA 24,10,13,Thomas Rawls left tackle for 4 yards (tackle by Josh Wilson),0.540,0.540
4,7:52,2,6,SEA 28,10,13,"Russell Wilson right end for 4 yards (tackle by Darryl Tapp). Russell Wilson fumbles (forced by Darryl Tapp), ball out of bounds at SEA-32",0.540,0.370
4,7:19,3,2,SEA 32,10,13,Thomas Rawls right end for 1 yard (tackle by James Ihedigbo),0.370,-1.180
4,6:37,4,1,SEA 33,10,13,"Jon Ryan punts 65 yards, muffed catch by T.J. Jones, recovered by T.J. Jones and returned for 12 yards (tackle by Kelcie McCray)",-1.180,0.380
4,6:23,1,10,DET 9,10,13,Ameer Abdullah left guard for -1 yards (tackle by Michael Bennett),-0.380,-0.850
4,5:45,2,11,DET 8,10,13,Matthew Stafford pass complete short left to Calvin Johnson for 5 yards (tackle by Cary Williams),-0.850,-0.950
4,5:01,3,6,DET 13,10,13,Matthew Stafford pass complete short right to Golden Tate for 22 yards (tackle by Earl Thomas),-0.950,1.270
4,4:54,1,10,DET 35,10,13,Matthew Stafford pass complete short left to Lance Moore for 4 yards (tackle by Kam Chancellor),1.270,1.260
4,4:17,2,6,DET 39,10,13,Matthew Stafford pass complete short left to Calvin Johnson for 6 yards (tackle by Cary Williams),1.260,1.930
4,3:40,1,10,DET 45,10,13,Ameer Abdullah right tackle for 9 yards (tackle by Earl Thomas and Jordan Hill),1.930,2.600
4,2:55,2,1,SEA 46,10,13,Matthew Stafford pass complete deep right to Tim Wright for 26 yards (tackle by Richard Sherman),2.600,4.240
4,2:15,1,10,SEA 20,10,13,Zach Zenner right tackle for 6 yards (tackle by Ahtyba Rubin and Cliff Avril),4.240,4.640
4,2:00,2,4,SEA 14,10,13,Zach Zenner left tackle for 3 yards (tackle by Kam Chancellor),4.640,4.640
4,1:51,2,4,SEA 14,10,13,Timeout #1 by Seattle Seahawks,4.640,4.640
4,1:51,2,4,SEA 14,10,13,Timeout #1 by Detroit Lions,4.640,4.590
4,1:51,3,1,SEA 11,10,13,Matthew Stafford pass complete short left to Calvin Johnson for 10 yards (tackle by Kam Chancellor and Earl Thomas). Calvin Johnson fumbles (forced by Kam Chancellor),4.590,-0.280
4,1:45,1,10,SEA 20,10,13,Thomas Rawls left tackle for 1 yard (tackle by Caraun Reid),0.280,0.280
4,1:40,1,10,SEA 20,10,13,Timeout #2 by Detroit Lions,0.280,-0.130
4,1:39,2,9,SEA 21,10,13,Thomas Rawls left tackle for 7 yards (tackle by Josh Bynes),-0.130,-0.130
4,1:34,2,9,SEA 21,10,13,Timeout #3 by Detroit Lions,-0.130,0.100
4,1:34,3,2,SEA 28,10,13,Russell Wilson pass complete deep right to Jermaine Kearse for 50 yards (tackle by Rashean Mathis),0.100,4.110
4,1:23,1,10,DET 22,10,13,Russell Wilson kneels for -1 yards,4.110,3.430
4,0:41,2,11,DET 23,10,13,Russell Wilson kneels for -2 yards,3.430,2.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
