Quarter,Time,Tm,Detail,ATL,JAX
1.0,10:48,Falcons,Devonta Freeman 5 yard rush (Shayne Graham kick),7,0
2.0,14:05,Jaguars,Jason Myers 42 yard field goal,7,3
,3:47,Falcons,Julio Jones 11 yard pass from Matt Ryan (Shayne Graham kick),14,3
,0:00,Falcons,Shayne Graham 34 yard field goal,17,3
3.0,10:40,Jaguars,Blake Bortles 1 yard rush (Jason Myers kick),17,10
,6:15,Jaguars,Allen Robinson 10 yard pass from Blake Bortles (Jason Myers kick),17,17
4.0,10:28,Falcons,Shayne Graham 33 yard field goal,20,17
,1:42,Falcons,Shayne Graham 46 yard field goal,23,17
