Unnamed: 0,ATL,JAX
First Downs,22,21
Rush-Yds-TDs,33-83-1,20-85-1
Cmp-Att-Yd-TD-INT,22-35-246-1-1,23-38-297-1-1
Sacked-Yards,1-1,2-12
Net Pass Yards,245,285
Total Yards,328,370
Fumbles-Lost,0-0,3-0
Turnovers,1,1
Penalties-Yards,5-43,5-62
Third Down Conv.,7-14,0-8
Fourth Down Conv.,0-0,0-1
Time of Possession,34:33,25:27
