Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,14:55,1,10,SEA 20,0,0,Russell Wilson up the middle for 2 yards (tackle by Sylvester Williams),0.280,0.000
1,14:24,2,8,SEA 22,0,0,Marshawn Lynch up the middle for 3 yards (tackle by Derek Wolfe),0.000,-0.300
1,13:46,3,5,SEA 25,0,0,Russell Wilson pass incomplete short left intended for Marshawn Lynch,-0.300,-1.700
1,13:42,4,5,SEA 25,0,0,"Jon Ryan punts 61 yards, fair catch by Isaiah Burse",-1.700,0.280
1,13:33,1,10,DEN 14,0,0,"Montee Ball up the middle for 9 yards (tackle by Kam Chancellor). Montee Ball fumbles (forced by Kam Chancellor), recovered by K.J. Wright at DEN-23 (tackle by Ryan Clady)",-0.280,-4.040
1,13:23,1,10,DEN 23,0,0,Jermaine Kearse pass complete short left to Russell Wilson for 17 yards (tackle by Rahim Moore),4.040,5.830
1,12:40,1,6,DEN 6,0,0,Marshawn Lynch left end for 3 yards (tackle by Nate Irving and Sylvester Williams),5.830,5.530
1,11:57,2,3,DEN 3,0,0,Marshawn Lynch left tackle for 2 yards (tackle by Bradley Roby),5.530,5.170
1,11:14,3,1,DEN 1,0,0,Marshawn Lynch right guard for -1 yards (tackle by Nate Irving and Rahim Moore),5.170,3.250
1,10:36,4,2,DEN 2,0,3,Steven Hauschka 20 yard field goal good,3.250,3.000
1,10:36,,,SEA 35,0,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,10:33,1,10,DEN 20,0,3,"Penalty on Michael Bennett: Encroachment, 5 yards (no play)",0.280,1.010
1,10:33,1,5,DEN 25,0,3,Montee Ball right end for -5 yards (tackle by Brandon Mebane),1.010,-0.270
1,9:55,2,10,DEN 20,0,3,Peyton Manning pass complete short middle to Emmanuel Sanders for 12 yards (tackle by Richard Sherman),-0.270,1.070
1,9:23,1,10,DEN 32,0,3,Montee Ball up the middle for 1 yard (tackle by K.J. Wright),1.070,0.660
1,8:44,2,9,DEN 33,0,3,Peyton Manning pass complete deep left to Emmanuel Sanders for 17 yards (tackle by Byron Maxwell),0.660,2.260
1,8:01,1,10,,0,3,Peyton Manning pass complete short right to Virgil Green for 10 yards (tackle by Kam Chancellor),2.260,2.920
1,7:41,1,10,SEA 40,0,3,Montee Ball up the middle for 3 yards (tackle by Kam Chancellor and Bobby Wagner),2.920,2.780
1,7:12,2,7,SEA 37,0,3,Montee Ball up the middle for 5 yards (tackle by Kam Chancellor and Bobby Wagner),2.780,2.740
1,6:38,3,2,SEA 32,0,3,Peyton Manning pass complete short middle to Julius Thomas for 9 yards (tackle by Bobby Wagner),2.740,4.040
1,6:08,1,10,SEA 23,0,3,Montee Ball left guard for 5 yards (tackle by Kam Chancellor),4.040,4.210
1,5:35,2,5,SEA 18,0,3,Peyton Manning pass incomplete short right intended for Demaryius Thomas,4.210,3.490
1,5:27,3,5,SEA 18,0,3,Peyton Manning pass complete short left to Emmanuel Sanders for 8 yards (tackle by Byron Maxwell and Earl Thomas),3.490,4.910
1,4:57,1,10,SEA 10,0,3,Peyton Manning pass complete short right to Emmanuel Sanders for 4 yards (tackle by Earl Thomas),4.910,4.950
1,4:09,2,6,SEA 6,0,3,Montee Ball up the middle for 1 yard (tackle by K.J. Wright),4.950,4.260
1,3:35,3,5,SEA 5,0,3,Peyton Manning pass incomplete short middle intended for Julius Thomas,4.260,3.010
1,3:31,4,5,SEA 5,3,3,Brandon McManus 24 yard field goal good,3.010,3.000
1,3:31,,,DEN 35,3,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,3:27,1,10,SEA 20,3,3,Russell Wilson pass complete short left to Percy Harvin for 7 yards,0.280,0.680
1,2:59,2,3,SEA 27,3,3,Marshawn Lynch right end for 1 yard (tackle by Terrance Knighton and Malik Jackson),0.680,0.100
1,2:42,3,2,SEA 28,3,3,"Penalty on Justin Britt: False Start, 5 yards (no play)",0.100,-0.560
1,2:04,3,7,SEA 23,3,3,Russell Wilson sacked by Von Miller for -3 yards,-0.560,-2.030
1,1:27,4,10,SEA 20,3,3,"Jon Ryan punts 66 yards, returned by Isaiah Burse for 15 yards (tackle by K.J. Wright)",-2.030,-0.870
1,1:12,1,10,DEN 29,3,3,"Peyton Manning pass incomplete short left intended for Demaryius Thomas. Penalty on Byron Maxwell: Defensive Holding, 5 yards (no play)",0.870,1.200
1,1:06,1,10,DEN 34,3,3,Peyton Manning pass complete short left to Emmanuel Sanders for 1 yard (tackle by Byron Maxwell),1.200,0.790
1,0:34,2,9,DEN 35,3,3,Montee Ball left tackle for no gain (tackle by K.J. Wright),0.790,0.100
Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,DEN 35,3,3,Virgil Green up the middle for no gain (tackle by Cliff Avril and Cassius Marsh),0.100,-1.040
2,14:26,4,9,DEN 35,3,3,"Britton Colquitt punts 43 yards, returned by Bryan Walters for 8 yards (tackle by Steven Johnson)",-1.040,-0.940
2,14:13,1,10,SEA 30,3,3,Marshawn Lynch left tackle for 12 yards (tackle by Brandon Marshall),0.940,1.730
2,13:34,1,10,SEA 42,3,3,Russell Wilson pass complete short right to Percy Harvin for 4 yards (tackle by Quanterus Smith and Brandon Marshall),1.730,1.730
2,12:50,2,6,SEA 46,3,3,Russell Wilson left end for 4 yards (tackle by Brandon Marshall),1.730,1.550
2,12:16,3,2,,3,3,Marshawn Lynch right tackle for 5 yards (tackle by Brandon Marshall and Nate Irving),1.550,2.590
2,11:31,1,10,DEN 45,3,3,Marshawn Lynch up the middle for no gain (tackle by Malik Jackson and DeMarcus Ware),2.590,2.040
2,10:49,2,10,DEN 45,3,3,Russell Wilson sacked by T.J. Ward for -10 yards,2.040,0.040
2,10:04,3,20,SEA 45,3,3,Russell Wilson pass complete short right to Doug Baldwin for 14 yards (tackle by Aqib Talib),0.040,0.530
2,9:39,4,6,DEN 41,3,3,"Jon Ryan punts 34 yards, fair catch by Isaiah Burse",0.530,0.380
2,9:31,1,10,DEN 7,3,3,Montee Ball left tackle for 1 yard (tackle by Cassius Marsh),-0.380,-0.710
2,9:04,2,9,DEN 8,3,3,Peyton Manning pass complete short left to Wes Welker for 3 yards (tackle by Bobby Wagner and Marcus Burley),-0.710,-0.950
2,8:29,3,6,DEN 11,3,3,Peyton Manning pass complete short right to Wes Welker for 9 yards (tackle by K.J. Wright),-0.950,0.280
2,7:57,1,10,DEN 20,3,3,Montee Ball up the middle for -1 yards (tackle by Cliff Avril and Bobby Wagner),0.280,-0.460
2,7:22,2,11,DEN 19,3,3,Peyton Manning pass complete short left to Emmanuel Sanders for 13 yards (tackle by Byron Maxwell),-0.460,1.070
2,6:58,1,10,DEN 32,3,3,C.J. Anderson left guard for -1 yards (tackle by Kevin Williams),1.070,0.390
2,6:25,2,11,DEN 31,3,3,Peyton Manning pass complete short left to C.J. Anderson for 1 yard (tackle by Cassius Marsh and Earl Thomas),0.390,-0.160
2,5:53,3,10,DEN 32,3,3,C.J. Anderson up the middle for -2 yards (tackle by Cassius Marsh and Bobby Wagner). Penalty on Julius Thomas: Illegal Motion (Declined),-0.160,-1.370
2,5:39,4,12,DEN 30,3,3,"Britton Colquitt punts 54 yards, returned by Bryan Walters for 11 yards (tackle by Lamin Barrow)",-1.370,-0.740
2,5:27,1,10,SEA 27,3,3,Russell Wilson pass complete short right to Zach Miller for 4 yards (tackle by T.J. Ward),0.740,0.740
2,4:46,2,6,SEA 31,3,3,"Russell Wilson pass incomplete short right intended for Ricardo Lockette (defended by Aqib Talib). Penalty on Ricardo Lockette: Offensive Pass Interference, 10 yards (no play)",0.740,-0.610
2,4:42,2,16,SEA 21,3,3,"Russell Wilson pass incomplete short middle intended for Percy Harvin. Penalty on Von Miller: Defensive Offside, 5 yards (no play)",-0.610,0.060
2,4:39,2,11,SEA 26,3,3,Russell Wilson pass complete short left to Marshawn Lynch for 21 yards (tackle by Derek Wolfe),0.060,2.060
2,3:53,1,10,SEA 47,3,3,Russell Wilson pass complete short right to Doug Baldwin for 14 yards (tackle by Bradley Roby),2.060,2.980
2,3:12,1,10,DEN 39,3,9,"Russell Wilson pass complete deep right to Ricardo Lockette for 39 yards, touchdown",2.980,7.000
2,3:12,,,DEN 2,3,10,Steven Hauschka kicks extra point good,0.000,0.000
2,3:12,,,SEA 35,3,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
2,3:05,1,10,DEN 20,3,10,Peyton Manning pass incomplete deep middle intended for Demaryius Thomas (defended by Earl Thomas),0.280,-0.270
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,2:59,2,10,DEN 20,3,10,Peyton Manning pass incomplete deep left intended for Emmanuel Sanders,-0.270,-0.960
2,2:54,3,10,DEN 20,3,10,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,-0.960,-2.030
2,2:49,4,10,DEN 20,3,10,"Britton Colquitt punts 58 yards, returned by Bryan Walters for 10 yards (tackle by Corey Nelson)",-2.030,-1.070
2,2:38,1,10,SEA 32,3,10,Russell Wilson pass incomplete short right intended for Percy Harvin,1.070,0.530
2,2:34,2,10,SEA 32,3,10,Marshawn Lynch up the middle for 9 yards (tackle by Brandon Marshall and Nate Irving),0.530,1.030
2,2:00,3,1,SEA 41,3,10,Marshawn Lynch up the middle for 3 yards (tackle by Brandon Marshall and Nate Irving),1.030,1.860
2,1:21,1,10,SEA 44,3,10,Russell Wilson right end for 5 yards (tackle by Von Miller),1.860,1.990
2,1:14,2,5,SEA 49,3,10,Russell Wilson pass complete deep right to Doug Baldwin for 16 yards (tackle by Aqib Talib),1.990,1.990
