Unnamed: 0,DEN,SEA
First Downs,20,26
Rush-Yds-TDs,20-36-0,37-129-1
Cmp-Att-Yd-TD-INT,31-49-303-2-1,25-35-275-2-1
Sacked-Yards,1-7,3-20
Net Pass Yards,296,255
Total Yards,332,384
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,4-27,7-34
Third Down Conv.,6-16,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,27:42,38:04
