Quarter,Time,Tm,Detail,DEN,SEA
1,10:33,Seahawks,Stephen Hauschka 20 yard field goal,0,3
,3:27,Broncos,Brandon McManus 24 yard field goal,3,3
2,3:05,Seahawks,Ricardo Lockette 39 yard pass from Russell Wilson (Stephen Hauschka kick),3,10
,0:12,Seahawks,Marshawn Lynch 5 yard pass from Russell Wilson (Stephen Hauschka kick),3,17
4,13:07,Broncos,"Safety, Marshawn Lynch tackled by Nate Irving and T.J. Ward in the end zone.",5,17
,9:20,Broncos,Julius Thomas 3 yard pass from Peyton Manning (Brandon McManus kick),12,17
,0:59,Seahawks,Stephen Hauschka 28 yard field goal,12,20
,0:18,Broncos,Jacob Tamme 26 yard pass from Peyton Manning (Demaryius Thomas pass from Peyton Manning),20,20
OT,9:14,Seahawks,Marshawn Lynch 6 yard rush,20,26
