Unnamed: 0,DEN,KAN
First Downs,23,16
Rush-Yds-TDs,31-177-1,26-79-0
Cmp-Att-Yd-TD-INT,19-36-198-1-3,14-32-202-1-1
Sacked-Yards,3-11,1-5
Net Pass Yards,187,197
Total Yards,364,276
Fumbles-Lost,2-2,1-1
Turnovers,5,2
Penalties-Yards,7-53,7-69
Third Down Conv.,5-13,2-12
Fourth Down Conv.,0-1,0-0
Time of Possession,31:23,28:37
