Quarter,Time,Tm,Detail,DEN,SDG
1.0,12:05,Broncos,Knowshon Moreno 4 yard rush (Matt Prater kick),7,0
,2:14,Chargers,Malcom Floyd 6 yard pass from Philip Rivers (Nate Kaeding kick),7,7
2.0,7:58,Chargers,Mike Tolbert 1 yard rush (Nate Kaeding kick),7,14
,2:05,Chargers,Patrick Crayton 40 yard pass from Philip Rivers (Nate Kaeding kick),7,21
3.0,12:36,Chargers,Darren Sproles 57 yard pass from Philip Rivers (Nate Kaeding kick),7,28
4.0,14:16,Chargers,Jacob Hester 3 yard pass from Philip Rivers (Nate Kaeding kick),7,35
,8:48,Broncos,Brandon Lloyd 13 yard pass from Kyle Orton (Matt Prater kick),14,35
