Unnamed: 0,DEN,SDG
First Downs,16,21
Rush-Yds-TDs,15-63-1,38-147-1
Cmp-Att-Yd-TD-INT,24-38-217-1-1,16-26-261-4-1
Sacked-Yards,5-45,1-8
Net Pass Yards,172,253
Total Yards,235,400
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,8-56,5-40
Third Down Conv.,1-12,7-14
Fourth Down Conv.,1-1,1-1
Time of Possession,25:41,34:19
