Quarter,Time,Tm,Detail,SFO,KAN
2.0,10:52,Chiefs,Dexter McCluster 31 yard pass from Matt Cassel (Ryan Succop kick),0,7
,7:30,49ers,Joe Nedney 51 yard field goal,3,7
,0:00,Chiefs,Ryan Succop 32 yard field goal,3,10
3.0,9:21,Chiefs,Dwayne Bowe 45 yard pass from Matt Cassel (Ryan Succop kick),3,17
,1:35,Chiefs,Tony Moeaki 18 yard pass from Matt Cassel (Ryan Succop kick),3,24
4.0,3:27,Chiefs,Thomas Jones 3 yard rush (Ryan Succop kick),3,31
,0:00,49ers,Josh Morgan 12 yard pass from Alex Smith (Joe Nedney kick),10,31
