Unnamed: 0,SFO,KAN
First Downs,11,21
Rush-Yds-TDs,15-43-0,39-207-1
Cmp-Att-Yd-TD-INT,23-42-232-1-1,16-27-250-3-1
Sacked-Yards,5-24,0-0
Net Pass Yards,208,250
Total Yards,251,457
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,6-55,7-40
Third Down Conv.,4-17,7-14
Fourth Down Conv.,2-3,1-2
Time of Possession,26:10,33:50
