#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,KAN 27,4,1:56,22,Punt
2,1,9:27,KAN 17,6,2:53,33,Punt
3,1,3:23,KAN 16,12,6:00,50,Interception
4,2,11:02,SFO 31,1,0:10,31,Touchdown
5,2,7:30,KAN 20,10,5:35,60,Missed FG
6,2,1:05,KAN 42,7,1:05,44,Field Goal
7,3,12:42,KAN 20,3,2:01,-1,Punt
8,3,9:37,SFO 45,2,0:16,45,Touchdown
9,3,6:40,KAN 39,8,5:05,61,Touchdown
10,4,12:32,KAN 27,4,3:19,21,Punt
11,4,7:53,KAN 43,7,4:26,57,Touchdown
12,4,2:27,SFO 38,4,1:04,9,Downs
