Quarter,Time,Tm,Detail,HOU,LAC
1.0,9:41,Chargers,Keenan Allen 7 yard pass from Philip Rivers (Ty Long kick),0,7
2.0,10:32,Chargers,Ty Long 34 yard field goal,0,10
,8:11,Texans,Darren Fells 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
,0:22,Chargers,Keenan Allen 12 yard pass from Philip Rivers (Ty Long kick),7,17
3.0,7:31,Texans,Carlos Hyde 3 yard rush (Ka'imi Fairbairn kick),14,17
,1:19,Texans,Jordan Akins 15 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,17
4.0,9:40,Texans,Jordan Akins 53 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),27,17
,7:14,Chargers,Ty Long 43 yard field goal,27,20
