Quarter,Time,Down,ToGo,Location,HOU,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Johnathan Joseph),0.610,1.140
1,14:24,2,2,LAC 33,0,0,Austin Ekeler left end for -2 yards (tackle by Whitney Mercilus),1.140,0.170
1,13:40,3,4,LAC 31,0,0,Philip Rivers pass complete short right to Austin Ekeler for -2 yards (tackle by Tashaun Gipson),0.170,-1.440
1,12:57,4,6,LAC 29,0,0,"Ty Long punts 56 yards, returned by DeAndre Carter for 11 yards (tackle by Isaac Rochell and Nick Dzubnar)",-1.440,-0.670
1,12:45,1,10,HOU 26,0,0,"Carlos Hyde up the middle for no gain (tackle by Justin Jones). Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",0.670,1.400
1,12:27,1,5,HOU 31,0,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 5 yards (tackle by Thomas Davis),1.400,1.330
1,11:53,1,10,HOU 36,0,0,Deshaun Watson pass complete short middle to Kenny Stills for 3 yards (tackle by Denzel Perryman),1.330,1.200
1,11:19,2,7,HOU 39,0,0,"Deshaun Watson for -11 yards. Deshaun Watson fumbles, recovered by Desmond King at HOU-28 and returned for 13 yards (tackle by Max Scharping)",1.200,-4.580
1,11:09,1,10,HOU 15,0,0,Philip Rivers pass complete short left to Austin Ekeler for 4 yards (tackle by Justin Reid),4.580,4.640
1,10:31,2,6,HOU 11,0,0,Austin Ekeler up the middle for 4 yards (tackle by Brennan Scarlett),4.640,4.680
1,9:47,3,2,HOU 7,0,6,"Philip Rivers pass complete short left to Keenan Allen for 7 yards, touchdown",4.680,7.000
1,9:41,,,HOU 15,0,7,Ty Long kicks extra point good,0.000,0.000
1,9:41,,,LAC 35,0,7,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,9:41,1,10,HOU 25,0,7,Deshaun Watson pass complete short right to Darren Fells for 6 yards (tackle by Roderic Teamer),0.610,0.870
1,9:14,2,4,HOU 31,0,7,"Carlos Hyde up the middle for 6 yards (tackle by Joey Bosa and Justin Jones). Penalty on Zach Fulton: Offensive Holding, 10 yards (no play)",0.870,-0.480
1,8:43,2,14,HOU 21,0,7,Deshaun Watson pass incomplete short middle intended for Darren Fells,-0.480,-1.150
1,8:38,3,14,HOU 21,0,7,Deshaun Watson left end for 15 yards (tackle by Melvin Ingram),-1.150,1.330
1,8:12,1,10,HOU 36,0,7,Carlos Hyde left tackle for no gain (tackle by Denzel Perryman),1.330,0.790
1,7:32,2,10,HOU 36,0,7,Deshaun Watson pass complete short right to DeAndre Hopkins for 2 yards (tackle by Casey Hayward),0.790,0.370
1,6:53,3,8,HOU 38,0,7,Deshaun Watson pass complete short right to Will Fuller for 11 yards (tackle by Brandon Facyson),0.370,2.190
1,6:19,1,10,HOU 49,0,7,Carlos Hyde right guard for 4 yards (tackle by Desmond King),2.190,2.190
1,5:40,2,6,LAC 47,0,7,Deshaun Watson pass complete short left to DeAndre Hopkins for 4 yards (tackle by Denzel Perryman),2.190,2.010
1,5:06,3,2,LAC 43,0,7,Deshaun Watson pass complete short left to Will Fuller for -3 yards (tackle by Brandon Facyson),2.010,0.200
1,4:23,4,5,LAC 46,0,7,"Bryan Anger punts 33 yards, fair catch by Desmond King at LAC-13",0.200,0.320
1,4:13,1,10,LAC 13,0,7,Philip Rivers pass incomplete short right intended for Keenan Allen,-0.320,-0.770
1,4:06,2,10,LAC 13,0,7,Justin Jackson up the middle for 9 yards (tackle by Whitney Mercilus),-0.770,-0.350
1,3:31,3,1,LAC 22,0,7,"Derek Watt up the middle for no gain (tackle by Zach Cunningham and Benardrick McKinney). Penalty on Mike Williams: Illegal Formation, 5 yards (no play)",-0.350,-0.940
1,3:00,,,,,,Timeout #1 by Los Angeles Chargers,,
1,3:00,3,6,LAC 17,0,7,Philip Rivers pass complete short middle to Mike Williams for 12 yards (tackle by Lonnie Johnson). Penalty on Lonnie Johnson: Defensive Holding (Declined),-0.940,0.870
1,2:40,1,10,LAC 29,0,7,Philip Rivers pass complete short left to Justin Jackson for -5 yards (tackle by Zach Cunningham),0.870,-0.350
1,1:59,2,15,LAC 24,0,7,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Johnathan Joseph and Benardrick McKinney),-0.350,0.040
1,1:21,3,7,LAC 32,0,7,Philip Rivers pass complete short right to Austin Ekeler for 10 yards (tackle by Charles Omenihu),0.040,1.730
1,0:37,1,10,LAC 42,0,7,Justin Jackson right tackle for 8 yards (tackle by Lonnie Johnson and Tashaun Gipson),1.730,2.270
Quarter,Time,Down,ToGo,Location,HOU,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,LAC 50,0,7,Justin Jackson right tackle for 5 yards (tackle by Tashaun Gipson and D.J. Reader),2.270,2.590
2,14:20,1,10,HOU 45,0,7,Philip Rivers pass complete short left to Austin Ekeler for 13 yards (tackle by Justin Reid),2.590,3.450
2,13:34,1,10,HOU 32,0,7,Keenan Allen right end for 3 yards (tackle by Brennan Scarlett),3.450,3.310
2,12:52,2,7,HOU 29,0,7,Philip Rivers pass complete deep right to Dontrelle Inman for 23 yards (tackle by Johnathan Joseph),3.310,5.830
2,12:15,1,6,HOU 6,0,7,"Justin Jackson left tackle for 6 yards. Penalty on Dan Feeney: Offensive Holding, 10 yards (no play)",5.830,4.310
2,12:09,1,16,HOU 16,0,7,Philip Rivers sacked by D.J. Reader for -9 yards,4.310,2.330
2,11:25,2,25,HOU 25,0,7,Justin Jackson left tackle for 10 yards (tackle by J.J. Watt),2.330,2.930
2,10:42,3,15,HOU 15,0,7,Philip Rivers pass incomplete short right intended for Mike Williams (defended by Lonnie Johnson),2.930,2.440
2,10:36,4,15,HOU 15,0,10,Ty Long 34 yard field goal good,2.440,3.000
2,10:32,,,LAC 35,0,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,10:32,1,10,HOU 25,0,10,Deshaun Watson up the middle for 2 yards (tackle by Melvin Ingram),0.610,0.330
2,9:54,2,8,HOU 27,0,10,Deshaun Watson pass complete short left to Darren Fells for 7 yards (tackle by Roderic Teamer),0.330,0.560
2,9:24,3,1,HOU 34,0,10,"Deshaun Watson pass complete deep left to Kenny Stills for 38 yards (tackle by Roderic Teamer). Penalty on Joey Bosa: Roughing the Passer, 14 yards",0.560,4.650
2,8:55,1,10,LAC 14,0,10,Carlos Hyde left end for -2 yards (tackle by Melvin Ingram),4.650,3.720
2,8:18,2,12,LAC 16,6,10,"Nick Martin aborted snap, recovered by Deshaun Watson at LAC-21, touchdown Deshaun Watson pass complete deep right to Darren Fells for 16 yards, touchdown",3.720,7.000
2,8:11,,,LAC 15,7,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,8:11,,,HOU 35,7,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,8:11,1,10,LAC 25,7,10,Austin Ekeler left guard for 11 yards (tackle by Justin Reid),0.610,1.330
2,7:32,1,10,LAC 36,7,10,Philip Rivers pass complete short right to Keenan Allen for 14 yards (tackle by Johnathan Joseph),1.330,2.260
2,6:47,1,10,LAC 50,7,10,Philip Rivers pass complete short left to Travis Benjamin for -7 yards (tackle by J.J. Watt),2.260,0.770
2,6:02,2,17,LAC 43,7,10,Philip Rivers pass incomplete short right intended for Keenan Allen,0.770,0.100
2,5:56,3,17,LAC 43,7,10,Philip Rivers pass complete short right to Austin Ekeler for 6 yards (tackle by Benardrick McKinney),0.100,-0.130
2,5:13,4,11,LAC 49,7,10,"Ty Long punts 45 yards, fair catch by DeAndre Carter at HOU-6",-0.130,0.380
2,5:05,1,10,HOU 6,7,10,Duke Johnson left end for 1 yard (tackle by Thomas Davis),-0.380,-0.710
2,4:30,2,9,HOU 7,7,10,Deshaun Watson pass complete short middle to Kenny Stills for 11 yards (tackle by Roderic Teamer),-0.710,0.040
2,3:57,1,10,HOU 18,7,10,Carlos Hyde up the middle for 3 yards (tackle by Joey Bosa and Justin Jones),0.040,0.010
2,3:17,2,7,HOU 21,7,10,Deshaun Watson pass complete short right to Duke Johnson for 15 yards (tackle by Rayshawn Jenkins and Brandon Mebane),0.010,1.330
2,2:37,1,10,HOU 36,7,10,Deshaun Watson right guard for 7 yards (tackle by Roderic Teamer and Brandon Facyson),1.330,1.740
2,2:00,2,3,HOU 43,7,10,Deshaun Watson pass incomplete deep right intended for Kenny Stills,1.740,1.030
2,1:53,3,3,HOU 43,7,10,Deshaun Watson pass incomplete short right intended for Duke Johnson,1.030,-0.520
2,1:49,4,3,HOU 43,7,10,"Bryan Anger punts 46 yards, fair catch by Desmond King at LAC-11",-0.520,0.370
2,1:40,1,10,LAC 11,7,10,Philip Rivers pass complete short middle to Mike Williams for 20 yards (tackle by Lonnie Johnson). Penalty on Bradley Roby: Defensive Holding (Declined),-0.370,1.000
2,1:33,1,10,LAC 31,7,10,"Philip Rivers pass incomplete intended for Virgil Green. Penalty on Dylan Cole: Defensive Pass Interference, 22 yards (no play)",1.000,2.460
2,1:26,1,10,HOU 47,7,10,Philip Rivers pass complete short right to Austin Ekeler for 11 yards (tackle by Benardrick McKinney),2.460,3.180
2,1:20,,,,,,Timeout #1 by Houston Texans,,
2,1:19,1,10,HOU 36,7,10,Philip Rivers sacked by and Benardrick McKinney for -7 yards,3.180,1.690
2,1:14,,,,,,Timeout #2 by Houston Texans,,
2,1:14,2,17,HOU 43,7,10,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (no play)",1.690,2.370
2,1:14,2,12,HOU 38,7,10,Philip Rivers pass incomplete deep right intended for Mike Williams,2.370,1.690
2,1:08,3,12,HOU 38,7,10,Philip Rivers pass complete short left to Mike Williams for 13 yards (tackle by Lonnie Johnson),1.690,3.910
2,1:02,1,10,HOU 25,7,10,Philip Rivers pass complete short left to Austin Ekeler for 3 yards (tackle by Jahleel Addae),3.910,3.770
2,0:43,2,7,HOU 22,7,10,"Philip Rivers pass incomplete short left intended for Mike Williams (defended by Lonnie Johnson). Penalty on Lonnie Johnson: Defensive Pass Interference, 8 yards (no play)",3.770,4.650
2,0:38,1,10,HOU 14,7,10,Philip Rivers pass complete short middle to Justin Jackson for 2 yards (tackle by Jahleel Addae),4.650,4.330
2,0:29,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:29,2,8,HOU 12,7,16,"Philip Rivers pass complete short right to Keenan Allen for 12 yards, touchdown",4.330,7.000
2,0:22,,,HOU 15,7,17,Ty Long kicks extra point good,0.000,0.000
2,0:22,,,LAC 35,7,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,0:22,1,10,HOU 25,7,17,Deshaun Watson pass incomplete short right intended for Kenny Stills,0.610,0.060
2,0:11,2,10,HOU 25,7,17,Deshaun Watson pass complete deep middle to Kenny Stills for 37 yards (tackle by Desmond King),0.060,3.050
2,0:02,,,,,,Timeout #3 by Houston Texans,,
2,0:02,1,10,LAC 38,7,17,Ka'imi Fairbairn 56 yard field goal no good,3.050,1.930
Quarter,Time,Down,ToGo,Location,HOU,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,7,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,7,17,Deshaun Watson right end for 3 yards (tackle by Melvin Ingram),0.610,0.470
3,14:20,2,7,HOU 28,7,17,"Penalty on Zach Fulton: False Start, 5 yards (no play)",0.470,-0.210
3,13:57,2,12,HOU 23,7,17,Deshaun Watson pass complete short left to Jordan Akins for 5 yards (tackle by Thomas Davis),-0.210,-0.230
3,13:12,3,7,HOU 28,7,17,Deshaun Watson pass incomplete short left intended for Will Fuller,-0.230,-1.500
3,13:05,4,7,HOU 28,7,17,"Bryan Anger punts 46 yards, returned by Desmond King for no gain (tackle by Jahleel Addae)",-1.500,-0.670
3,12:55,1,10,LAC 26,7,17,Justin Jackson left end for -6 yards (tackle by Whitney Mercilus),0.670,-0.680
3,12:16,2,16,LAC 20,7,17,Philip Rivers pass complete short right to Justin Jackson for -2 yards (tackle by Bradley Roby),-0.680,-1.800
3,11:31,3,18,LAC 18,7,17,Philip Rivers pass incomplete deep middle intended for Dontrelle Inman,-1.800,-2.240
3,11:23,4,18,LAC 18,7,17,"Ty Long punts 60 yards, returned by DeAndre Carter for 23 yards (tackle by Drue Tranquill)",-2.240,-1.930
3,11:08,1,10,HOU 45,7,17,Deshaun Watson pass incomplete short middle intended for DeAndre Hopkins (defended by Casey Hayward),1.930,1.380
3,11:03,2,10,HOU 45,7,17,Deshaun Watson pass complete short left to Will Fuller for 10 yards (tackle by Casey Hayward),1.380,2.590
3,10:35,1,10,LAC 45,7,17,Carlos Hyde right guard for 1 yard (tackle by Denzel Perryman and Damion Square),2.590,2.180
3,9:54,2,9,LAC 44,7,17,Deshaun Watson sacked by Brandon Mebane for -5 yards,2.180,0.830
3,9:12,3,14,LAC 49,7,17,Deshaun Watson pass complete short left to DeAndre Hopkins for 15 yards (tackle by Jaylen Watkins),0.830,3.310
3,8:41,1,10,LAC 34,7,17,Duke Johnson left tackle for 1 yard (tackle by Justin Jones),3.310,2.910
3,8:16,2,9,LAC 33,7,17,Deshaun Watson pass complete deep right to Will Fuller for 30 yards (tackle by Roderic Teamer),2.910,6.510
3,7:36,1,3,LAC 3,13,17,"Carlos Hyde up the middle for 3 yards, touchdown",6.510,7.000
3,7:31,,,LAC 15,14,17,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,7:31,,,HOU 35,14,17,"Ka'imi Fairbairn kicks off 62 yards, returned by Desmond King for 23 yards (tackle by Dylan Cole)",0.000,0.670
3,7:24,1,10,LAC 26,14,17,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Johnathan Joseph),0.670,1.400
3,6:53,1,10,LAC 37,14,17,Austin Ekeler right end for 3 yards (tackle by Zach Cunningham),1.400,1.260
3,6:11,2,7,LAC 40,14,17,Philip Rivers sacked by and D.J. Reader for -6 yards,1.260,-0.230
3,5:27,3,13,LAC 34,14,17,Philip Rivers pass complete deep right to Keenan Allen for 31 yards (tackle by Tashaun Gipson),-0.230,3.250
3,4:40,1,10,HOU 35,14,17,Austin Ekeler left end for 6 yards (tackle by Justin Reid),3.250,3.510
3,3:58,2,4,HOU 29,14,17,Philip Rivers pass incomplete deep right intended for Keenan Allen,3.510,2.810
3,3:52,3,4,HOU 29,14,17,"Philip Rivers sacked by Whitney Mercilus for no gain. Philip Rivers fumbles (forced by Whitney Mercilus), recovered by Zach Cunningham at HOU-27 (tackle by Michael Schofield)",2.810,-0.740
3,3:43,1,10,HOU 27,14,17,Carlos Hyde up the middle for 2 yards (tackle by Thomas Davis and Denzel Perryman),0.740,0.470
3,3:09,2,8,HOU 29,14,17,"Deshaun Watson pass incomplete short left intended for DeAndre Hopkins. Penalty on Justin Jones: Roughing the Passer, 15 yards (no play)",0.470,1.860
3,2:59,1,10,HOU 44,14,17,Deshaun Watson pass incomplete short right intended for Will Fuller (defended by Brandon Facyson),1.860,1.320
3,2:52,2,10,HOU 44,14,17,Deshaun Watson pass complete short right to DeAndre Hopkins for 7 yards (tackle by Denzel Perryman and Thomas Davis),1.320,1.550
3,2:07,3,3,LAC 49,14,17,Deshaun Watson pass complete short middle to DeAndre Hopkins for 34 yards (tackle by Rayshawn Jenkins),1.550,4.580
3,1:30,1,10,LAC 15,14,17,Deshaun Watson pass incomplete short right intended for Jordan Akins,4.580,3.950
3,1:25,2,10,LAC 15,20,17,"Deshaun Watson pass complete short right to Jordan Akins for 15 yards, touchdown",3.950,7.000
3,1:19,,,LAC 15,21,17,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,1:19,,,HOU 35,21,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,1:19,1,10,LAC 25,21,17,Philip Rivers pass complete short left to Travis Benjamin for 12 yards (tackle by Johnathan Joseph),0.610,1.400
3,0:50,1,10,LAC 37,21,17,"Austin Ekeler right tackle for 3 yards (tackle by Whitney Mercilus). Penalty on Dan Feeney: Offensive Holding, 10 yards",1.400,0.940
3,0:32,1,17,LAC 30,21,17,Austin Ekeler left end for 6 yards (tackle by Benardrick McKinney and Justin Reid),0.940,0.720
Quarter,Time,Down,ToGo,Location,HOU,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,LAC 36,21,17,Philip Rivers pass complete short left to Lance Kendricks for 13 yards (tackle by Benardrick McKinney),0.720,2.190
4,14:18,1,10,LAC 49,21,17,Austin Ekeler up the middle for 1 yard (tackle by Zach Cunningham),2.190,1.780
4,13:50,2,9,LAC 50,21,17,Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Johnathan Joseph),1.780,1.090
4,13:43,3,9,LAC 50,21,17,Philip Rivers pass incomplete deep left intended for Keenan Allen,1.090,-0.060
4,13:37,4,9,LAC 50,21,17,"Ty Long punts 32 yards, fair catch by DeAndre Carter at HOU-18",-0.060,-0.040
4,13:28,1,10,HOU 18,21,17,Deshaun Watson pass complete short right to Duke Johnson for 7 yards (tackle by Thomas Davis),0.040,0.550
4,12:45,2,3,HOU 25,21,17,Carlos Hyde right tackle for 10 yards (tackle by Desmond King and Rayshawn Jenkins),0.550,1.270
4,12:00,1,10,HOU 35,21,17,Deshaun Watson pass deep left is intercepted by Rayshawn Jenkins at LAC-40 and returned for 1 yard. Penalty on Nick Martin: Offensive Holding (Offsetting) (no play),1.270,1.270
4,11:50,1,10,HOU 35,21,17,Carlos Hyde left end for no gain (tackle by Damion Square),1.270,0.720
4,11:06,2,10,HOU 35,21,17,Deshaun Watson pass complete short middle to Darren Fells for 9 yards (tackle by Desmond King),0.720,1.220
4,10:28,3,1,HOU 44,21,17,Deshaun Watson pass complete short right to Will Fuller for 3 yards (tackle by Roderic Teamer),1.220,2.060
4,10:00,1,10,HOU 47,21,17,Deshaun Watson pass incomplete short left intended for Jordan Akins (defended by Desmond King),2.060,1.520
4,9:53,2,10,HOU 47,27,17,"Deshaun Watson pass complete short middle to Jordan Akins for 53 yards, touchdown",1.520,7.000
4,9:40,,,LAC 15,27,17,Ka'imi Fairbairn kicks extra point no good wide right,0.000,-1.000
4,9:40,,,HOU 35,27,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,9:40,1,10,LAC 25,27,17,Philip Rivers pass complete short left to Keenan Allen for 8 yards (tackle by Johnathan Joseph),0.610,1.140
4,9:13,2,2,LAC 33,27,17,Philip Rivers pass complete short left to Keenan Allen for 34 yards (tackle by Justin Reid),1.140,3.380
4,8:39,1,10,HOU 33,27,17,Philip Rivers pass complete short left to Justin Jackson for 9 yards (tackle by Justin Reid and Lonnie Johnson),3.380,4.050
4,8:04,2,1,HOU 24,27,17,Philip Rivers pass incomplete short left intended for Travis Benjamin (defended by Johnathan Joseph),4.050,3.340
4,7:59,3,1,HOU 24,27,17,Derek Watt up the middle for -1 yards (tackle by Justin Reid and Benardrick McKinney),3.340,1.930
4,7:19,4,2,HOU 25,27,20,Ty Long 43 yard field goal good,1.930,3.000
4,7:14,,,LAC 35,27,20,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,7:14,1,10,HOU 25,27,20,Deshaun Watson pass complete short right to Darren Fells for 11 yards (tackle by Casey Hayward),0.610,1.330
4,6:41,1,10,HOU 36,27,20,Carlos Hyde right guard for -2 yards (tackle by Joey Bosa),1.330,0.520
4,6:00,2,12,HOU 34,27,20,Deshaun Watson right end for 3 yards (tackle by Thomas Davis),0.520,0.230
4,5:11,3,9,HOU 37,27,20,Deshaun Watson sacked by and Thomas Davis for -9 yards,0.230,-1.500
4,4:30,4,18,HOU 28,27,20,"Bryan Anger punts 55 yards, returned by Desmond King for -1 yards (tackle by Zach Cunningham)",-1.500,0.140
4,4:19,1,10,LAC 16,27,20,Philip Rivers pass complete short left to Keenan Allen for 3 yards (tackle by Johnathan Joseph),-0.140,-0.180
4,3:39,2,7,LAC 19,27,20,Philip Rivers pass complete deep right to Keenan Allen for 27 yards (tackle by Bradley Roby),-0.180,1.990
4,2:59,1,10,LAC 46,27,20,Philip Rivers sacked by J.J. Watt for -3 yards,1.990,1.050
4,2:18,2,13,LAC 43,27,20,Philip Rivers pass incomplete deep left intended for Mike Williams,1.050,0.370
4,2:12,3,13,LAC 43,27,20,Philip Rivers pass incomplete deep right intended for Lance Kendricks,0.370,-0.520
4,2:07,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:07,4,13,LAC 43,27,20,Philip Rivers pass complete short middle to Keenan Allen for 15 yards (tackle by Lonnie Johnson),-0.520,2.790
4,2:00,1,10,HOU 42,27,20,Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Tashaun Gipson),2.790,2.240
4,1:53,2,10,HOU 42,27,20,Philip Rivers pass incomplete short right intended for Sean Culkin,2.240,1.550
4,1:48,3,10,HOU 42,27,20,Philip Rivers up the middle for 8 yards (tackle by Bradley Roby),1.550,1.100
4,1:05,4,2,HOU 34,27,20,Austin Ekeler up the middle for 4 yards (tackle by Justin Reid),1.100,3.580
4,0:46,,,,,,Timeout #1 by Houston Texans,,
4,0:46,1,10,HOU 30,27,20,Philip Rivers right end for 1 yard (tackle by Zach Cunningham),3.580,3.170
4,0:36,2,9,HOU 29,27,20,Philip Rivers pass complete short middle to Keenan Allen for 5 yards (tackle by Johnathan Joseph),3.170,3.140
4,0:30,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:30,3,4,HOU 24,27,20,"Philip Rivers pass complete deep left to Mike Williams for 17 yards (tackle by Lonnie Johnson). Penalty on Trenton Scott: Offensive Holding, 10 yards (no play)",3.140,1.820
4,0:24,3,14,HOU 34,27,20,Philip Rivers pass incomplete deep middle intended for Mike Williams (defended by Tashaun Gipson),1.820,1.060
