Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 57 yards, returned by Steven Sims for 12 yards (tackle by Josh Sweat)",0.000,0.280
1,14:54,1,10,WAS 20,0,0,Derrius Guice right tackle for 5 yards (tackle by Ronald Darby and Rodney McLeod),0.280,0.410
1,14:16,2,5,WAS 25,0,0,Case Keenum pass complete short left to Jeremy Sprinkle for 8 yards (tackle by Zach Brown),0.410,1.140
1,13:41,1,10,WAS 33,0,0,Derrius Guice right tackle for 3 yards (tackle by Fletcher Cox),1.140,1.000
1,13:02,2,7,WAS 36,0,0,Case Keenum pass complete short middle to Derrius Guice for 8 yards (tackle by Derek Barnett),1.000,1.860
1,12:26,1,10,WAS 44,0,0,Derrius Guice up the middle for 1 yard (tackle by Brandon Graham and Nigel Bradham),1.860,1.450
1,11:48,2,9,WAS 45,0,0,Case Keenum pass complete short left to Paul Richardson for 7 yards (tackle by Rasul Douglas),1.450,1.690
1,11:08,3,2,PHI 48,6,0,"Case Keenum pass complete short right to Vernon Davis for 48 yards, touchdown",1.690,7.000
1,10:54,,,PHI 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,10:54,,,WAS 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,10:54,1,10,PHI 25,7,0,Carson Wentz pass incomplete short right intended for Zach Ertz,0.610,0.060
1,10:48,2,10,PHI 25,7,0,Carson Wentz pass complete short right to DeSean Jackson for 11 yards,0.060,1.330
1,10:17,1,10,PHI 36,7,0,Miles Sanders right end for 2 yards (tackle by Cole Holcomb),1.330,1.060
1,9:35,2,8,PHI 38,7,0,"Darren Sproles up the middle for 6 yards (tackle by Montae Nicholson). Penalty on DeSean Jackson: Unnecessary Roughness, 15 yards",1.060,-0.820
1,8:59,3,17,PHI 29,7,0,Carson Wentz pass incomplete deep left intended for Nelson Agholor,-0.820,-1.440
1,8:53,4,17,PHI 29,7,0,"Cameron Johnston punts 52 yards, returned by Trey Quinn for 11 yards (tackle by Cameron Johnston). Penalty on Tanner Vallejo: Illegal Block Above the Waist, 10 yards",-1.440,-0.280
1,8:43,1,10,WAS 20,7,0,Case Keenum pass complete deep right to Kelvin Harmon for 21 yards (tackle by Ronald Darby),0.280,1.660
1,7:57,1,10,WAS 41,7,0,Derrius Guice right end for 1 yard (tackle by Zach Brown),1.660,1.260
1,7:16,2,9,WAS 42,7,0,Chris Thompson right end for 1 yard (tackle by Vinny Curry),1.260,0.700
1,6:32,3,8,WAS 43,7,0,Case Keenum pass complete deep middle to Paul Richardson for 17 yards (tackle by Andrew Sendejo),0.700,2.920
1,5:50,1,10,PHI 40,7,0,"Chris Thompson right end for 6 yards (tackle by Ronald Darby). Penalty on Morgan Moses: Offensive Holding, 10 yards (no play)",2.920,2.260
1,5:28,1,20,WAS 50,7,0,Case Keenum pass incomplete short middle intended for Vernon Davis (defended by Ronald Darby),2.260,1.020
1,5:25,2,20,WAS 50,7,0,Case Keenum pass complete short left to Terry McLaurin for 13 yards (tackle by Rasul Douglas),1.020,2.080
1,4:40,3,7,PHI 37,7,0,Case Keenum pass complete short right to Trey Quinn for 14 yards (tackle by Ronald Darby),2.080,4.040
1,4:17,1,10,PHI 23,7,0,Derrius Guice right end for 4 yards (tackle by Derek Barnett),4.040,4.050
1,3:37,2,6,PHI 19,7,0,Case Keenum pass incomplete deep right intended for Paul Richardson (defended by Ronald Darby),4.050,3.340
1,3:29,3,6,PHI 19,7,0,Case Keenum pass complete short right to Vernon Davis for -4 yards (tackle by Brandon Graham),3.340,1.930
1,2:51,4,10,PHI 23,10,0,Dustin Hopkins 41 yard field goal good,1.930,3.000
1,2:48,,,WAS 35,10,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,2:48,1,10,PHI 25,10,0,Carson Wentz pass complete short middle to Darren Sproles for 4 yards (tackle by Landon Collins and Jonathan Bostic),0.610,0.600
1,2:11,2,6,PHI 29,10,0,Carson Wentz pass complete short left to Zach Ertz for 5 yards (tackle by Landon Collins),0.600,0.560
1,1:27,3,1,PHI 34,10,0,Carson Wentz up the middle for 2 yards (tackle by Jonathan Bostic and Ryan Kerrigan),0.560,1.330
1,0:42,1,10,PHI 36,10,0,Miles Sanders left tackle for -2 yards (tackle by Cole Holcomb),1.330,0.520
1,0:09,2,12,PHI 34,10,0,"Penalty on Ryan Anderson: Neutral Zone Infraction, 5 yards (no play)",0.520,1.200
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 39,10,0,Darren Sproles left end for 4 yards (tackle by Cole Holcomb),1.200,1.030
2,14:20,3,3,PHI 43,10,0,Carson Wentz pass complete short right to DeSean Jackson for 9 yards (tackle by Quinton Dunbar),1.030,2.390
2,13:43,1,10,WAS 48,10,0,Carson Wentz pass complete short right to Jordan Howard for 5 yards (tackle by Jimmy Moreland),2.390,2.520
2,13:10,2,5,WAS 43,10,0,Jordan Howard right guard for 6 yards (tackle by Montez Sweat),2.520,3.120
2,12:43,1,10,WAS 37,10,0,Jordan Howard left tackle for 6 yards (tackle by Matthew Ioannidis and Da'Ron Payne),3.120,3.380
2,12:20,2,4,WAS 31,10,0,Carson Wentz pass complete short right to DeSean Jackson for -3 yards (tackle by Josh Norman),3.380,2.280
2,11:42,3,7,WAS 34,10,0,Carson Wentz pass complete short right to Darren Sproles for 5 yards (tackle by Quinton Dunbar and Cole Holcomb),2.280,1.600
2,10:52,4,2,WAS 29,10,0,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Da'Ron Payne),1.600,-0.870
2,10:49,1,10,WAS 29,10,0,Derrius Guice left end for 2 yards (tackle by Hassan Ridgeway and Rodney McLeod),0.870,0.600
2,10:07,,,,,,Timeout #1 by Washington Redskins,,
2,10:07,2,8,WAS 31,16,0,"Case Keenum pass complete deep middle to Terry McLaurin for 69 yards, touchdown",0.600,7.000
2,9:57,,,PHI 15,17,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,9:57,,,WAS 35,17,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,9:57,1,10,PHI 25,17,0,Carson Wentz pass complete short left to Miles Sanders for 2 yards (tackle by Jimmy Moreland),0.610,0.330
2,9:19,2,8,PHI 27,17,0,Carson Wentz pass complete short right to Nelson Agholor for 7 yards (tackle by Shaun Dion Hamilton),0.330,0.560
2,8:43,,,,,,Timeout #1 by Philadelphia Eagles,,
2,8:43,3,1,PHI 34,17,0,Darren Sproles right end for -2 yards (tackle by Shaun Dion Hamilton),0.560,-1.240
2,8:10,4,3,PHI 32,17,0,"Cameron Johnston punts 54 yards, fair catch by Trey Quinn at WAS-14",-1.240,0.280
2,8:02,1,10,WAS 14,17,0,"Derrius Guice up the middle for 5 yards (tackle by Nigel Bradham). Penalty on Trey Quinn: Offensive Holding, 7 yards (no play)",-0.280,-0.650
2,7:35,1,17,WAS 7,17,0,Derrius Guice right end for 5 yards (tackle by Derek Barnett),-0.650,-0.930
2,6:53,2,12,WAS 12,17,0,Case Keenum pass complete short left to Derrius Guice for 5 yards (tackle by Avonte Maddox and Nigel Bradham),-0.930,-1.040
2,6:04,3,7,WAS 17,17,0,Case Keenum pass incomplete short right intended for Chris Thompson,-1.040,-2.320
2,5:59,4,7,WAS 17,17,0,"Tress Way punts 57 yards, returned by Darren Sproles for 12 yards (tackle by Troy Apke and J.P. Holtz)",-2.320,-1.470
2,5:47,1,10,PHI 38,17,0,Miles Sanders left end for no gain (tackle by Da'Ron Payne),1.470,0.920
2,5:11,2,10,PHI 38,17,0,Carson Wentz pass complete short left to Alshon Jeffery for 11 yards,0.920,2.190
2,4:38,1,10,PHI 49,17,0,Carson Wentz pass incomplete deep right intended for Nelson Agholor,2.190,1.650
2,4:33,2,10,PHI 49,17,0,Carson Wentz pass incomplete deep left intended for Dallas Goedert (defended by Montae Nicholson),1.650,0.960
2,4:27,3,10,PHI 49,17,6,"Carson Wentz pass complete deep middle to DeSean Jackson for 51 yards, touchdown",0.960,7.000
2,4:19,,,WAS 15,17,7,Jake Elliott kicks extra point good,0.000,0.000
2,4:19,,,PHI 35,17,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,4:19,1,10,WAS 25,17,7,Case Keenum pass incomplete short left intended for Vernon Davis,0.610,0.060
2,4:13,2,10,WAS 25,17,7,Chris Thompson left end for 7 yards (tackle by Rodney McLeod and Derek Barnett),0.060,0.300
2,3:27,3,3,WAS 32,17,7,Chris Thompson up the middle for 2 yards (tackle by Nigel Bradham),0.300,-1.110
2,2:41,,,,,,Timeout #2 by Washington Redskins,,
2,2:41,4,1,WAS 34,17,7,"Tress Way punts 46 yards, fair catch by Darren Sproles at PHI-20. Penalty on Cole Holcomb: Offensive Holding, 9 yards (no play)",-1.110,-1.700
2,2:33,4,10,WAS 25,17,7,Tress Way punts 57 yards out of bounds,-1.700,-0.040
2,2:27,1,10,PHI 18,17,7,Carson Wentz sacked by Cassanova McKinzy for no gain,0.040,-0.490
2,2:00,2,10,PHI 18,17,7,Carson Wentz pass incomplete deep middle intended for Alshon Jeffery (defended by Josh Norman),-0.490,-1.170
2,1:55,3,10,PHI 18,17,7,Carson Wentz pass complete short right to DeSean Jackson for 5 yards (tackle by Quinton Dunbar),-1.170,-1.830
2,1:48,,,,,,Timeout #3 by Washington Redskins,,
2,1:48,4,5,PHI 23,17,7,"Cameron Johnston punts 48 yards, fair catch by Trey Quinn at WAS-29",-1.830,-0.870
2,1:41,1,10,WAS 29,17,7,Case Keenum pass complete short right to Paul Richardson for 7 yards (tackle by Andrew Sendejo),0.870,1.270
2,1:21,2,3,WAS 36,17,7,Case Keenum pass incomplete short left intended for Trey Quinn,1.270,0.560
2,1:18,3,3,WAS 36,17,7,Case Keenum pass complete short left to Paul Richardson for 5 yards (tackle by Rasul Douglas),0.560,1.660
2,0:58,1,10,WAS 41,17,7,Case Keenum pass incomplete deep right intended for Paul Richardson,1.660,1.120
2,0:53,2,10,WAS 41,17,7,Case Keenum pass complete short right to Vernon Davis for 6 yards (tackle by Malcolm Jenkins),1.120,1.220
2,0:48,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:48,3,4,WAS 47,17,7,Case Keenum pass complete deep right to Terry McLaurin for 22 yards (tackle by Ronald Darby),1.220,3.510
2,0:42,1,10,PHI 31,17,7,"Penalty on WAS: Delay of Game, 5 yards (no play)",3.510,3.180
2,0:42,1,15,PHI 36,17,7,Case Keenum sacked by Timmy Jernigan for -10 yards,3.180,0.940
2,0:18,2,25,PHI 46,17,7,Case Keenum pass complete short left to Chris Thompson for 11 yards (tackle by Nigel Bradham),0.940,1.750
2,0:04,3,14,PHI 35,17,7,"Case Keenum spiked the ball. Penalty on Derek Barnett: Defensive Offside, 5 yards (no play)",1.750,2.410
2,0:04,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:04,3,9,PHI 30,20,7,Dustin Hopkins 48 yard field goal good,2.410,3.000
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,20,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,20,7,Darren Sproles left end for 3 yards (tackle by Cole Holcomb),0.610,0.470
3,14:19,2,7,PHI 28,20,7,Miles Sanders left end for 2 yards (tackle by Montez Sweat and Matthew Ioannidis),0.470,0.040
3,13:42,3,5,PHI 30,20,7,Darren Sproles up the middle for 4 yards (tackle by Montae Nicholson and Montez Sweat),0.040,-1.110
3,13:03,4,1,PHI 34,20,7,Carson Wentz up the middle for 2 yards (tackle by Matthew Ioannidis),-1.110,1.330
3,12:27,1,10,PHI 36,20,7,Carson Wentz pass complete short right to Alshon Jeffery for 12 yards (tackle by Josh Norman),1.330,2.130
3,11:42,1,10,PHI 48,20,7,Carson Wentz pass complete short left to Alshon Jeffery for 5 yards (tackle by Josh Norman),2.130,2.260
3,11:07,2,5,WAS 47,20,7,Darren Sproles left end for 8 yards,2.260,2.980
3,10:42,1,10,WAS 39,20,7,Darren Sproles left guard for 17 yards (tackle by Montae Nicholson),2.980,4.110
3,10:00,1,10,WAS 22,20,7,Miles Sanders up the middle for 19 yards (tackle by Dominique Rodgers-Cromartie),4.110,6.510
3,9:17,1,3,WAS 3,20,7,Miles Sanders up the middle for no gain (tackle by Landon Collins),6.510,5.530
3,8:36,2,3,WAS 3,20,7,Miles Sanders right end for -2 yards (tackle by Da'Ron Payne),5.530,4.260
3,7:54,3,5,WAS 5,20,13,"Carson Wentz pass complete short right to Alshon Jeffery for 5 yards, touchdown",4.260,7.000
3,7:50,,,WAS 15,20,14,Jake Elliott kicks extra point good,0.000,0.000
3,7:50,,,PHI 35,20,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,7:50,1,10,WAS 25,20,14,Derrius Guice left tackle for no gain (tackle by Brandon Graham),0.610,0.060
3,7:14,2,10,WAS 25,20,14,"Penalty on Morgan Moses: False Start, 5 yards (no play)",0.060,-0.610
3,6:52,2,15,WAS 20,20,14,Derrius Guice right guard for -5 yards (tackle by Fletcher Cox),-0.610,-2.350
3,6:07,3,20,WAS 15,20,14,Case Keenum pass complete short right to Chris Thompson for 11 yards (tackle by Ronald Darby),-2.350,-1.630
3,5:32,4,9,WAS 26,20,14,"Tress Way punts 44 yards, returned by Darren Sproles for 17 yards (tackle by Nick Sundberg)",-1.630,-2.060
3,5:22,1,10,PHI 47,20,14,Carson Wentz pass incomplete short left intended for Jordan Howard,2.060,1.520
3,5:17,2,10,PHI 47,20,14,Carson Wentz pass incomplete short left intended for Zach Ertz,1.520,0.830
3,5:15,3,10,PHI 47,20,20,"Carson Wentz pass complete deep right to DeSean Jackson for 53 yards, touchdown",0.830,7.000
3,5:07,,,WAS 15,20,21,Jake Elliott kicks extra point good,0.000,0.000
3,5:07,,,PHI 35,20,21,"Jake Elliott kicks off 53 yards, returned by Steven Sims for 15 yards (tackle by Andrew Sendejo)",0.000,0.740
3,5:02,1,10,WAS 27,20,21,Case Keenum pass incomplete deep middle intended for Terry McLaurin,0.740,0.200
3,4:57,2,10,WAS 27,20,21,Case Keenum pass incomplete short left intended for Paul Richardson,0.200,-0.490
3,4:53,3,10,WAS 27,20,21,Case Keenum pass incomplete short middle intended for Vernon Davis (defended by Sidney Jones). Penalty on Donald Penn: Offensive Holding (Declined),-0.490,-1.570
3,4:50,4,10,WAS 27,20,21,"Tress Way punts 58 yards, returned by Darren Sproles for 14 yards (tackle by Cole Holcomb)",-1.570,-0.870
3,4:37,1,10,PHI 29,20,21,Carson Wentz pass complete short right to Zach Ertz for 5 yards (tackle by Landon Collins),0.870,1.000
3,3:57,2,5,PHI 34,20,21,Miles Sanders right end for -4 yards (tackle by Montez Sweat),1.000,-0.230
3,3:15,3,9,PHI 30,20,21,Carson Wentz pass complete deep right to DeSean Jackson for 19 yards,-0.230,2.190
3,2:38,1,10,PHI 49,20,21,Carson Wentz pass complete short left to Nelson Agholor for 4 yards (tackle by Quinton Dunbar),2.190,2.190
3,2:05,2,6,WAS 47,20,21,Darren Sproles left end for 2 yards (tackle by Landon Collins),2.190,1.750
3,1:28,3,4,WAS 45,20,21,Carson Wentz pass complete short right to DeSean Jackson for 9 yards (tackle by Josh Norman),1.750,3.180
3,0:48,1,10,WAS 36,20,21,Miles Sanders right end for 8 yards (tackle by Quinton Dunbar),3.180,3.720
3,0:13,2,2,WAS 28,20,21,Carson Wentz pass complete short right to Zach Ertz for 26 yards (tackle by Montae Nicholson),3.720,6.740
Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,WAS 2,20,27,"Alshon Jeffery right end for 2 yards, touchdown",6.740,7.000
4,14:55,,,WAS 2,20,29,"Two Point Attempt: Darren Sproles rushes, conversion succeeds.",1.000,1.000
4,14:55,,,PHI 35,20,29,"Jake Elliott kicks off 63 yards, returned by Steven Sims for 19 yards (tackle by Andrew Sendejo)",0.000,0.340
4,14:51,1,10,WAS 21,20,29,Case Keenum pass complete short left to Derrius Guice for 7 yards (tackle by Avonte Maddox),0.340,0.750
4,14:12,2,3,WAS 28,20,29,"Derrius Guice right end for 2 yards (tackle by Nigel Bradham). Penalty on Donald Penn: Chop Block, 15 yards",0.750,-1.140
4,13:44,2,16,WAS 15,20,29,Case Keenum pass complete short right to Chris Thompson for 6 yards,-1.140,-0.890
4,13:05,3,10,WAS 21,20,29,"Penalty on Donald Penn: False Start, 5 yards (no play)",-0.890,-1.780
4,12:59,3,15,WAS 16,20,29,Case Keenum pass complete short left to Vernon Davis for 9 yards (tackle by Sidney Jones and Avonte Maddox),-1.780,-1.700
4,12:16,4,6,WAS 25,20,29,"Tress Way punts 56 yards, returned by Darren Sproles for 3 yards (tackle by Deshazor Everett)",-1.700,-0.410
4,12:05,1,10,PHI 22,20,29,Miles Sanders left end for -5 yards (tackle by Cole Holcomb),0.410,-0.940
4,11:26,2,15,PHI 17,20,29,Carson Wentz pass incomplete deep right intended for Nelson Agholor,-0.940,-1.680
4,11:21,3,15,PHI 17,20,29,Carson Wentz pass complete short left to Zach Ertz for 16 yards (tackle by Quinton Dunbar),-1.680,1.140
4,10:38,1,10,PHI 33,20,29,Carson Wentz pass complete short left to Dallas Goedert for 9 yards (tackle by Landon Collins),1.140,1.810
4,10:04,2,1,PHI 42,20,29,Carson Wentz pass incomplete short left intended for Miles Sanders,1.810,1.090
4,10:00,3,1,PHI 42,20,29,Carson Wentz pass complete short left to Zach Ertz for 2 yards (tackle by Jimmy Moreland),1.090,1.860
4,9:16,1,10,PHI 44,20,29,"Darren Sproles right end for 3 yards (tackle by Quinton Dunbar). Penalty on Halapoulivaati Vaitai: Offensive Holding, 10 yards (no play)",1.860,1.200
4,8:51,1,20,PHI 34,20,29,Jordan Howard up the middle for 9 yards (tackle by Montez Sweat),1.200,1.180
4,8:09,2,11,PHI 43,20,29,Jordan Howard left end for 17 yards (tackle by Quinton Dunbar),1.180,2.920
4,7:30,1,10,WAS 40,20,29,Jordan Howard left end for 3 yards (tackle by Cole Holcomb),2.920,2.780
4,6:45,2,7,WAS 37,20,29,Carson Wentz pass incomplete short right intended for DeSean Jackson,2.780,2.080
