Quarter,Time,Tm,Detail,WAS,PHI
1.0,10:54,Redskins,Vernon Davis 48 yard pass from Case Keenum (Dustin Hopkins kick),7,0
,2:48,Redskins,Dustin Hopkins 41 yard field goal,10,0
2.0,9:57,Redskins,Terry McLaurin 69 yard pass from Case Keenum (Dustin Hopkins kick),17,0
,4:19,Eagles,DeSean Jackson 51 yard pass from Carson Wentz (Jake Elliott kick),17,7
,0:00,Redskins,Dustin Hopkins 48 yard field goal,20,7
3.0,7:50,Eagles,Alshon Jeffery 5 yard pass from Carson Wentz (Jake Elliott kick),20,14
,5:07,Eagles,DeSean Jackson 53 yard pass from Carson Wentz (Jake Elliott kick),20,21
4.0,14:55,Eagles,Alshon Jeffery 2 yard rush (Darren Sproles run),20,29
,3:10,Eagles,Jake Elliott 22 yard field goal,20,32
,0:06,Redskins,Trey Quinn 4 yard pass from Case Keenum (Dustin Hopkins kick),27,32
