Unnamed: 0,WAS,PHI
First Downs,15,22
Rush-Yds-TDs,13-28-0,31-123-1
Cmp-Att-Yd-TD-INT,30-44-380-3-0,28-39-313-3-0
Sacked-Yards,1-10,1-0
Net Pass Yards,370,313
Total Yards,398,436
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,12-96,6-55
Third Down Conv.,5-13,11-17
Fourth Down Conv.,2-2,1-2
Time of Possession,25:33,34:27
