Quarter,Time,Tm,Detail,SEA,LAR
1.0,10:38,Rams,Greg Zuerlein 39 yard field goal,0,3
2.0,14:45,Seahawks,Stephen Hauschka 23 yard field goal,3,3
,1:04,Rams,Greg Zuerlein 28 yard field goal,3,6
4.0,14:10,Rams,Greg Zuerlein 47 yard field goal,3,9
