Unnamed: 0,SEA,LAR
First Downs,17,17
Rush-Yds-TDs,24-67-0,25-64-0
Cmp-Att-Yd-TD-INT,22-35-254-0-0,18-30-239-0-0
Sacked-Yards,2-15,3-20
Net Pass Yards,239,219
Total Yards,306,283
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,10-114,9-78
Third Down Conv.,4-13,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:03,29:57
