Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Case Keenum pass complete short right to Lance Kendricks for 4 yards (tackle by K.J. Wright),0.610,0.600
1,14:30,2,6,LAR 29,0,0,Case Keenum pass complete short left to Kenny Britt for 4 yards (tackle by Bobby Wagner and Cliff Avril),0.600,0.430
1,13:51,3,2,LAR 33,0,0,Case Keenum pass complete short left to Kenny Britt for 7 yards (tackle by DeShawn Shead),0.430,1.600
1,13:16,1,10,LAR 40,0,0,Case Keenum pass incomplete deep right intended for Tavon Austin,1.600,1.050
1,13:08,2,10,LAR 40,0,0,"Todd Gurley right end for -2 yards (tackle by Kam Chancellor). Penalty on Kam Chancellor: Face Mask (15 Yards), 15 yards (no play)",1.050,2.590
1,12:44,1,10,SEA 45,0,0,Case Keenum pass complete deep right to Tavon Austin for 17 yards (tackle by DeShawn Shead),2.590,3.710
1,12:08,1,10,SEA 28,0,0,Todd Gurley middle for -1 yards (tackle by Michael Bennett and Bobby Wagner),3.710,3.030
1,11:28,2,11,SEA 29,0,0,Case Keenum pass complete short left to Lance Kendricks for 8 yards (tackle by Bobby Wagner),3.030,3.400
1,10:46,3,3,SEA 21,0,0,Case Keenum pass incomplete short left intended for Lance Kendricks,3.400,2.160
1,10:42,4,3,SEA 21,0,3,Greg Zuerlein 39 yard field goal good,2.160,3.000
1,10:42,,,LAR 35,0,3,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,10:38,1,10,SEA 25,0,3,Thomas Rawls right tackle for -2 yards (tackle by Trumaine Johnson and William Hayes),0.610,-0.210
1,10:01,2,12,SEA 23,0,3,Thomas Rawls left end for -9 yards (tackle by Aaron Donald),-0.210,-2.550
1,9:38,3,21,SEA 14,0,3,Russell Wilson pass complete short left to Christine Michael for 7 yards (tackle by Mark Barron),-2.550,-1.960
1,9:00,4,14,SEA 21,0,3,"Jon Ryan punts 40 yards, out of bounds",-1.960,-1.530
1,8:53,1,10,LAR 39,0,3,Tavon Austin right end for 8 yards (tackle by Frank Clark and Kam Chancellor),1.530,2.070
1,8:14,2,2,LAR 47,0,3,"Todd Gurley left end for no gain (tackle by Earl Thomas and K.J. Wright). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",2.070,0.720
1,7:45,2,12,LAR 37,0,3,Case Keenum pass incomplete short right intended for Tavon Austin,0.720,0.040
1,7:40,3,12,LAR 37,0,3,Case Keenum pass complete short middle to Benny Cunningham for 7 yards (tackle by Jeremy Lane),0.040,-0.460
1,7:02,4,5,LAR 44,0,3,"Johnny Hekker punts 37 yards, fair catch by Tyler Lockett",-0.460,-0.150
1,6:53,1,10,SEA 19,0,3,Russell Wilson pass complete short right to Thomas Rawls for 2 yards (tackle by Mark Barron),0.150,-0.060
1,6:22,2,8,SEA 21,0,3,Russell Wilson middle for -2 yards (tackle by Aaron Donald),-0.060,-1.070
1,5:35,3,10,SEA 19,0,3,"Russell Wilson pass incomplete deep middle intended for Doug Baldwin. Penalty on Ethan Westbrooks: Defensive Offside, 5 yards (no play)",-1.070,-0.420
1,5:29,3,5,SEA 24,0,3,Russell Wilson pass complete short left to Doug Baldwin for 7 yards (tackle by Lamarcus Joyner),-0.420,1.000
1,4:59,1,10,SEA 31,0,3,Russell Wilson pass complete deep left to Tyler Lockett for 35 yards (tackle by Maurice Alexander),1.000,3.310
1,4:18,1,10,LAR 34,0,3,"Penalty on Bradley Sowell: False Start, 5 yards (no play)",3.310,2.980
1,3:49,1,15,LAR 39,0,3,"Penalty on Justin Britt: False Start, 5 yards (no play)",2.980,2.650
1,3:26,1,20,LAR 44,0,3,"Russell Wilson middle for 5 yards (tackle by Alec Ogletree). Penalty on Alec Ogletree: Unnecessary Roughness, 15 yards",2.650,3.970
1,2:57,1,10,LAR 24,0,3,Russell Wilson pass complete short middle to Tyler Lockett for 7 yards (tackle by Mark Barron),3.970,4.460
1,2:23,2,3,LAR 17,0,3,Christine Michael right tackle for 3 yards (tackle by Trumaine Johnson and William Hayes),4.460,4.650
1,1:47,1,10,LAR 14,0,3,Thomas Rawls middle for no gain (tackle by Aaron Donald and William Hayes),4.650,4.000
1,1:09,2,10,LAR 14,0,3,Russell Wilson pass complete short left to Thomas Rawls for 11 yards (tackle by Coty Sensabaugh),4.000,6.510
1,0:42,1,3,LAR 3,0,3,"Russell Wilson pass incomplete short left intended for Tyler Lockett. Penalty on Jermaine Kearse: Offensive Pass Interference, 10 yards (no play)",6.510,4.530
1,0:35,1,13,LAR 13,0,3,"Russell Wilson pass complete short right to Tyler Lockett for 4 yards (tackle by Trumaine Johnson). Penalty on Trumaine Johnson: Face Mask (15 Yards), 5 yards",4.530,6.280
1,0:05,1,4,LAR 4,0,3,Christine Michael right tackle for -1 yards (tackle by Alec Ogletree),6.280,5.150
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LAR 5,0,3,Russell Wilson pass incomplete short right intended for Will Tukuafu,5.150,4.260
2,14:54,3,5,LAR 5,0,3,Russell Wilson pass incomplete short left intended for Jermaine Kearse (defended by Lamarcus Joyner),4.260,3.010
2,14:48,4,5,LAR 5,3,3,Steven Hauschka 23 yard field goal good,3.010,3.000
2,14:48,,,SEA 35,3,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,14:45,1,10,LAR 25,3,3,Case Keenum pass incomplete short right intended for Kenny Britt,0.610,0.060
2,14:38,2,10,LAR 25,3,3,Todd Gurley middle for 4 yards (tackle by Kam Chancellor),0.060,-0.100
2,13:57,3,6,LAR 29,3,3,Case Keenum pass incomplete short left intended for Kenny Britt,-0.100,-1.440
2,13:51,4,6,LAR 29,3,3,"Johnny Hekker punts 52 yards, fair catch by Tyler Lockett",-1.440,-0.150
2,13:43,1,10,SEA 19,3,3,Christine Michael right tackle for 3 yards (tackle by Mark Barron and Dominique Easley),0.150,0.070
2,13:08,2,7,SEA 22,3,3,Russell Wilson pass complete short left to Doug Baldwin for 8 yards (tackle by Trumaine Johnson),0.070,0.940
2,12:40,1,10,SEA 30,3,3,"Russell Wilson pass complete deep left to Tyler Lockett for 40 yards (tackle by Troy Hill). Penalty on Tyler Lockett: Offensive Pass Interference, 10 yards (no play)",0.940,0.280
2,12:13,1,20,SEA 20,3,3,Russell Wilson middle for 1 yard (tackle by Alec Ogletree),0.280,-0.820
2,11:35,2,19,SEA 21,3,3,Christine Michael middle for 12 yards (tackle by Mark Barron),-0.820,0.100
2,10:44,3,7,SEA 33,3,3,Russell Wilson pass incomplete deep left intended for Paul Richardson (defended by Troy Hill),0.100,-1.180
2,10:34,4,7,SEA 33,3,3,"Jon Ryan punts 44 yards, returned by Tavon Austin for 15 yards (tackle by Tyvis Powell)",-1.180,-1.470
2,10:23,1,10,LAR 38,3,3,Todd Gurley middle for 3 yards (tackle by Bobby Wagner),1.470,1.330
2,9:46,2,7,LAR 41,3,3,Case Keenum pass incomplete short left intended for Tavon Austin,1.330,0.630
2,9:42,3,7,LAR 41,3,3,Case Keenum pass complete short middle to Tavon Austin for 6 yards (tackle by Bobby Wagner),0.630,-0.260
2,9:02,4,1,LAR 47,3,3,"Johnny Hekker punts 41 yards, fair catch by Tyler Lockett",-0.260,0.350
2,8:55,1,10,SEA 12,3,3,Thomas Rawls middle for 4 yards (tackle by Eugene Sims),-0.350,-0.370
2,8:20,2,6,SEA 16,3,3,Thomas Rawls middle for 1 yard (tackle by Aaron Donald),-0.370,-0.840
2,7:35,3,5,SEA 17,3,3,"Russell Wilson pass incomplete deep left intended for Tyler Lockett. Penalty on Troy Hill: Defensive Pass Interference, 18 yards (no play)",-0.840,1.270
2,7:29,1,10,SEA 35,3,3,"Russell Wilson sacked by Robert Quinn for -12 yards. Penalty on Bradley Sowell: Offensive Holding (Offsetting), Penalty on Trumaine Johnson: Illegal Contact (Offsetting) (no play)",1.270,1.270
2,7:17,1,10,SEA 35,3,3,Thomas Rawls left tackle for no gain (tackle by Lamarcus Joyner),1.270,0.720
2,6:36,2,10,SEA 35,3,3,Russell Wilson pass incomplete short left intended for Jermaine Kearse,0.720,0.040
2,6:31,3,10,SEA 35,3,3,Russell Wilson pass complete short right to Paul Richardson for 14 yards (tackle by Maurice Alexander),0.040,2.190
2,5:55,1,10,SEA 49,3,3,Thomas Rawls middle for -1 yards (tackle by Dominique Easley),2.190,1.510
2,5:09,2,11,SEA 48,3,3,Russell Wilson pass complete short left to Thomas Rawls for 2 yards (tackle by Mark Barron),1.510,1.090
2,4:34,3,9,,3,3,Russell Wilson pass incomplete short left intended for Jermaine Kearse (defended by Alec Ogletree),1.090,-0.060
2,4:28,4,9,,3,3,"Jon Ryan punts 50 yards, touchback",-0.060,-0.280
2,4:19,1,10,LAR 20,3,3,Case Keenum pass incomplete deep right intended for Tavon Austin,0.280,-0.270
2,4:13,2,10,LAR 20,3,3,Case Keenum pass complete short left to Todd Gurley for 19 yards (tackle by Earl Thomas),-0.270,1.530
2,3:31,1,10,LAR 39,3,3,Todd Gurley middle for 5 yards (tackle by Bobby Wagner),1.530,1.660
2,2:56,2,5,LAR 44,3,3,Todd Gurley left tackle for 8 yards (tackle by Ahtyba Rubin),1.660,2.390
2,2:19,1,10,SEA 48,3,3,Case Keenum pass complete deep left to Lance Kendricks for 44 yards (tackle by Mike Morgan),2.390,6.280
2,2:00,1,4,SEA 4,3,3,Todd Gurley middle for -4 yards (tackle by Michael Bennett),6.280,4.570
2,1:18,2,8,SEA 8,3,3,Case Keenum pass complete short right to Tavon Austin for -2 yards (tackle by Richard Sherman),4.570,3.130
