Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 66 yards, returned by Jourdan Lewis for no gain (tackle by Malcolm Jenkins)",0.000,0.040
1,14:54,1,10,DAL 18,0,0,Ezekiel Elliott right guard for 1 yard (tackle by Nigel Bradham),0.040,-0.320
1,14:21,2,9,DAL 19,0,0,Dak Prescott pass complete short right to Michael Gallup for 3 yards (tackle by Sidney Jones),-0.320,-0.660
1,13:47,3,6,DAL 22,0,0,Dak Prescott pass incomplete short right intended for Amari Cooper (defended by Sidney Jones),-0.660,-1.900
1,13:42,4,6,DAL 22,0,0,Chris Jones punts 63 yards downed by Kavon Frazier,-1.900,0.220
1,13:27,1,10,PHI 15,0,0,Josh Adams up the middle for 8 yards (tackle by Xavier Woods),-0.220,0.480
1,12:47,2,2,PHI 23,0,0,Josh Adams up the middle for -2 yards (tackle by Jeff Heath),0.480,-0.630
1,12:03,3,4,PHI 21,0,0,Carson Wentz pass complete short middle to Zach Ertz for 9 yards (tackle by Leighton Vander Esch and Chidobe Awuzie),-0.630,0.940
1,11:26,1,10,PHI 30,0,0,Josh Adams left end for 24 yards (tackle by Byron Jones),0.940,2.520
1,10:45,1,10,DAL 46,0,0,Darren Sproles right end for 2 yards (tackle by Damien Wilson),2.520,2.250
1,10:09,2,8,DAL 44,0,0,Carson Wentz pass incomplete deep right intended for Dallas Goedert,2.250,1.550
1,10:04,3,8,DAL 44,0,0,Carson Wentz sacked by Randy Gregory for -5 yards,1.550,0.000
1,9:28,4,13,DAL 49,0,0,"Cameron Johnston punts 39 yards, fair catch by Cole Beasley at DAL-10",0.000,0.380
1,9:23,1,10,DAL 10,0,0,Ezekiel Elliott up the middle for 13 yards (tackle by Nathan Gerry and Kamu Grugier-Hill),-0.380,0.480
1,8:48,1,10,DAL 23,0,0,Dak Prescott pass complete short left to Rico Gathers for -1 yards (tackle by Rasul Douglas),0.480,-0.200
1,8:05,2,11,DAL 22,0,0,Ezekiel Elliott left tackle for 7 yards (tackle by Rasul Douglas),-0.200,0.040
1,7:28,3,4,DAL 29,0,0,Dak Prescott pass complete short left to Blake Jarwin for 9 yards (tackle by Cre'von LeBlanc),0.040,1.470
1,6:51,1,10,DAL 38,0,0,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Sidney Jones),1.470,2.130
1,6:16,1,10,DAL 48,0,0,Ezekiel Elliott right tackle for 5 yards (tackle by Kamu Grugier-Hill),2.130,2.260
1,5:38,2,5,PHI 47,0,0,"Dak Prescott pass incomplete deep left intended for Michael Gallup. Penalty on Rasul Douglas: Face Mask (15 Yards), 15 yards (no play)",2.260,3.450
