Unnamed: 0,PHI,DAL
First Downs,16,32
Rush-Yds-TDs,14-34-0,36-142-0
Cmp-Att-Yd-TD-INT,22-32-228-3-0,42-54-455-3-2
Sacked-Yards,2-6,3-21
Net Pass Yards,222,434
Total Yards,256,576
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,5-49,11-110
Third Down Conv.,1-9,9-18
Fourth Down Conv.,1-1,1-1
Time of Possession,22:32,45:33
