Unnamed: 0,CLE,NWE
First Downs,13,19
Rush-Yds-TDs,19-84-0,30-94-0
Cmp-Att-Yd-TD-INT,22-36-155-0-1,20-33-259-0-0
Sacked-Yards,4-36,1-6
Net Pass Yards,119,253
Total Yards,203,347
Fumbles-Lost,2-0,2-0
Turnovers,1,0
Penalties-Yards,5-25,3-30
Third Down Conv.,3-14,4-14
Fourth Down Conv.,2-2,0-0
Time of Possession,26:51,33:09
