Unnamed: 0,MIA,SFO
First Downs,14,24
Rush-Yds-TDs,8-33-0,34-121-0
Cmp-Att-Yd-TD-INT,18-34-295-2-3,27-41-266-2-1
Sacked-Yards,3-20,4-36
Net Pass Yards,275,230
Total Yards,308,351
Fumbles-Lost,1-1,1-0
Turnovers,4,1
Penalties-Yards,8-68,4-45
Third Down Conv.,0-7,8-19
Fourth Down Conv.,1-2,1-2
Time of Possession,19:26,40:34
