Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
1,6:55,3,2,DAL 47,7,0,Jay Fiedler pass incomplete intended for Chris Chambers,1.750,0.130
1,6:48,4,2,DAL 47,7,0,"Matt Turk punts 47 yards, touchback",0.130,-0.280
1,6:40,1,10,DAL 20,7,0,Quincy Carter pass complete to Antonio Bryant for 7 yards (tackle by Patrick Surtain),0.280,0.680
1,6:19,2,3,DAL 27,7,0,Troy Hambrick left tackle for 1 yard (tackle by Junior Seau),0.680,0.100
1,5:37,3,2,DAL 28,7,0,Richie Anderson up the middle for 1 yard (tackle by Brock Marion),0.100,-1.440
1,5:02,4,1,DAL 29,7,0,"Toby Gowin punts 36 yards, muffed catch by Charlie Rogers, recovered by Terrell Buckley and returned for no gain",-1.440,-1.200
1,4:50,1,10,MIA 34,7,0,Jay Fiedler pass complete to Randy McMichael for 12 yards (tackle by Dexter Coakley),1.200,1.990
1,4:10,1,10,MIA 46,7,0,Jay Fiedler pass complete to Ricky Williams for 4 yards (tackle by Dat Nguyen),1.990,1.990
1,3:31,2,6,DAL 50,7,0,Jay Fiedler pass complete to Ricky Williams for 13 yards (tackle by Dat Nguyen),1.990,3.120
1,2:47,1,10,DAL 37,7,0,Travis Minor right tackle for 6 yards (tackle by Dexter Coakley),3.120,3.380
1,2:07,2,4,DAL 31,7,0,Travis Minor left tackle for 2 yards (tackle by Darren Woodson and La'Roi Glover),3.380,2.940
1,1:30,3,2,DAL 29,7,0,Travis Minor left tackle for 5 yards (tackle by Dexter Coakley),2.940,3.970
1,0:52,1,10,DAL 24,7,0,Jay Fiedler pass complete to James McKnight for 7 yards (tackle by Alshermond Singleton),3.970,4.460
1,0:10,2,3,DAL 17,7,0,Ricky Williams right tackle for 1 yard (tackle by Randal Williams and Greg Ellis),4.460,3.950
Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DAL 16,7,0,Ricky Williams right tackle for 1 yard (tackle by Dexter Coakley),3.950,2.590
2,14:40,4,1,DAL 15,10,0,Olindo Mare 33 yard field goal good,2.590,3.000
2,,,,MIA 30,10,0,"Olindo Mare kicks off 66 yards, returned by Derek Ross for 30 yards (tackle by Derrius Thompson)",0.000,1.200
2,14:17,1,10,DAL 34,10,0,Richie Anderson up the middle for 1 yard (tackle by Larry Chester),1.200,0.790
2,13:37,2,9,DAL 35,10,0,Quincy Carter pass complete to Troy Hambrick for 5 yards (tackle by Morlon Greenwood),0.790,0.760
2,12:55,3,4,DAL 40,10,0,Quincy Carter pass complete to Joey Galloway for 10 yards (tackle by Sammy Knight),0.760,2.260
2,12:12,1,10,MIA 50,10,0,Quincy Carter pass complete to Terry Glenn for 32 yards (tackle by Brock Marion),2.260,4.370
2,11:40,1,10,MIA 18,10,0,Quincy Carter pass incomplete intended for Richie Anderson,4.370,3.800
2,11:34,2,10,MIA 18,10,0,Quincy Carter pass complete to Jason Witten for 10 yards (tackle by Morlon Greenwood),3.800,5.370
2,10:52,1,8,MIA 8,10,0,Quincy Carter pass incomplete intended for Joey Galloway,5.370,4.570
2,10:48,2,8,MIA 8,10,0,"Quincy Carter sacked by Adewale Ogunleye for -5 yards. Penalty on Sam Madison: Defensive Holding, 4 yards (no play)",4.570,6.280
2,10:27,1,4,MIA 4,10,0,Quincy Carter pass incomplete,6.280,5.340
2,10:23,2,4,MIA 4,10,6,"Richie Anderson up the middle for 4 yards, touchdown",5.340,7.000
2,,,,MIA 2,10,7,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,DAL 30,10,7,"Toby Gowin kicks off 58 yards, returned by Travis Minor for 16 yards (tackle by Randal Williams)",0.000,0.810
2,10:14,1,10,MIA 28,10,7,Ricky Williams up the middle for 2 yards (tackle by Eric Ogbogu),0.810,0.530
2,9:38,2,8,MIA 30,10,7,Jay Fiedler pass complete to Ricky Williams for 6 yards (tackle by Eric Ogbogu),0.530,0.630
2,8:56,3,2,MIA 36,10,7,Jay Fiedler pass complete to Rob Konrad for 25 yards (tackle by Darren Woodson),0.630,2.980
2,8:11,1,10,DAL 39,16,7,"Jay Fiedler pass complete to Chris Chambers for 39 yards, touchdown",2.980,7.000
2,,,,DAL 2,17,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,17,7,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
2,8:04,1,10,DAL 20,17,7,Quincy Carter pass complete to Jason Witten for 1 yard (tackle by Junior Seau),0.280,-0.130
2,7:36,2,9,DAL 21,17,7,Quincy Carter pass complete to Richie Anderson for 5 yards (tackle by Tommy Hendricks),-0.130,-0.160
2,7:09,3,4,DAL 26,17,7,"Penalty on Richie Anderson: False Start, 5 yards (no play)",-0.160,-0.820
2,6:44,3,9,DAL 21,17,7,Quincy Carter up the middle for 19 yards (tackle by Sam Madison),-0.820,1.600
2,6:03,1,10,DAL 40,17,7,Troy Hambrick left guard for 2 yards (tackle by Larry Chester and Rob Burnett),1.600,1.320
2,5:26,2,8,DAL 42,17,7,"Penalty on Patrick Surtain: Defensive Pass Interference, 11 yards (no play)",1.320,2.460
2,5:17,1,10,MIA 47,17,7,Quincy Carter pass incomplete intended for Randal Williams,2.460,1.910
2,5:10,2,10,MIA 47,17,7,Quincy Carter pass incomplete intended for Antonio Bryant (defended by Patrick Surtain),1.910,1.220
2,5:05,3,10,MIA 47,17,7,Quincy Carter pass complete to Jason Witten for 12 yards (tackle by Arturo Freeman),1.220,3.250
2,4:17,1,10,MIA 35,17,7,Aveion Cason left guard for 3 yards (tackle by Adewale Ogunleye),3.250,3.110
2,3:34,2,7,MIA 32,17,7,Quincy Carter pass complete to Joey Galloway for 5 yards (tackle by Zach Thomas),3.110,3.070
2,2:51,3,2,MIA 27,17,13,"Quincy Carter pass complete to Richie Anderson for 27 yards, touchdown",3.070,7.000
2,,,,MIA 2,17,14,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,DAL 30,17,14,"Toby Gowin kicks off 57 yards, returned by Travis Minor for 12 yards (tackle by Randal Williams)",0.000,0.610
2,2:39,1,10,MIA 25,17,14,Ricky Williams up the middle for 3 yards (tackle by La'Roi Glover),0.610,0.470
2,1:59,2,7,MIA 28,17,14,Ricky Williams up the middle for 9 yards (tackle by Randal Williams),0.470,1.400
2,1:23,1,10,MIA 37,17,14,Jay Fiedler pass complete to Derrius Thompson for 14 yards (tackle by Terence Newman),1.400,2.320
2,1:17,,,,17,14,Timeout #1 by Miami Dolphins,0.000,2.320
2,1:17,1,10,DAL 49,17,14,"Jay Fiedler pass incomplete intended for Randy McMichael. Penalty on Mario Edwards: Illegal Use of Hands, 5 yards (no play)",2.320,2.650
2,1:11,1,10,DAL 44,17,14,Jay Fiedler pass complete to Derrius Thompson for 24 yards (tackle by Dexter Coakley),2.650,4.240
2,1:00,,,,17,14,Timeout #2 by Miami Dolphins,0.000,4.240
2,1:00,1,10,DAL 20,17,14,Jay Fiedler pass complete to Chris Chambers for 6 yards (tackle by Dexter Coakley),4.240,4.640
2,0:42,2,4,DAL 14,17,14,Ricky Williams up the middle for no gain (tackle by Kenyon Coleman),4.640,3.890
2,0:37,,,,17,14,Timeout #3 by Miami Dolphins,0.000,3.890
2,0:37,3,4,DAL 14,17,14,Jay Fiedler pass complete to James McKnight for 8 yards (tackle by Dat Nguyen),3.890,5.830
2,0:21,1,6,DAL 6,17,14,Jay Fiedler spiked the ball,5.830,4.950
2,0:19,2,6,DAL 6,17,14,Jay Fiedler pass incomplete intended for Chris Chambers,4.950,4.040
2,0:16,3,6,DAL 6,23,14,"Jay Fiedler pass complete to Chris Chambers for 6 yards, touchdown",4.040,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,DAL 2,23,14,Olindo Mare kicks extra point no good,0.000,-1.000
2,,,,MIA 30,23,14,"Olindo Mare kicks off 50 yards, returned by Randal Williams for 23 yards (tackle by Obafemi Ayanbadejo)",0.000,1.800
2,0:06,1,10,DAL 43,23,14,Quincy Carter pass complete to Aveion Cason for 13 yards (tackle by Zach Thomas),1.800,2.650
Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,23,14,"Olindo Mare kicks off 67 yards, returned by Derek Ross for 26 yards (tackle by Arturo Freeman)",0.000,0.870
3,14:54,1,10,DAL 29,23,14,Quincy Carter pass complete to Jason Witten for 2 yards (tackle by Junior Seau),0.870,0.600
3,14:14,2,8,DAL 31,23,14,Quincy Carter right end for 4 yards (tackle by Zach Thomas),0.600,0.430
3,13:27,3,4,DAL 35,29,14,"Quincy Carter sacked by Adewale Ogunleye for -6 yards. Quincy Carter fumbles (forced by Adewale Ogunleye), recovered by Jason Taylor at DAL-34 and returned for 34 yards, touchdown",0.430,-7.000
3,,,,DAL 2,30,14,Olindo Mare kicks extra point good,0.000,0.000
3,,,,MIA 30,30,14,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,13:14,1,10,DAL 20,30,14,Quincy Carter pass complete to Terry Glenn for 7 yards (tackle by Terrell Buckley),0.280,0.680
3,12:51,2,3,DAL 27,30,14,Quincy Carter sacked by Zach Thomas for -5 yards,0.680,-0.690
3,12:13,3,8,DAL 22,30,14,Quincy Carter pass incomplete intended for Joey Galloway (defended by Patrick Surtain),-0.690,-1.900
3,12:09,4,8,DAL 22,30,14,Toby Gowin punts 50 yards (tackle by Tony Dixon). Penalty on MIA: Defensive 12 On-field (Declined),-1.900,-1.330
3,11:59,1,10,MIA 36,30,14,Ricky Williams right tackle for 11 yards (tackle by Randal Williams),1.330,2.060
3,11:22,1,10,MIA 47,30,14,Ricky Williams up the middle for 3 yards (tackle by Randal Williams),2.060,1.920
3,10:41,2,7,DAL 50,30,14,Jay Fiedler pass incomplete intended for Randy McMichael,1.920,1.220
3,10:38,3,7,DAL 50,30,14,Travis Minor right tackle for no gain (tackle by Alshermond Singleton),1.220,-0.060
3,10:10,4,7,DAL 50,30,14,"Matt Turk punts 38 yards, fair catch by Joey Galloway",-0.060,0.350
3,10:02,1,10,DAL 12,30,14,Quincy Carter sacked by Jason Taylor for -8 yards,-0.350,-1.360
3,9:32,2,18,DAL 4,30,14,Aveion Cason up the middle for 7 yards (tackle by Brock Marion),-1.360,-1.540
3,8:48,3,11,DAL 11,30,14,Quincy Carter pass incomplete intended for Joey Galloway,-1.540,-2.490
3,8:40,4,11,DAL 11,30,14,"Toby Gowin punts 34 yards, returned by Charlie Rogers for 5 yards (tackle by Tony Dixon)",-2.490,-2.920
3,8:30,1,10,DAL 40,30,14,Ricky Williams right guard for 5 yards (tackle by Dexter Coakley),2.920,3.050
3,7:51,2,5,DAL 35,36,14,"Jay Fiedler pass complete to Chris Chambers for 35 yards, touchdown",3.050,7.000
3,,,,DAL 2,37,14,Olindo Mare kicks extra point good,0.000,0.000
3,,,,MIA 30,37,14,"Olindo Mare kicks off 60 yards, returned by Derek Ross for 23 yards (tackle by Arturo Freeman). Derek Ross fumbles (forced by Arturo Freeman), recovered by Leonardo Carson at DAL-29",0.000,0.870
3,7:33,1,10,DAL 29,37,14,Quincy Carter pass complete to Jason Witten for 3 yards (tackle by Terrell Buckley),0.870,0.730
3,6:52,2,7,DAL 32,37,14,Quincy Carter pass incomplete intended for Joey Galloway,0.730,0.040
3,6:44,3,7,DAL 32,37,14,Quincy Carter pass incomplete intended for Jason Witten,0.040,-1.240
3,6:40,4,7,DAL 32,37,14,"Toby Gowin punts 36 yards, returned by Charlie Rogers for 3 yards (tackle by Pete Hunter)",-1.240,-1.270
3,6:30,1,10,MIA 35,37,14,"Ricky Williams right end for 4 yards (tackle by Terence Newman). Penalty on Donald Lee: Offensive Holding, 10 yards (no play)",1.270,0.610
3,6:05,1,20,MIA 25,37,14,Ricky Williams left tackle for 2 yards (tackle by Kenyon Coleman and La'Roi Glover),0.610,-0.360
3,5:22,2,18,MIA 27,37,14,Ricky Williams right end for 3 yards (tackle by Darren Woodson and Dat Nguyen),-0.360,-0.630
3,4:52,3,15,MIA 30,37,14,Travis Minor up the middle for 9 yards (tackle by Terence Newman),-0.630,-0.780
3,4:16,4,6,MIA 39,37,14,"Matt Turk punts 47 yards, fair catch by Joey Galloway",-0.780,0.280
3,4:08,1,10,DAL 14,37,14,Quincy Carter pass complete to Jason Witten for 6 yards (tackle by Terrell Buckley),-0.280,0.150
3,3:30,2,4,DAL 20,37,14,Aveion Cason left tackle for 12 yards (tackle by Brock Marion),0.150,1.070
3,2:51,1,10,DAL 32,37,14,Quincy Carter pass incomplete intended for Joey Galloway,1.070,0.530
3,2:43,2,10,DAL 32,37,14,Quincy Carter pass complete to Richie Anderson for 2 yards (tackle by Sammy Knight),0.530,0.100
3,1:58,3,8,DAL 34,37,14,"Quincy Carter pass incomplete intended for Randal Williams is intercepted by Patrick Surtain at MIA-49 and returned for 11 yards. Penalty on Junior Seau: Illegal Block Above the Waist, 10 yards",0.100,-2.260
3,1:48,1,10,DAL 50,37,14,Ricky Williams right end for 4 yards (tackle by Randal Williams),2.260,2.250
3,1:07,2,6,DAL 46,37,14,Jay Fiedler pass complete to Ricky Williams for 18 yards,2.250,3.710
3,0:34,1,10,DAL 28,37,14,Travis Minor up the middle for 1 yard (tackle by La'Roi Glover),3.710,3.300
Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,DAL 27,37,14,Ricky Williams right end for -3 yards (tackle by Terence Newman),3.300,2.210
4,14:17,3,12,DAL 30,37,14,Ricky Williams left end for 6 yards (tackle by Pete Hunter),2.210,1.890
4,14:00,4,6,DAL 24,40,14,Olindo Mare 42 yard field goal good,1.890,3.000
4,,,,MIA 30,40,14,"Olindo Mare kicks off 61 yards, returned by Derek Ross for 18 yards (tackle by Brendon Ayanbadejo)",0.000,0.740
4,13:50,1,10,DAL 27,40,14,Quincy Carter pass incomplete intended for Jason Witten (defended by Larry Chester),0.740,0.200
4,13:44,2,10,DAL 27,40,14,Richie Anderson left tackle for 10 yards (tackle by Junior Seau),0.200,1.400
4,13:06,1,10,DAL 37,40,14,Quincy Carter pass complete to Terry Glenn for 45 yards,1.400,4.370
4,12:30,1,10,MIA 18,40,20,"Quincy Carter pass complete to Antonio Bryant for 18 yards, touchdown",4.370,7.000
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
4,,,,MIA 2,40,21,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,DAL 30,40,21,"Toby Gowin kicks off 66 yards, returned by Charlie Rogers for 22 yards (tackle by Bradie James). Penalty on Pete Hunter: Offside on Free Kick (Declined)",0.000,0.670
4,12:17,1,10,MIA 26,40,21,Ricky Williams up the middle for 15 yards (tackle by Randal Williams),0.670,1.660
4,11:34,1,10,MIA 41,40,21,Ricky Williams right tackle for 3 yards (tackle by Terence Newman),1.660,1.530
4,10:48,2,7,MIA 44,40,21,Ricky Williams up the middle for 6 yards (tackle by Greg Ellis),1.530,1.620
4,10:05,3,1,DAL 50,40,21,Jay Fiedler up the middle for 2 yards (tackle by Dat Nguyen),1.620,2.390
4,9:39,1,10,DAL 48,40,21,Ricky Williams up the middle for -2 yards (tackle by La'Roi Glover and Dat Nguyen),2.390,1.580
4,8:40,2,12,DAL 50,40,21,Ricky Williams up the middle for 1 yard (tackle by La'Roi Glover),1.580,1.030
4,7:54,,,,40,21,Timeout #2 by Miami Dolphins,0.000,1.030
4,7:54,3,11,DAL 49,40,21,Ricky Williams left tackle for 10 yards (tackle by Randal Williams),1.030,0.660
4,7:33,4,1,DAL 39,40,21,Jay Fiedler up the middle for 1 yard (tackle by Alshermond Singleton),0.660,3.050
4,6:48,1,10,DAL 38,40,21,Ricky Williams up the middle for no gain (tackle by Randal Williams),3.050,2.510
4,6:00,2,10,DAL 38,40,21,Ricky Williams right guard for 1 yard (tackle by La'Roi Glover and Daleroy Stewart),2.510,1.950
4,5:15,3,9,DAL 37,40,21,Ricky Williams up the middle for -1 yards (tackle by Daleroy Stewart),1.950,0.720
4,5:07,,,,40,21,Timeout #1 by Dallas Cowboys,0.000,0.720
4,5:07,4,10,DAL 38,40,21,"Matt Turk punts 38 yards, touchback",0.720,-0.280
4,4:59,1,10,DAL 20,40,21,"Penalty on Flozell Adams: False Start, 5 yards (no play)",0.280,-0.310
4,4:59,1,15,DAL 15,40,21,Quincy Carter pass complete to Aveion Cason for 4 yards,-0.310,-0.460
4,4:54,2,11,DAL 19,40,21,"Quincy Carter pass complete to Jason Witten for 17 yards (tackle by Sammy Knight). Penalty on Junior Seau: Unnecessary Roughness, 15 yards",-0.460,2.320
4,4:44,1,10,MIA 49,40,21,Quincy Carter sacked by Junior Seau for -7 yards,2.320,0.840
4,4:30,2,17,DAL 44,40,21,Quincy Carter pass complete to Jason Witten for 7 yards (tackle by Jamar Fletcher),0.840,1.090
4,4:01,3,10,MIA 49,40,21,Quincy Carter pass incomplete intended for Jason Witten,1.090,0.000
4,4:01,4,10,MIA 49,40,21,Quincy Carter pass complete to Terry Glenn for 13 yards (tackle by Sam Madison),0.000,3.180
4,3:34,1,10,MIA 36,40,21,Quincy Carter pass incomplete intended for Joey Galloway,3.180,2.640
4,3:27,2,10,MIA 36,40,21,Aveion Cason up the middle for 3 yards (tackle by Junior Seau),2.640,2.350
4,3:06,3,7,MIA 33,40,21,Quincy Carter pass incomplete intended for Joey Galloway is intercepted by Sammy Knight at MIA-5 and returned for 70 yards,2.350,-3.910
4,2:50,1,10,DAL 25,40,21,Travis Minor up the middle for 5 yards (tackle by Terence Newman),3.910,4.040
4,2:05,2,5,DAL 20,40,21,Travis Minor left tackle for no gain (tackle by Darren Woodson),4.040,3.340
4,1:59,3,5,DAL 20,40,21,Jay Fiedler for -7 yards (tackle by Kenyon Coleman),3.340,1.670
4,1:21,4,12,DAL 27,40,21,Travis Minor left tackle for -2 yards (tackle by Dat Nguyen),1.670,-0.870
4,1:16,1,10,DAL 29,40,21,Quincy Carter for 19 yards,0.870,2.130
4,1:07,1,10,DAL 48,40,21,Quincy Carter pass complete to Joey Galloway for 18 yards (tackle by Terrell Buckley),2.130,3.310
4,0:51,1,10,MIA 34,40,21,"Quincy Carter spiked the ball. Penalty on Terry Glenn: Illegal Formation, 5 yards (no play)",3.310,2.980
4,0:49,1,15,MIA 39,40,21,Quincy Carter pass complete to Antonio Bryant for 19 yards (tackle by Brock Marion),2.980,4.240
4,0:42,1,10,MIA 20,40,21,"Quincy Carter pass incomplete intended for Antonio Bryant. Penalty on Arturo Freeman: Defensive Pass Interference, 19 yards (no play)",4.240,6.970
4,0:33,,,,40,21,Timeout #3 by Miami Dolphins,0.000,6.970
4,0:31,1,1,MIA 1,40,21,Quincy Carter up the middle for no gain (tackle by Zach Thomas and Jason Taylor),6.970,5.910
4,0:26,,,,40,21,Timeout #2 by Dallas Cowboys,0.000,5.910
4,0:26,2,1,MIA 1,40,21,Quincy Carter pass incomplete intended for Terry Glenn is intercepted by Zach Thomas at MIA-2 and returned for 2 yards,5.910,0.380
4,0:20,1,10,MIA 4,40,21,Sage Rosenfels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
