Unnamed: 0,MIA,DAL
First Downs,22,21
Rush-Yds-TDs,45-126-1,16-91-1
Cmp-Att-Yd-TD-INT,16-20-239-3-0,24-40-288-2-3
Sacked-Yards,0-0,5-25
Net Pass Yards,239,263
Total Yards,365,354
Fumbles-Lost,2-1,3-2
Turnovers,1,5
Penalties-Yards,6-69,5-50
Third Down Conv.,5-13,4-13
Fourth Down Conv.,1-2,1-1
Time of Possession,33:47,26:13
