Quarter,Time,Tm,Detail,SFO,DET
1.0,11:35,Lions,Jason Hanson 25 yard field goal,0,3
,4:44,Lions,Brandon Pettigrew 16 yard pass from Matthew Stafford (Jason Hanson kick),0,10
2.0,14:57,49ers,Frank Gore 1 yard rush (David Akers kick),7,10
,7:44,49ers,"Safety, Matthew Stafford sacked by Aldon Smith.",9,10
,0:00,49ers,David Akers 55 yard field goal,12,10
3.0,11:41,Lions,Jason Hanson 24 yard field goal,12,13
,9:23,49ers,David Akers 31 yard field goal,15,13
4.0,13:48,Lions,Nate Burleson 5 yard pass from Matthew Stafford (pass failed),15,19
,1:51,49ers,Delanie Walker 6 yard pass from Alex Smith (David Akers kick),22,19
,1:02,49ers,David Akers 37 yard field goal,25,19
