Unnamed: 0,SFO,DET
First Downs,14,21
Rush-Yds-TDs,29-203-1,18-66-0
Cmp-Att-Yd-TD-INT,17-32-125-1-1,28-50-293-2-0
Sacked-Yards,2-14,5-49
Net Pass Yards,111,244
Total Yards,314,310
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,15-120,6-54
Third Down Conv.,2-14,2-15
Fourth Down Conv.,1-1,1-2
Time of Possession,29:39,30:21
