Unnamed: 0,IND,CAR
First Downs,17,17
Rush-Yds-TDs,30-78-0,28-138-0
Cmp-Att-Yd-TD-INT,17-26-127-1-0,24-39-173-1-3
Sacked-Yards,1-7,4-36
Net Pass Yards,120,137
Total Yards,198,275
Fumbles-Lost,1-1,1-0
Turnovers,1,3
Penalties-Yards,5-25,10-81
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-0,2-3
Time of Possession,28:51,31:09
