Quarter,Time,Tm,Detail,IND,CAR
2.0,13:52,Colts,Matt Gay 26 yard field goal,3,0
,7:43,Colts,Jonathan Taylor 10 yard pass from Gardner Minshew II (Matt Gay kick),10,0
,3:34,Panthers,Eddy Pineiro 35 yard field goal,10,3
,0:53,Colts,Matt Gay 57 yard field goal,13,3
,0:20,Colts,Kenny Moore 49 yard interception return (Matt Gay kick),20,3
3.0,4:34,Panthers,DJ Chark 5 yard pass from Bryce Young (Eddy Pineiro kick),20,10
4.0,13:40,Colts,Kenny Moore 66 yard interception return (Matt Gay kick),27,10
,8:09,Panthers,Eddy Pineiro 49 yard field goal,27,13
