Unnamed: 0,KAN,CLE
First Downs,24,24
Rush-Yds-TDs,30-194-4,20-59-0
Cmp-Att-Yd-TD-INT,20-29-276-1-1,28-40-359-4-0
Sacked-Yards,0-0,1-7
Net Pass Yards,276,352
Total Yards,470,411
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,9-87,4-38
Third Down Conv.,5-11,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:16,29:44
