Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,Priest Holmes right end for 2 yards (tackle by Devin Bush),0.280,0.000
1,14:21,2,8,KAN 22,0,0,Priest Holmes left tackle for no gain (tackle by Tyrone Rogers),0.000,-0.690
1,13:39,3,8,KAN 22,0,0,Trent Green pass incomplete intended for Tony Gonzalez is intercepted by Daylon McCutcheon at KAN-30 and returned for 24 yards,-0.690,-5.830
1,13:30,1,6,KAN 6,0,0,Jamel White left guard for 3 yards (tackle by Greg Wesley),5.830,5.530
1,12:49,2,3,KAN 3,0,0,Kelly Holcomb pass incomplete intended for R.J. Bowers (defended by Eric Hicks),5.530,4.720
1,12:43,3,3,KAN 3,0,0,Kelly Holcomb pass incomplete intended for Quincy Morgan (defended by William Bartee),4.720,3.040
1,12:37,4,3,KAN 3,0,3,Phil Dawson 20 yard field goal good,3.040,3.000
1,12:37,,,CLE 30,0,3,"Phil Dawson kicks off 69 yards, returned by Dante Hall for 26 yards (tackle by Andra Davis)",0.000,0.740
1,12:28,1,10,KAN 27,0,3,Trent Green pass complete to Tony Richardson for 23 yards (tackle by Robert Griffith and Orpheus Roye),0.740,2.260
1,11:49,1,10,,0,3,"Priest Holmes for 7 yards (tackle by Devin Bush). Penalty on Jason Dunn: Offensive Holding, 10 yards",2.260,2.060
1,11:19,1,13,KAN 47,0,3,Priest Holmes right end for -5 yards (tackle by Dwayne Rudd),2.060,0.630
1,10:36,2,18,KAN 42,0,3,Trent Green pass complete to Eddie Kennison for 19 yards (tackle by Daylon McCutcheon),0.630,2.980
1,10:13,1,10,CLE 39,0,3,Trent Green pass complete to Tony Gonzalez for 16 yards (tackle by Dwayne Rudd),2.980,4.040
1,9:49,1,10,CLE 23,0,3,Priest Holmes left end for 5 yards (tackle by Anthony Henry and Courtney Brown),4.040,4.210
1,9:12,2,5,CLE 18,0,3,Tony Richardson right guard for 1 yard (tackle by Gerard Warren and Mark Word),4.210,3.660
1,8:30,3,4,CLE 17,6,3,"Trent Green pass complete to Tony Gonzalez for 17 yards, touchdown",3.660,7.000
1,8:30,,,CLE 17,7,3,Morten Andersen kicks extra point good,0.000,0.000
1,8:30,,,KAN 30,7,3,"Morten Andersen kicks off 64 yards, returned by Andre King for 24 yards (tackle by Scott Fujita)",0.000,0.940
1,8:15,1,10,CLE 30,7,3,Jamel White middle for 5 yards (tackle by Mike Maslowski),0.940,1.070
1,7:36,2,5,CLE 35,7,3,Kelly Holcomb pass complete to Jamel White for 6 yards (tackle by Jason Belser),1.070,1.660
1,6:58,1,10,CLE 41,7,3,Kelly Holcomb pass complete to Jamel White for 2 yards (tackle by Marvcus Patton),1.660,1.390
1,6:28,2,8,CLE 43,7,3,"Jamel White right tackle for 2 yards (tackle by Derrick Ransom). Penalty on Greg Wesley: Personal Foul, 15 yards",1.390,2.920
1,5:59,1,10,KAN 40,7,3,Kelly Holcomb pass complete to Kevin Johnson for 5 yards (tackle by Marvcus Patton and Eric Hicks),2.920,3.050
1,5:22,2,5,KAN 35,7,3,William Green left guard for 1 yard (tackle by Greg Wesley),3.050,2.480
1,4:40,3,4,KAN 34,7,3,"Kelly Holcomb pass incomplete intended for Andra Davis. Penalty on Taje Allen: Defensive Pass Interference, 12 yards (no play)",2.480,4.110
1,4:37,1,10,KAN 22,7,3,Jamel White left guard for -2 yards (tackle by Rich Owens and Ryan Sims),4.110,3.290
1,3:55,2,12,KAN 24,7,3,Jamel White left tackle for 9 yards (tackle by Jason Belser),3.290,3.930
1,3:24,3,3,KAN 15,7,3,Kelly Holcomb pass incomplete intended for Darnell Sanders (defended by Mike Maslowski),3.930,2.540
1,3:19,4,3,KAN 15,7,6,Phil Dawson 32 yard field goal good,2.540,3.000
1,3:19,,,CLE 30,7,6,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
1,3:16,1,10,KAN 20,7,6,Priest Holmes right end for 11 yards (tackle by Robert Griffith),0.280,1.000
1,2:49,1,10,KAN 31,7,6,Priest Holmes middle for 8 yards (tackle by Devin Bush),1.000,1.540
1,2:08,2,2,KAN 39,7,6,Trent Green pass incomplete intended for Tony Richardson,1.540,0.830
1,2:03,3,2,KAN 39,7,6,Trent Green pass complete to Priest Holmes for 4 yards (tackle by Corey Fuller),0.830,1.800
1,1:31,1,10,KAN 43,7,6,Trent Green pass complete to Mike Cloud for 5 yards (tackle by Dwayne Rudd),1.800,1.930
