Quarter,Time,Tm,Detail,KAN,CLE
1.0,12:36,Browns,Phil Dawson 20 yard field goal,0,3
,8:21,Chiefs,Tony Gonzalez 17 yard pass from Trent Green (Morten Andersen kick),7,3
,3:16,Browns,Phil Dawson 32 yard field goal,7,6
2.0,12:19,Browns,Dennis Northcutt 43 yard pass from Kelly Holcomb (Phil Dawson kick),7,13
,8:41,Chiefs,Priest Holmes 5 yard rush (Morten Andersen kick),14,13
,5:38,Browns,Quincy Morgan 33 yard pass from Kevin Johnson (Phil Dawson kick),14,20
3.0,7:09,Browns,Andre' Davis 4 yard pass from Kelly Holcomb (Phil Dawson kick),14,27
,2:04,Chiefs,Morten Andersen 33 yard field goal,17,27
4.0,11:19,Browns,Phil Dawson 34 yard field goal,17,30
,9:06,Chiefs,Priest Holmes 26 yard rush (Morten Andersen kick),24,30
,8:05,Chiefs,Priest Holmes 15 yard rush (Morten Andersen kick),31,30
,5:52,Browns,Quincy Morgan 44 yard pass from Kelly Holcomb,31,36
,3:05,Chiefs,Priest Holmes 7 yard rush,37,36
,0:29,Browns,Phil Dawson 41 yard field goal,37,39
,0:00,Chiefs,Morten Andersen 30 yard field goal,40,39
