Unnamed: 0,IND,KAN
First Downs,16,22
Rush-Yds-TDs,26-90-0,44-352-1
Cmp-Att-Yd-TD-INT,17-36-205-1-0,10-22-162-0-2
Sacked-Yards,3-7,1-7
Net Pass Yards,198,155
Total Yards,288,507
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,4-48,9-75
Third Down Conv.,6-16,2-10
Fourth Down Conv.,0-0,0-1
Time of Possession,27:40,32:20
