Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 68 yards, returned by Deji Karim for 23 yards (tackle by Neiko Thorpe)",0.000,0.280
1,14:56,1,10,IND 20,0,0,Vick Ballard left guard for 2 yards (tackle by Ropati Pitoitua),0.280,0.000
1,14:24,2,8,IND 22,0,0,Andrew Luck pass complete short right to Dwayne Allen for 5 yards (tackle by Eric Berry),0.000,-0.030
1,13:42,3,3,IND 27,0,0,Andrew Luck pass complete short right to Donnie Avery for 2 yards (tackle by Eric Berry),-0.030,-1.440
1,13:09,4,1,IND 29,0,0,"Pat McAfee punts 60 yards, out of bounds",-1.440,0.370
1,12:56,1,10,KAN 11,0,0,Jamaal Charles left guard for 2 yards (tackle by Martin Tevaseu),-0.370,-0.630
1,12:22,2,8,KAN 13,0,0,Brady Quinn pass complete short right to Devon Wylie for 16 yards (tackle by Antoine Bethea),-0.630,0.870
1,11:47,1,10,KAN 29,0,0,Jamaal Charles up the middle for 2 yards (tackle by Martin Tevaseu and Lawrence Guy),0.870,0.600
1,11:14,2,8,KAN 31,0,0,Jamaal Charles left end for 2 yards (tackle by Vontae Davis),0.600,0.170
1,11:14,3,6,KAN 33,0,0,"Penalty on Donald Stephenson: False Start, 5 yards (no play)",0.170,-0.490
1,10:16,3,11,KAN 28,6,0,"Brady Quinn pass incomplete short right intended for Dexter McCluster is intercepted by Darius Butler at KAN-32 and returned for 32 yards, touchdown",-0.490,-7.000
1,,,,KAN 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,10:08,,,IND 35,7,0,"Adam Vinatieri kicks off 71 yards, touchback",0.000,0.280
1,10:08,1,10,KAN 20,7,0,Brady Quinn pass incomplete short right intended for Jamaal Charles,0.280,-0.270
1,10:03,2,10,KAN 20,7,0,Brady Quinn pass complete deep left to Jonathan Baldwin for 57 yards (tackle by Joe Lefeged),-0.270,4.040
1,9:23,1,10,IND 23,7,0,"Jamaal Charles left tackle for 16 yards (tackle by Vontae Davis). Penalty on Jeff Allen: Offensive Holding, 10 yards (no play)",4.040,3.380
1,8:56,1,20,IND 33,7,0,Brady Quinn pass incomplete deep middle intended for Jonathan Baldwin,3.380,2.150
1,8:49,2,20,IND 33,7,0,Brady Quinn pass incomplete deep left intended for Jonathan Baldwin,2.150,1.490
1,8:44,3,20,IND 33,7,0,Shaun Draughn left end for 4 yards (tackle by Joe Lefeged),1.490,1.500
1,8:23,4,16,IND 29,7,3,Ryan Succop 47 yard field goal good,1.500,3.000
1,8:18,,,KAN 35,7,3,"Ryan Succop kicks off 67 yards, returned by Deji Karim for 35 yards (tackle by Terrance Copper)",0.000,1.140
1,8:11,1,10,IND 33,7,3,"Vick Ballard left end for 6 yards (tackle by Ropati Pitoitua). Vick Ballard fumbles (forced by Ropati Pitoitua), recovered by Coby Fleener at IND-39",1.140,1.400
1,7:30,2,4,IND 39,7,3,Andrew Luck pass complete short right to Reggie Wayne for 11 yards (tackle by Derrick O. Johnson),1.400,2.260
1,6:56,1,10,,7,3,Vick Ballard up the middle for -1 yards (tackle by Eric Berry),2.260,1.580
1,6:18,2,11,IND 49,7,3,Andrew Luck sacked by Derrick O. Johnson for 0 yards,1.580,0.890
1,5:32,3,11,IND 49,7,3,Andrew Luck sacked by Tamba Hali for -5 yards,0.890,-0.460
1,5:06,4,16,IND 44,7,3,"Pat McAfee punts 44 yards, returned by Devon Wylie for 10 yards (tackle by Matt Overton)",-0.460,-0.410
1,4:54,1,10,KAN 22,7,3,Brady Quinn pass incomplete deep right intended for Jonathan Baldwin,0.410,-0.130
1,4:49,2,10,KAN 22,7,3,Peyton Hillis right end for 16 yards (tackle by Antoine Bethea),-0.130,1.470
1,4:17,1,10,KAN 38,7,3,Peyton Hillis left guard for 2 yards (tackle by Jerry Hughes),1.470,1.190
1,3:47,2,8,KAN 40,7,3,Brady Quinn pass complete short right to Dexter McCluster for 11 yards (tackle by Robert Mathis),1.190,2.320
1,3:15,1,10,IND 49,7,3,Jamaal Charles left guard for 4 yards (tackle by Jerrell Freeman),2.320,2.320
1,2:48,2,6,IND 45,7,3,Peyton Hillis up the middle for 6 yards (tackle by Antoine Bethea),2.320,2.980
1,2:17,1,10,IND 39,7,3,Brady Quinn pass complete short left to Jamaal Charles for 4 yards (tackle by Jerrell Freeman),2.980,2.980
1,2:01,2,6,IND 35,7,3,Peyton Hillis right tackle for 8 yards (tackle by Lawrence Guy),2.980,3.780
1,1:30,1,10,IND 27,7,3,Peyton Hillis right guard for 2 yards (tackle by Lawrence Guy),3.780,3.500
1,0:55,2,8,IND 25,7,3,Brady Quinn pass incomplete deep right intended for Steve Maneri,3.500,2.810
1,0:50,3,8,IND 25,7,3,Brady Quinn pass incomplete short left intended for Devon Wylie (defended by Vontae Davis),2.810,1.800
1,0:45,4,8,IND 25,7,3,Ryan Succop 43 yard field goal no good,1.800,-1.140
1,0:41,1,10,IND 33,7,3,Andrew Luck pass complete short middle to Donnie Avery for 5 yards (tackle by Javier Arenas),1.140,1.270
1,0:08,2,5,IND 38,7,3,Vick Ballard up the middle for 1 yard (tackle by Tyson Jackson),1.270,0.700
Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
