Quarter,Time,Tm,Detail,IND,KAN
1.0,10:08,Colts,Darius Butler 32 yard interception return (Adam Vinatieri kick),7,0
,8:18,Chiefs,Ryan Succop 47 yard field goal,7,3
2.0,13:27,Colts,Adam Vinatieri 48 yard field goal,10,3
,0:07,Colts,Adam Vinatieri 36 yard field goal,13,3
3.0,14:40,Chiefs,Jamaal Charles 86 yard rush (Ryan Succop kick),13,10
,6:00,Chiefs,Ryan Succop 47 yard field goal,13,13
4.0,4:08,Colts,Reggie Wayne 7 yard pass from Andrew Luck (Adam Vinatieri kick),20,13
