Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 72 yards, returned by Devin Hester for 39 yards (tackle by Eric Martin)",0.000,-1.070
1,14:55,1,10,CHI 32,0,0,Matt Forte left tackle for 12 yards (tackle by Tashaun Gipson and Joe Haden),1.070,1.860
1,14:17,1,10,CHI 44,0,0,Matt Forte left guard for 4 yards (tackle by John Hughes),1.860,1.860
1,13:34,2,6,CHI 48,0,0,Jay Cutler pass complete short right to Matt Forte for 4 yards (tackle by D'Qwell Jackson and T.J. Ward),1.860,1.690
1,12:44,3,2,CLE 48,0,0,"Penalty on Jay Cutler: Delay of Game, 5 yards (no play)",1.690,1.030
1,12:22,3,7,CHI 47,0,0,Jay Cutler pass complete short right to Martellus Bennett for 23 yards (tackle by D'Qwell Jackson),1.030,3.580
1,11:38,1,10,CLE 30,0,0,Jay Cutler pass complete short middle to Brandon Marshall for 16 yards (tackle by Craig Robertson),3.580,4.650
1,10:51,1,10,CLE 14,0,0,Jay Cutler pass incomplete deep right intended for Brandon Marshall is intercepted by Tashaun Gipson at CLE--8 and returned for 35 yards (tackle by Martellus Bennett),4.650,-0.740
1,10:37,1,10,CLE 27,0,0,Jason Campbell pass incomplete short left intended for Greg Little,0.740,0.200
1,10:33,2,10,CLE 27,0,0,Edwin Baker right tackle for 10 yards (tackle by Major Wright),0.200,1.400
1,9:47,1,10,CLE 37,0,0,Jason Campbell pass complete short left to Greg Little for 44 yards (tackle by Major Wright),1.400,4.310
1,9:00,1,10,CHI 19,0,0,Edwin Baker right guard for 1 yard (tackle by Julius Peppers and Major Wright),4.310,3.880
1,8:19,2,9,CHI 18,0,0,Fozzy Whittaker right guard for 1 yard (tackle by Corey Wootton),3.880,3.260
1,7:34,3,8,CHI 17,0,0,Jason Campbell pass incomplete short right intended for Davone Bess,3.260,2.310
1,7:26,4,8,CHI 17,0,3,Billy Cundiff 35 yard field goal good,2.310,3.000
1,7:26,,,CLE 35,0,3,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,7:26,1,10,CHI 20,0,3,Matt Forte right guard for no gain (tackle by D'Qwell Jackson),0.280,-0.270
1,6:41,2,10,CHI 20,0,3,Matt Forte left guard for -1 yards (tackle by Tashaun Gipson),-0.270,-1.140
1,6:02,3,11,CHI 19,0,3,Jay Cutler pass complete deep middle to Martellus Bennett for 22 yards (tackle by Jordan Poyer),-1.140,1.660
1,5:16,1,10,CHI 41,0,3,Alshon Jeffery left end for -3 yards (tackle by Craig Robertson),1.660,0.720
1,4:35,2,13,CHI 38,0,3,Jay Cutler pass complete short left to Brandon Marshall for 9 yards (tackle by Joe Haden),0.720,1.220
1,3:56,3,4,CHI 47,0,3,Jay Cutler pass complete short right to Alshon Jeffery for 8 yards (tackle by Joe Haden),1.220,2.590
1,3:18,1,10,CLE 45,0,3,Matt Forte left guard for 4 yards (tackle by D'Qwell Jackson),2.590,2.580
1,2:42,2,6,CLE 41,0,3,Michael Bush right tackle for -2 yards (tackle by Billy Winn),2.580,1.620
1,1:59,3,8,CLE 43,0,3,Jay Cutler pass complete deep middle to Brandon Marshall for 18 yards (tackle by Tashaun Gipson and Armonty Bryant),1.620,3.910
1,1:17,1,10,CLE 25,0,3,Matt Forte left guard for 8 yards (tackle by Barkevious Mingo),3.910,4.550
1,0:39,2,2,CLE 17,0,3,Michael Bush right guard for 6 yards (tackle by T.J. Ward and D'Qwell Jackson),4.550,4.840
Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 11,0,3,Matt Forte right guard for 2 yards (tackle by Jabaal Sheard and Ishmaa'ily Kitchen),4.840,4.510
2,14:25,2,8,CLE 9,0,3,Matt Forte left tackle for no gain (tackle by Craig Robertson),4.510,3.530
2,13:38,3,8,CLE 9,0,3,Jay Cutler pass complete short right to Alshon Jeffery for 4 yards (tackle by T.J. Ward),3.530,3.010
2,12:58,4,4,CLE 5,3,3,Robbie Gould 23 yard field goal good,3.010,3.000
2,12:58,,,CHI 35,3,3,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
2,12:55,1,10,CLE 20,3,3,Jason Campbell pass complete short right to Chris Ogbonnaya for 4 yards (tackle by Jonathan Bostic),0.280,0.270
2,12:16,2,6,CLE 24,3,3,Chris Ogbonnaya left guard for -1 yards (tackle by Jonathan Bostic),0.270,-0.560
2,11:35,3,7,CLE 23,3,3,"Jason Campbell pass incomplete short right intended for Jordan Cameron. Penalty on Isaiah Frey: Defensive Holding, 5 yards (no play)",-0.560,0.810
2,11:31,1,10,CLE 28,3,3,Chris Ogbonnaya right guard for 5 yards (tackle by Chris Conte and David Bass),0.810,0.940
2,10:58,2,5,CLE 33,3,3,Jason Campbell pass incomplete deep left intended for Jordan Cameron is intercepted by Zackary Bowman at CHI-40,0.940,-1.600
2,10:50,1,10,CHI 40,3,3,Jay Cutler pass incomplete short left intended for Brandon Marshall,1.600,1.050
2,10:50,2,10,CHI 40,3,3,"Penalty on Martellus Bennett: False Start, 5 yards (no play)",1.050,0.380
2,10:45,2,15,CHI 35,3,3,Jay Cutler pass incomplete deep left intended for Brandon Marshall,0.380,-0.300
2,10:39,3,15,CHI 35,3,3,Jay Cutler pass incomplete short left intended for Matt Forte (defended by Paul Kruger),-0.300,-1.040
2,10:34,4,15,CHI 35,3,3,"Adam Podlesh punts 43 yards, fair catch by Jordan Poyer",-1.040,-0.410
2,10:28,1,10,CLE 22,3,3,Jason Campbell pass complete short left to Fozzy Whittaker for 5 yards (tackle by Tim Jennings),0.410,0.540
2,9:55,2,5,CLE 27,3,3,Jason Campbell pass complete short left to Edwin Baker for 4 yards (tackle by James Anderson),0.540,0.370
2,9:13,3,1,CLE 31,3,3,Jason Campbell pass incomplete,0.370,-1.310
2,9:07,4,1,CLE 31,3,3,Spencer Lanning punts 50 yards,-1.310,-0.150
2,8:56,1,10,CHI 19,3,3,Matt Forte right tackle for -2 yards (tackle by Barkevious Mingo),0.150,-0.720
2,8:14,2,12,CHI 17,3,9,"Jay Cutler pass incomplete deep left intended for Brandon Marshall is intercepted by Tashaun Gipson at CHI-44 and returned for 44 yards, touchdown",-0.720,-7.000
2,8:01,,,CHI 2,3,10,Billy Cundiff kicks extra point good,0.000,0.000
2,8:01,,,CLE 40,3,10,"Billy Cundiff kicks off 51 yards, returned by Devin Hester for 40 yards (tackle by Billy Cundiff)",0.000,-2.190
2,7:51,1,10,CHI 49,3,10,Jay Cutler pass complete short right to Martellus Bennett for 3 yards (tackle by T.J. Ward),2.190,2.050
2,7:11,2,7,CLE 48,3,10,Matt Forte left end for 15 yards (tackle by Tashaun Gipson),2.050,3.380
2,6:32,1,10,CLE 33,3,10,Matt Forte left guard for 2 yards (tackle by John Hughes),3.380,3.110
2,5:50,2,8,CLE 31,3,10,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Joe Haden),3.110,2.410
2,5:45,3,8,CLE 31,3,10,Jay Cutler pass complete short left to Alshon Jeffery for 7 yards (tackle by Jordan Poyer),2.410,2.020
2,5:45,4,1,CLE 24,3,10,"Penalty on Alshon Jeffery: False Start, 5 yards (no play)",2.020,1.520
2,5:02,4,6,CLE 29,3,10,"Robbie Gould 46 yard field goal good. Penalty on Corey Wootton: Offensive Holding, 10 yards (no play)",1.520,0.660
2,4:57,4,16,CLE 39,3,10,Adam Podlesh punts 34 yards,0.660,0.380
