Unnamed: 0,CHI,CLE
First Downs,23,20
Rush-Yds-TDs,31-179-1,17-93-1
Cmp-Att-Yd-TD-INT,22-31-265-3-2,23-39-273-1-2
Sacked-Yards,2-4,0-0
Net Pass Yards,261,273
Total Yards,440,366
Fumbles-Lost,1-1,0-0
Turnovers,3,2
Penalties-Yards,7-40,9-90
Third Down Conv.,9-14,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,34:48,25:12
