Unnamed: 0,PIT,TEN
First Downs,21,29
Rush-Yds-TDs,20-67-1,36-99-2
Cmp-Att-Yd-TD-INT,21-42-266-2-1,27-45-338-2-2
Sacked-Yards,1-9,1-7
Net Pass Yards,257,331
Total Yards,324,430
Fumbles-Lost,0-0,2-2
Turnovers,1,4
Penalties-Yards,6-41,8-92
Third Down Conv.,4-14,12-18
Fourth Down Conv.,0-0,1-1
Time of Possession,24:43,37:32
