Unnamed: 0,JAX,IND
First Downs,23,24
Rush-Yds-TDs,30-182-1,22-94-1
Cmp-Att-Yd-TD-INT,25-39-301-1-0,24-41-321-2-1
Sacked-Yards,2-13,4-31
Net Pass Yards,288,290
Total Yards,470,384
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,8-54,4-35
Third Down Conv.,4-14,2-10
Fourth Down Conv.,0-0,1-1
Time of Possession,29:36,30:24
