Quarter,Time,Tm,Detail,ARI,LAR
1.0,11:18,Rams,Matt Gay 42 yard field goal,0,3
,5:45,Cardinals,A.J. Green 41 yard pass from Kyler Murray (Matt Prater kick),7,3
,0:52,Rams,Van Jefferson 14 yard pass from Matthew Stafford (Matt Gay kick),7,10
2.0,10:39,Cardinals,Maxx Williams 14 yard pass from Kyler Murray (Matt Prater kick),14,10
,8:44,Cardinals,James Conner 1 yard rush (Matt Prater kick),21,10
,3:22,Rams,Matt Gay 22 yard field goal,21,13
,0:04,Cardinals,Matt Prater 23 yard field goal,24,13
3.0,10:15,Cardinals,Matt Prater 55 yard field goal,27,13
,1:14,Cardinals,James Conner 1 yard rush (Matt Prater kick),34,13
4.0,3:38,Cardinals,Matt Prater 23 yard field goal,37,13
,1:14,Rams,Robert Woods 14 yard pass from Matthew Stafford (Matt Gay kick),37,20
