Unnamed: 0,ARI,LAR
First Downs,27,24
Rush-Yds-TDs,40-216-2,23-121-0
Cmp-Att-Yd-TD-INT,24-32-268-2-0,26-41-280-2-1
Sacked-Yards,3-19,0-0
Net Pass Yards,249,280
Total Yards,465,401
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,7-63,5-36
Third Down Conv.,8-13,6-11
Fourth Down Conv.,0-0,0-1
Time of Possession,35:10,24:50
