Quarter,Time,Tm,Detail,GNB,SFO
1.0,5:55,49ers,Raheem Mostert 36 yard rush (Robbie Gould kick),0,7
2.0,14:55,49ers,Robbie Gould 54 yard field goal,0,10
,9:12,49ers,Raheem Mostert 9 yard rush (Robbie Gould kick),0,17
,1:57,49ers,Robbie Gould 27 yard field goal,0,20
,0:45,49ers,Raheem Mostert 18 yard rush (Robbie Gould kick),0,27
3.0,8:44,Packers,Aaron Jones 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,27
,4:49,49ers,Raheem Mostert 22 yard rush (Robbie Gould kick),7,34
4.0,14:35,Packers,Aaron Jones 1 yard rush (pass failed),13,34
,8:13,Packers,Jace Sternberger 8 yard pass from Aaron Rodgers (Mason Crosby kick),20,34
,3:31,49ers,Robbie Gould 42 yard field goal,20,37
