Quarter,Time,Down,ToGo,Location,GNB,SFO,Detail,EPB,EPA
2,2:13,2,8,GNB 15,0,17,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Kevin King),4.150,3.340
2,2:10,3,8,GNB 15,0,17,Jimmy Garoppolo pass complete short left to Kendrick Bourne for 6 yards (tackle by Tramon Williams),3.340,2.950
2,2:00,4,2,GNB 9,0,20,Robbie Gould 27 yard field goal good,2.950,3.000
2,1:57,,,SFO 35,0,20,"Mitch Wishnowsky kicks off 63 yards, muffed catch by Tyler Ervin returned by Tyler Ervin for 6 yards (tackle by Ahkello Witherspoon)",0.000,-0.380
2,1:51,1,10,GNB 8,0,20,Aaron Rodgers pass complete short middle to Allen Lazard for 19 yards (tackle by Jimmie Ward),-0.380,0.740
2,1:25,1,10,GNB 27,0,20,"Penalty on Bryan Bulaga: False Start, 5 yards (no play)",0.740,0.410
2,1:12,1,15,GNB 22,0,20,Aaron Rodgers pass incomplete short middle intended for Jamaal Williams,0.410,-0.480
2,1:08,2,15,GNB 22,0,20,Aaron Rodgers pass deep left intended for Geronimo Allison is intercepted by Emmanuel Moseley at GB-39 and returned for 9 yards,-0.480,-3.580
2,1:01,1,10,GNB 30,0,20,Raheem Mostert right tackle for 11 yards (tackle by Ibraheim Campbell and Tramon Williams),3.580,4.310
2,0:54,,,,,,Timeout #1 by Green Bay Packers,,
2,0:54,1,10,GNB 19,0,20,Raheem Mostert left tackle for 1 yard (tackle by Blake Martinez),4.310,3.880
2,0:50,,,,,,Timeout #2 by Green Bay Packers,,
2,0:50,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:50,2,9,GNB 18,0,26,"Raheem Mostert up the middle for 18 yards, touchdown",3.880,7.000
2,0:45,,,GNB 15,0,27,Robbie Gould kicks extra point good,0.000,0.000
2,0:45,,,SFO 35,0,27,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
2,0:45,1,10,GNB 25,0,27,Aaron Rodgers pass complete short right to Jamaal Williams for -1 yards (tackle by K'Waun Williams),0.610,-0.070
2,0:23,2,11,GNB 24,0,27,Aaron Rodgers pass incomplete short right. Penalty on Corey Linsley: Ineligible Downfield Pass (Declined),-0.070,-0.760
2,0:19,3,11,GNB 24,0,27,Jamaal Williams up the middle for 2 yards (tackle by Dee Ford),-0.760,-1.630
2,0:14,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:14,4,9,GNB 26,0,27,JK Scott punts 62 yards downed by Will Redmond,-1.630,0.670
Quarter,Time,Down,ToGo,Location,GNB,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,0,27,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,0,27,Aaron Rodgers pass complete deep left to Davante Adams for 16 yards (tackle by K'Waun Williams),0.610,1.660
3,14:36,1,10,GNB 41,0,27,Aaron Rodgers pass incomplete deep left intended for Davante Adams,1.660,1.120
3,14:33,2,10,GNB 41,0,27,Aaron Rodgers pass complete short right to Davante Adams for 14 yards (tackle by Jaquiski Tartt),1.120,2.590
3,14:00,1,10,SFO 45,0,27,Aaron Rodgers pass complete short middle to Aaron Jones for 8 yards (tackle by Fred Warner),2.590,3.120
3,13:11,2,2,SFO 37,0,27,Aaron Jones right tackle for 3 yards (tackle by Jaquiski Tartt and Dre Greenlaw),3.120,3.310
3,12:30,1,10,SFO 34,0,27,Aaron Rodgers pass complete short left to Jimmy Graham for 2 yards (tackle by Dre Greenlaw),3.310,3.040
3,11:52,2,8,SFO 32,0,27,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Jimmie Ward and Anthony Zettel),3.040,2.870
3,11:10,3,4,SFO 28,0,27,Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Dre Greenlaw),2.870,4.110
3,10:33,1,10,SFO 22,0,27,"Penalty on Robert Tonyan: False Start, 5 yards (no play)",4.110,3.780
3,10:09,1,15,SFO 27,0,27,Aaron Rodgers pass complete short right to Geronimo Allison for 7 yards (tackle by K'Waun Williams and Richard Sherman),3.780,3.830
3,9:30,2,8,SFO 20,0,27,Aaron Rodgers pass complete short middle to Marcedes Lewis for 11 yards (tackle by Arik Armstead),3.830,5.140
3,8:49,1,9,SFO 9,6,27,"Aaron Rodgers pass complete short right to Aaron Jones for 9 yards, touchdown",5.140,7.000
3,8:44,,,SFO 15,7,27,Mason Crosby kicks extra point good,0.000,0.000
3,8:44,,,GNB 35,7,27,"Mason Crosby kicks off 62 yards, returned by Richie James for 18 yards (tackle by Will Redmond)",0.000,0.340
3,8:40,1,10,SFO 21,7,27,Raheem Mostert left end for 7 yards (tackle by Kevin King),0.340,0.750
3,8:03,2,3,SFO 28,7,27,Raheem Mostert right end for 5 yards (tackle by Jaire Alexander),0.750,1.140
3,7:18,1,10,SFO 33,7,27,Deebo Samuel left end for 11 yards (tackle by Darnell Savage and Blake Martinez),1.140,1.860
3,6:41,1,10,SFO 44,7,27,Raheem Mostert up the middle for 2 yards (tackle by Kyler Fackrell),1.860,1.590
3,6:07,2,8,SFO 46,7,27,Deebo Samuel right end for 32 yards (tackle by Dean Lowry),1.590,4.110
3,5:21,1,10,GNB 22,7,27,Raheem Mostert left end for no gain (tackle by Za'Darius Smith),4.110,3.560
3,4:56,2,10,GNB 22,7,33,"Raheem Mostert left end for 22 yards, touchdown",3.560,7.000
3,4:49,,,GNB 15,7,34,Robbie Gould kicks extra point good,0.000,0.000
3,4:49,,,SFO 35,7,34,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,4:49,1,10,GNB 25,7,34,Aaron Rodgers pass complete short left to Tyler Ervin for 7 yards (tackle by Jaquiski Tartt),0.610,1.010
3,4:13,2,3,GNB 32,7,34,Aaron Rodgers pass complete short left to Jace Sternberger for 5 yards (tackle by Dre Greenlaw),1.010,1.400
3,3:31,1,10,GNB 37,7,34,Aaron Rodgers pass incomplete deep middle intended for Jimmy Graham (defended by Fred Warner),1.400,0.860
3,3:26,2,10,GNB 37,7,34,Aaron Jones left guard for 3 yards (tackle by Dre Greenlaw),0.860,0.560
3,2:43,3,7,GNB 40,7,34,"Aaron Rodgers pass complete short middle to Aaron Jones for 6 yards (tackle by K'Waun Williams). Penalty on Dee Ford: Illegal Use of Hands, 5 yards (no play)",0.560,1.930
3,2:24,1,10,GNB 45,7,34,"Aaron Jones left tackle for 5 yards (tackle by Dre Greenlaw and Emmanuel Moseley). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (no play)",1.930,1.270
3,1:59,1,20,GNB 35,7,34,Aaron Rodgers pass complete short right to Davante Adams for 2 yards (tackle by DeForest Buckner and Fred Warner),1.270,0.300
3,1:26,2,18,GNB 37,7,34,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Emmanuel Moseley and Fred Warner),0.300,0.430
3,0:39,3,12,GNB 43,7,34,Aaron Rodgers pass complete short right to Jimmy Graham for 10 yards (tackle by Nick Bosa and Fred Warner),0.430,0.130
3,0:05,4,2,SFO 47,7,34,Aaron Rodgers pass complete short middle to Allen Lazard for 4 yards (tackle by K'Waun Williams),0.130,2.720
Quarter,Time,Down,ToGo,Location,GNB,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 43,7,34,Aaron Rodgers pass complete deep right to Jimmy Graham for 42 yards (tackle by Jimmie Ward),2.720,6.970
4,14:45,1,1,SFO 1,13,34,"Aaron Jones up the middle for 1 yard, touchdown",6.970,7.000
4,14:35,,,SFO 2,13,34,"Two Point Attempt: Aaron Rodgers pass incomplete intended for Davante Adams, conversion fails",1.000,-1.000
4,14:35,,,GNB 35,13,34,"Mason Crosby kicks onside 13 yards, returned by Mark Nzeocha for no gain",0.000,2.390
4,14:34,1,10,GNB 48,13,34,Raheem Mostert right end for 4 yards (tackle by Will Redmond),2.390,2.390
4,13:52,2,6,GNB 44,13,34,Raheem Mostert right end for 3 yards (tackle by Kingsley Keke and Za'Darius Smith),2.390,2.080
4,13:05,3,3,GNB 41,13,34,Raheem Mostert up the middle for 2 yards (tackle by Preston Smith),2.080,0.660
4,12:17,4,1,GNB 39,13,34,Penalty on SFO: Delay of Game (Declined),0.660,0.660
4,11:54,4,1,GNB 39,13,34,"Penalty on Mark Nzeocha: False Start, 5 yards (no play)",0.660,0.330
4,11:32,4,6,GNB 44,13,34,"Mitch Wishnowsky punts 36 yards, fair catch by Tyler Ervin at GB-8",0.330,0.380
4,11:25,1,10,GNB 8,13,34,Aaron Rodgers pass complete short right to Jimmy Graham for 5 yards (tackle by Richard Sherman and Jaquiski Tartt),-0.380,-0.410
4,10:55,2,5,GNB 13,13,34,Aaron Rodgers pass incomplete short left,-0.410,-0.840
4,10:48,3,5,GNB 13,13,34,Aaron Rodgers pass complete deep right to Davante Adams for 65 yards (tackle by Jaquiski Tartt),-0.840,4.110
4,10:01,1,10,SFO 22,13,34,Jamaal Williams right end for no gain (tackle by Solomon Thomas),4.110,3.560
4,9:28,2,10,SFO 22,13,34,Aaron Rodgers pass complete short left to Davante Adams for 8 yards,3.560,4.150
4,8:57,3,2,SFO 14,13,34,Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Fred Warner and Nick Bosa),4.150,5.370
4,8:21,1,8,SFO 8,19,34,"Aaron Rodgers pass complete short right to Jace Sternberger for 8 yards, touchdown",5.370,7.000
4,8:13,,,SFO 15,20,34,Mason Crosby kicks extra point good,0.000,0.000
4,8:13,,,GNB 35,20,34,"Mason Crosby kicks off 49 yards, returned by Richie James for 11 yards (tackle by Ibraheim Campbell)",0.000,0.740
4,8:10,1,10,SFO 27,20,34,Jimmy Garoppolo pass complete short left to George Kittle for 19 yards (tackle by Blake Martinez and Darnell Savage),0.740,1.990
4,7:24,1,10,SFO 46,20,34,Raheem Mostert right end for 5 yards (tackle by Darnell Savage and Blake Martinez),1.990,2.130
4,6:40,2,5,GNB 49,20,34,Raheem Mostert left end for 2 yards (tackle by B.J. Goodson),2.130,1.690
4,5:56,3,3,GNB 47,20,34,"Jimmy Garoppolo pass incomplete short left intended for George Kittle. Penalty on Will Redmond: Defensive Pass Interference, 5 yards (no play)",1.690,2.790
4,5:53,1,10,GNB 42,20,34,Raheem Mostert up the middle for -1 yards (tackle by B.J. Goodson),2.790,2.110
4,5:47,,,,,,Timeout #1 by Green Bay Packers,,
4,5:47,2,11,GNB 43,20,34,Jimmy Garoppolo pass complete short right to Raheem Mostert for 10 yards (tackle by Blake Martinez),2.110,2.740
4,5:23,3,1,GNB 33,20,34,Raheem Mostert left end for 2 yards (tackle by Blake Martinez),2.740,3.510
4,5:13,,,,,,Timeout #3 by Green Bay Packers,,
4,5:13,1,10,GNB 31,20,34,Raheem Mostert left end for 2 yards (tackle by Blake Martinez),3.510,3.240
4,5:08,,,,,,Timeout #3 by Green Bay Packers,,
4,5:08,2,8,GNB 29,20,34,Raheem Mostert up the middle for 6 yards (tackle by Kingsley Keke),3.240,3.340
4,4:22,3,2,GNB 23,20,34,Raheem Mostert right guard for -1 yards (tackle by Kingsley Keke),3.340,1.970
4,3:36,,,,,,Timeout #1 by San Francisco 49ers,,
4,3:36,4,3,GNB 24,20,37,Robbie Gould 42 yard field goal good,1.970,3.000
4,3:31,,,SFO 35,20,37,"Mitch Wishnowsky kicks off 63 yards, returned by Tyler Ervin for 23 yards (tackle by Ahkello Witherspoon and Elijah Lee)",0.000,0.610
4,3:26,1,10,GNB 25,20,37,Jamaal Williams up the middle for 4 yards (tackle by Arik Armstead),0.610,0.600
4,3:01,2,6,GNB 29,20,37,"Aaron Rodgers sacked by Arik Armstead for -7 yards. Aaron Rodgers fumbles (forced by Arik Armstead), recovered by Billy Turner at GB-22 (tackle by Kwon Alexander)",0.600,-1.020
4,2:15,3,13,GNB 22,20,37,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,-1.020,-1.900
4,2:08,,,,,,Timeout #2 by San Francisco 49ers,,
4,2:08,4,13,GNB 22,20,37,Aaron Rodgers pass complete deep left to Davante Adams for 16 yards (tackle by K'Waun Williams),-1.900,1.470
4,1:59,1,10,GNB 38,20,37,Aaron Rodgers pass deep middle intended for Davante Adams is intercepted by Richard Sherman at SF-4 and returned for 3 yards,1.470,0.380
4,1:48,1,10,SFO 7,20,37,Jimmy Garoppolo kneels for -1 yards,-0.380,-0.850
4,1:06,2,11,SFO 6,20,37,Jimmy Garoppolo kneels for -1 yards,-0.850,-1.650
4,0:34,3,12,SFO 5,20,37,Jimmy Garoppolo kneels for -1 yards,-1.650,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
