Unnamed: 0,NWE,PIT
First Downs,18,16
Rush-Yds-TDs,31-124-1,22-91-0
Cmp-Att-Yd-TD-INT,21-35-252-1-1,21-33-168-1-1
Sacked-Yards,0-0,3-16
Net Pass Yards,252,152
Total Yards,376,243
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,7-55,3-20
Third Down Conv.,9-17,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,33:36,26:24
