Quarter,Time,Tm,Detail,NWE,PIT
1.0,6:42,Patriots,Nick Folk 28 yard field goal,3,0
2.0,8:35,Steelers,Chris Boswell 36 yard field goal,3,3
,0:22,Patriots,Nelson Agholor 44 yard pass from Mac Jones (Nick Folk kick),10,3
3.0,5:44,Steelers,Chris Boswell 52 yard field goal,10,6
,2:47,Patriots,Damien Harris 2 yard rush (Nick Folk kick),17,6
4.0,14:58,Steelers,Pat Freiermuth 8 yard pass from Mitchell Trubisky (Diontae Johnson pass from Mitchell Trubisky),17,14
