Quarter,Time,Tm,Detail,BAL,PIT
1.0,8:10,Ravens,Billy Cundiff 18 yard field goal,3,0
2.0,14:05,Steelers,Shaun Suisham 36 yard field goal,3,3
,9:28,Ravens,Billy Cundiff 43 yard field goal,6,3
,1:05,Steelers,Shaun Suisham 30 yard field goal,6,6
,0:00,Ravens,Billy Cundiff 51 yard field goal,9,6
3.0,4:27,Ravens,Ray Rice 4 yard rush (Billy Cundiff kick),16,6
4.0,14:32,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),16,13
,4:59,Steelers,Mike Wallace 25 yard pass from Ben Roethlisberger (Shaun Suisham kick),16,20
,0:08,Ravens,Torrey Smith 26 yard pass from Joe Flacco (Billy Cundiff kick),23,20
